AmountSaved,Shranjeni znesek
XM_ConfirmResetNoteBoxV6HW,Ponastavi Štetje škatle za bankovce/vrednost\n\nZnesek za ponastavitev: %s\nŠtetje za ponastavitev: %d\n\nZnesek po ponastavitvi škatle za bankovce: 0 €\nŠtetje po ponastavitvi škatle za bankovce: 0
XM_PendingCashRemoveV6HW,"Odprite varno vrata, odstranite škatlo za bankovce in vse bankovce.\nZamenjajte prazno škatlo za bankovce.\n\nKo je končano, pritisnite ""V REDU""."
XM_LeadThruResetNoteBoxFunctionV6HW,"Ponastavi funkcije\n•   Ponastavi Štetje škatle za bankovce na ničlo.\n•   Ko končate, ""Uporabi spremembe""."
XM_AllV6HW,Vse
XM_LeadThruTransferNotesToNoteBoxFunctionV6HW,"Prenosi škatle za bankovce\n•   Za prenos bankovcev pritisnite na ""Uporabi spremembe"".\n•   Za preklic pritisnite na ""Prekliči spremembe""."
XM_ReplenishNotesFromLoaderToRecyclersPreemptiveV6HW,"Nalaganje v teku... Prosimo, počakajte."
XM_SetupLoaderAlertConfirmationV6HW,"Nastavi nalagalnik\n\nZagotovite, da ima nalagalnik pravilne vrednosti in so\nvstavljene, nato pritisnite ""V REDU"", da naložite bankovce."
XM_SetupLoaderAlertConfirmation1V6HW,"Nastavi nalagalnik\n\nDodajte bankovce v nalagalnik, zagotovite, da je\nnalagalnik vstavljen, nato pritisnite ""V REDU"",\nda naložite bankovce."
XM_SetupLoaderConfirmationV6HW,"Nastavi nalagalnik\n\n%s Status bankovcev v nalagalniku:\n\nOriginalni/začetni znesek: %s\nOriginalno/začetno štetje: %d\nZnesek za dodati v nalagalnik: %s\nŠtetje za dodati v nalagalnik: %d\n\nRačune, ki nimajo določenega mesta, vpišite pri dnu zneska. Računi pri dnu bodo avtomatično prišteti in vneseni, ko pridejo na vrsto.\n\nPostopek nalaganja lahko traja več minut."
XM_SetupLoaderConfirmation1V6HW,Nastavi nalagalnik\n\nVsi bankovci nalagalnika bodo samodejno\nnaloženi in prešteti.\n\nPostopek nalaganja lahko traja več minut.
XM_PendingNotesAddedV6HW,Privzeti bankovci dodani %d - %s
XM_ProcessingCashV6HW,Obdelava gotovine
XM_ProcessingCashLeadThruV6HW,•   Vstavi kovance v Sprejemalca kovancev.\n•   Vstavi bankovce v Sprejemalca bankovcev.
XM_SetupLoaderLeadThru1V6HW,"•   Da bi dodali bankovce v nalagalnik, pritisnite na\n     ""Uporabi spremembe"".\n•   Za preklic pritisnite na ""Prekliči spremembe""."
XM_LeadThruDispenseFunctionV6HW,Funkcije za izdajo\n•   Vnesite znesek/štetje %s bankovcev s tipkovnico.
XM_LeadThruDispenseFunction1V6HW,"Funkcije za izdajo\n•   Za izdajo kovancev pritisnite na ""Uporabi spremembe"".\n•   Za preklic pritisnite na ""Prekliči spremembe""."
XM_ConfirmCoinDispenseAllV6HW,Izdaj vse kovance\n\nZnesek za izdajo: %s\nŠtetje do izdaje: %d
XM_DispenseOperationPreemptiveV6HW,"Izdajanje kovancev v teku.\n\nOdstranite kovance iz posode za kovance, ko je polna in\n pritisnite ""V REDU""."
XM_ConfirmCoinDispenseToBaseLevelV6HW,Izdaj kovance do osnovne ravni\n\nZnesek za izdajo: %s\nŠtetje do izdaje: %d
XM_LeadThruResetCoinHopperFunctionV6HW,"Ponastavi funkcije\n•   Ponastavi Štetje lijakov za kovance na ničlo.\n•   Ko končate, ""Uporabi spremembe""."
XM_ResetCoinHopperLeadThruV6HW,"Odstranite kovance iz lijakov za kovance. Zamenjajte\nspraznite lijake za kovance.\n\nKo je končano, pritisnite ""V REDU""."
XM_LoaderCountEnteredExceededCapacityV6HW,Vneseno štetje nalagalnika presega kapacitete. Največje dovoljeno štetje nalagalnika je %d.
XM_CoinHopperPendingResetV6HW,Ponastavitev v teku %d - %s
XM_ConfirmResetCoinHopperV6HW,Ponastavi Štetja lijaka kovancev/vrednost\n
XM_ConfirmResetCoinHopper1V6HW,\n%s\nPonastavi znesek: %s Štetje: %d\n
XM_ConfirmResetCoinHopper2V6HW,\nPo ponastavitvi:\nKovanci v lijaku: %s Štetje: %d\nKovanci v škatli za kovance: %s Štetje: %d
XM_CannotCompleteTransferV6HW,"Ne da se zaključiti prenosa.\nŠkatla za bankovce nima dovolj prostora. Prosimo, pred tem posegom izpraznite škatlo za bankovce."
XM_CashStatusLeadthruV6HW,"•   Natisni Status gotovine.\n•   Vstavi kovance v Sprejemalca kovancev.\n•   Vstavi bankovce v Sprejemalca bankovcev.\n•   Ko končate, pritisnite ""Izhod""."
XM_NonDispensableCoinsV6HW,Neizdani kovanci
XM_DispensableCoinsV6HW,Izdani kovanci
XM_ConfirmNoteDispenseV6HW,Izdaj bankovce\n\nZnesek za izdajo: %s\nŠtetje do izdaje: %d
XM_DispenseNoteFullPreemptiveV6HW,"Prosim, vzemite bankovce\n\nBankovci so izdani v svežnjih %d.\nIzdajanje se bo prekinilo, dokler se ne vzamejo bankovci."
XM_NoteBoxV6HW,Škatla za bankovce
XM_NoteRecyclerV6HW,Ločevalniki bankovcev
XM_DispenseCoinsToBaseLevelV6HW,Izdaj kovance\ndo osnovne ravni
XM_TransferNotesToBaseLevelV6HW,Prenesi bankovce na osnovno raven
XM_TransferAllNotesV6HW,Prenesi vse bankovce
XM_LeadThruNoteBoxTransferV6HW,"Prenosi škatle za bankovce\n•   Izberite želeno funkcijo prenosa.\n•   Ko končate, ""Uporabi spremembe""."
XM_LeadThruResetFunctionV6HW,"Ponastavi funkcije\n•   Izberite želeno funkcijo ponastavitve.\n•   Ko končate, ""Uporabi spremembe""."
XM_LeadThruDispenseFunction2V6HW,"Funkcije za izdajo\n•   Pritisnite na vrednost bankovcev in vnesite znesek/šteteje ali\n     izberite funkcijo.\n•   Ko končate, ""Uporabi spremembe""."
XM_SignSigTouchDisplayV6HW,"Prosimo, podpišite se na prikazovalnik na dotik."
XM_LeadThruCashManagementErrorV6HW,Napaka upravljanja z gotovino
XM_LoanPickupUpdateFailureV6HW,Posodobitev upravljanja z gotovino ni uspela
XM_LoanPickupUpdateNoResponseV6HW,Brez odziva iz POS pri posodabljanju statusa za upravljanje z gotovino
XM_LoanPickupUpdateFailureInstructionV6HW,"\n• Posodobite z dotikom na 'Poskusi znova'\n• Če se napaka ponovi, se obrnite na oddelek za trgovino\n• Ta napaka se ne bo izbrisala, dokler se posodobitev ne izvede uspešno."
XM_LoanPickupUpdateNoResponseInstructionV6HW,• To napako takoj sporočite oddelku za trgovino.\n• Status upravljanja z gotovino morda ni posodobljen.\n•   Odprite zaslon koristnih funkcij.
XM_LoanPickupUpdateNoResponseInstruction1V6HW,"•   Pritisnite ""Izdelaj diagnostične datoteke dnevnika"" in zatem ""Izklopi celotni system"".\n•   Sistem ponovno vključite.\n•   Če se napaka znova in znova pojavi, izdelajte nov\n diagnostični dnevnik in pokličite servis.\n"
XM_CashManagementErrorRetryButtonV6HW,Poskusi znova
XM_DispenseThresholdV6HW,"Vneseno število presega štetje, ki je na voljo za izdajo.\nVneseno je bilo maksimalno štetje: %d"
ScotApp_1742,NEVELJAVNA VREČKA
ScotApp_71,71neuporabljenih
ScotApp_61,61neuporabljenih
ScotApp_51,Neusp. sken. kup.
ScotApp_41,Izdelki z omejitvami
ScotApp_31,Kuponi
ScotApp_1055,1055neuporabljenih
ScotApp_11,11neuporabljenih
ScotApp_789,"Potegnite vašo kartico.\nProsim, preverite košarico glede dodatnih izdelkov."
ScotApp_689,  Prodaje:    %d
ScotApp_589,Tovarna naprave je naložena.
ScotApp_389,Obdelava kartice
ScotApp_289,289neuporabljenih
ScotApp_189,Možnosti so naložene.
ScotApp_91,91neuporabljenih
ScotApp_773,Shranjeni znesek :
ScotApp_673,"Prosim, vrnite stranki %s drobiža."
ScotApp_1264,OPREDELJENUPORABNIK6
ScotApp_473,Raven medijev nizka
ScotApp_373,Izločanje kopičenja v tiskalniku
ScotApp_989,989neuporabljenih
ScotApp_889,%s\nDejanska teža(%s): %s\nPričakovane teže(%s): %s
ScotApp_1520,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1042,"ODOBRITVENO POTRDILO:\nTO JE BILO NATISNJENO, KER JE SPODLETELA\nODOBRITEV DOKUMENTA.  PROSIM, PRILOŽITE TO\nPOTRDILO PRIMERNEMU DOKUMENTU.\n----------------------------------------\n"
ScotApp_973,973neuporabljenih
ScotApp_873,D.L. / I.D. vnos številke:
ScotApp_1737,Lastna vrečka
ScotApp_752,Včerajšnji povzetek
ScotApp_652,  **Brez vnosov WLDB za ta UPC
ScotApp_1054,1054neuporabljenih
ScotApp_452,"Preverite, ali je kabel varno priklopljen na strani sprejemalca kovancev."
ScotApp_352,Posodobi
ScotApp_252,\nKopičenje v avtomatu za izdajo kovancev\n\nOdpravite kopičenje v avtomatu za izdajo kovancev.
ScotApp_152,152neuporabljenih
ScotApp_1310,"* Odstranite sprejemalca bankovcev.\n* Ponovno vstavite sprejemalca bankovcev, da zaskoči.\n* Preverite, ali se je motor sprejemalca bankovcev vklopil in, da je LED lučka zelena."
ScotApp_661,(Privz)
ScotApp_952,Ne dodaj teže
ScotApp_852,Trije izdelki
ScotApp_1527,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1838,Overi izdelek
ScotApp_731,Povzetek
ScotApp_631,Ime lastnika:
ScotApp_531,\nNapaka naprave za zajemanje podpisa
ScotApp_331,Odstranite izdelke s tehtnice vrečke. Tipkovnica onemogočena.
ScotApp_231,231neuporabljenih
ScotApp_131,Predloži kupone
ScotApp_1736,"Prosim, položite vašo vrečko na mesto za vrečke in pritisnite ""Konec"", ko ste končali."
ScotApp_1250,PIP KREDIT
ScotApp_831,831neuporabljenih
ScotApp_300,300neuporabljenih
ScotApp_1306,%s izdan drobiž
ScotApp_710,710neuporabljenih
ScotApp_610,Teža izdelka:
ScotApp_510,Ponovno podpiši
ScotApp_310,stanje v košu je nizko
ScotApp_210,210neuporabljenih
ScotApp_110,Tehtaj izdelek
ScotApp_1526,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1126,"Napaka avtomata za izdajo kovancev.\n\nPreverite stikalo za vklop/izklop, če je to prisotno pri avtomatu za izdajanje."
ScotApp_1040,Podpis
ScotApp_810,  V usposabljanju
ScotApp_1735,Položi vrečko
ScotApp_1257,PIP KUPONI ZA ŽIVILA
ScotApp_704,Vnos na tipkovnici za PIN številko
ScotApp_604,Skenirajte izdelek.
ScotApp_504,504neuporabljenih
ScotApp_404,404neuporabljenih
ScotApp_304,Izberi embalažo
ScotApp_204,Kopiranje datoteke na strežnik ...
ScotApp_104,104neuporabljenih
ScotApp_1269,OPREDELJENUPORABNIK11
ScotApp_904,Odobritev teže izdelka
ScotApp_804,804neuporabljenih
ScotApp_1047,"Potrebno potrdilo. Prosim, počakajte na asistenco upravitelja."
ScotApp_1478,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1134,Kaseta računa je polna.
ScotApp_1734,Prinesel(la) sem svojo vrečko
ScotApp_1256,PIP EBT
ScotApp_1512,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1465,Napaka ločevalnika gotovine
ScotApp_1721,Transakcija v načinu usposabljanja
ScotApp_1890,Obdelovanje ...
ScotApp_1243,ZVESTOBA
ScotApp_1544,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_63,Ne
ScotApp_53,53neuporabljenih
ScotApp_43,43neuporabljenih
ScotApp_33,Težava je rešena
ScotApp_1255,PIP PREVERJANJE DOLGA
ScotApp_13,  %ss @ %s/%s
ScotApp_1511,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_93,Skeniraj & daj v vrečko
ScotApp_83,83neuporabljenih
ScotApp_1464,Številka terminala
ScotApp_1189,VNESEN IZDELEK
ScotApp_1720,WR:
ScotApp_1045,Plačati z %s
ScotApp_672,*** TRANSAKCIJA NAČINA USPOSABLJANJA ***
ScotApp_572,"Vnesite kodo izdelka in pritisnite ""Vnesi""."
ScotApp_472,Potrebna je asistenca
ScotApp_372,Komunikacijska napaka v stranskih poteh tiskalnika
ScotApp_272,Preveri uporabljene kupone
ScotApp_172,Skenirajte neželeni izdelek ali izberite izdelek na računu.
ScotApp_1510,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1701,Neuspešna izdaja %s.
ScotApp_972,972neuporabljenih
ScotApp_872,Prekliči začasno zaustavitev
ScotApp_1188,VNESENA KOLIČINA
ScotApp_1727,Iskanje izdelka
ScotApp_751,Danes vsako uro
ScotApp_651,Privzeto
ScotApp_551,551neuporabljenih
ScotApp_451,Status kopičenja v sprejemalcu kovancev
ScotApp_351,Status gotovine/papirja
ScotApp_251,251neuporablljenih
ScotApp_151,"Prosim, vzemite gotovino"
ScotApp_951,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s odstranjenih;LSWND3=%s;
ScotApp_851,Dva izdelka
ScotApp_730,730neuporabljenih
ScotApp_630,Kreditna kartica #:
ScotApp_430,Ne obratuje
ScotApp_330,Način asistence
ScotApp_230,Zavrnjen status sprejemalca gotovine
ScotApp_130,"Prosim, predložite vaše kupone."
ScotApp_1726,Zaključeno iskanje
ScotApp_930,Preverite komunikacijo.
ScotApp_830,Odstranil sem izdelek ali vrečko
ScotApp_193,193neuporabljenih
ScotApp_1457,Valuta je visoka
ScotApp_1283,1283neuporabljenih
ScotApp_724,724neuporabljenih
ScotApp_624,Neveljavno vneseno odstopanje
ScotApp_424,Vnesi znesek
ScotApp_324,Datum ni potreben
ScotApp_224,Koš zajemanja čitalca kartic je odstranjen
ScotApp_124,124neuporabljenih
ScotApp_1469,"Neuspešna izdaja %s stranki. %s\n* Preverite avtomate za izdajo kovancev in bankovcev.\n* Pritisnite ""Status gotovine/papirja"" da napolnite ali odpravite kopičenje."
ScotApp_924,924neuporabljenih
ScotApp_824,Začasno zaustavi potrditev
ScotApp_576,Začnite s ponudbo kartice.
ScotApp_1247,KUPONI ZA ŽIVILA
ScotApp_1678,Napaka ločevalnika bankovcev
ScotApp_1503,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1756,"Izberite iz rezultatov iskanja ali pritisnite ""Pojdi nazaj""."
ScotApp_1456,"Nepravilna številka in geslo asistenta. \nProsim, poskusite znova"
ScotApp_1502,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1712,Zač. zaust. prek.
ScotApp_1468,Status ločevalnika gotovine je prazen
ScotApp_1246,EBT
ScotApp_75,Konec
ScotApp_65,65neuporabljenih
ScotApp_55,Prekliči vse
ScotApp_45,45neuporabljenih
ScotApp_35,Dolg drobiža:
ScotApp_1258,PIP DARILNA KARTICA
ScotApp_15,Koda izdelka:
ScotApp_1711,Zač. zaust.
ScotApp_1683,"Nepopravljiva napaka.  Prosim, zaprite vrsto.  Pokličite Gunnebo in predložite spodaj prikazane informacije o napaki.\n\nNapaka SafePay: %s"
ScotApp_95,Skeniraj kupone
ScotApp_85,85neuporabljenih
ScotApp_1058,Pon. z asist.
ScotApp_1664,Kopičenje bankovcev
ScotApp_797,"Neuspešna izdaja %s stranki.\n* Preverite bankovce v kasetah in avtomatih za izdajo bankovcev glede kopičenj.\n* Zagotovite, da so kasete za bankovce in čistilni koši zaskočeni.\n* Zaprite varnostna vrata."
ScotApp_697,697neuporabljenih
ScotApp_597,NCR SelfServ obrazci blagajne se nalaga %d ...
ScotApp_497,Dolg zneska:
ScotApp_297,297neuporabljenih
ScotApp_197,Predstavitvene storitve so naložene.
ScotApp_997,Vnesi ceno
ScotApp_897,WTINFO je naložen.
ScotApp_1454,"Vnesite geslo in pritisnite ""Vnesi""."
ScotApp_1710,Vzemite vaš vrnjeni denar
ScotApp_1741,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s prič;LSWND3=%s %s opa
ScotApp_1388,Program usposabljanja
ScotApp_771,Prekliči začasno zaustavitev
ScotApp_671,Izhod iz način usposabljanja
ScotApp_571,"Vnesite količino in pritisnite ""Vnesi""."
ScotApp_471,   Vizualna overitev
ScotApp_371,Zamenjaj glavo tiskalnika
ScotApp_271,Odobri uporabljene kupone
ScotApp_971,971neuporabljenih
ScotApp_871,Potrdi začasno zaustavitev
ScotApp_1840,Shrani #:
ScotApp_750,Današnji povzetek
ScotApp_650,Običajen izdelek
ScotApp_550,550neuporabljenih
ScotApp_450,450neuporabljenih
ScotApp_350,Status gotovine/papirja
ScotApp_250,250neuporabljenih
ScotApp_150,Izberi znesek vračila gotovine
ScotApp_1773,"Pritisnite ""Odobri kupon"", da sprejmete kupon ali pojdite na Način asistence, da ga razveljavite."
ScotApp_950,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s dodanih;LSWND3=%s;
ScotApp_850,En izdelek
ScotApp_1405,"POS ni sinhroniziran prosim, pojdite na Način asistence, da ga ponovno sinhronizirate."
ScotApp_1513,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1657,Neveljaven oddelek.
ScotApp_1225,NEZNAN IZDELEK
ScotApp_644,-------------------------------------------------------------------
ScotApp_544,Geslo ne more biti večje od %d števk.
ScotApp_444,Kuponi za živila
ScotApp_344,344neuporabljenih
ScotApp_244,244neuporabljenih
ScotApp_144,Primerjaj podpis
ScotApp_1590,KOŠ %s IMA KOPIČENJE KOVANCEV
ScotApp_1669,Napaka ločevalnika kovancev/bankovcev
ScotApp_944,Preveč zahtev za dajanje v vrečko/škatlo.  Maks = %d.
ScotApp_844,844neuporabljenih
ScotApp_1729,Poišči izdelek:
ScotApp_1447,Odstrani gotovino
ScotApp_1703,(+)
ScotApp_1656,"Vnesite kodo oddelka # in pritisnite ""Vnesi""."
ScotApp_915,Preveč zahtev za preskočitev traku.  Maks = %d.
ScotApp_1668,V prikazanem območju se mogoče nahaja kopičenje. Odprite zgornji pokrov do ločevalnika bankovcev. Odstranite možne nakopičene bankovce.  Zaprite enoto in zamenjajte zgornji pokrov do ločevalnika bankovcev.  Nadaljujte transakcijo.
ScotApp_1542,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1139,Vrata avtomata za izdajo računa so odprta.
ScotApp_1254,PIP PRIHRANKI DOLGA
ScotApp_1249,PIP GENERIČNO
ScotApp_77,Dobropis
ScotApp_67,Pojdi nazaj
ScotApp_57,Končaj & plačaj
ScotApp_47,Zagon
ScotApp_37,37neuporabljenih
ScotApp_1458,NCR SelfServ poročilo blagajne
ScotApp_17,Kupon
ScotApp_1752,Teža na tehtnici presega kapaciteto.
ScotApp_1643,Napaka ločevalnika bankovcev
ScotApp_97,S seznama izberi embalažo
ScotApp_87,87neuporabljenih
ScotApp_1665,Odklenite in odstranite kaseto.  Odstranite nakopičene bankovce.  Ponovno vstavite kaseto. Zaprite ločevalnik. Nadaljujte transakcijo.
ScotApp_1138,Neuspešna izdaja %s.
ScotApp_1589,NI KOVANCEV
ScotApp_1445,Sprememba v štetju
ScotApp_1318,Skeniraj kupone
ScotApp_1654,Štetje presega kapaciteto. Potrebno maksimalno štetje polnjenj je %d. Štetje %d je vneseno samodejno.
ScotApp_796,"Malo kovancev ali avtomat za izdajo kovancev ne deluje/je izklopljen.\n* Vklopite avtomat za izdajo kovancev, ALI\n* Napolnite, izklopite avtomat za izdajo kovancev in nato pritisnite ""Napolnjen avtomat za izdajo kovancev"" - Prikazovanje statusa vrste."
ScotApp_696,696neuporabljenih
ScotApp_596,NCR SelfServ DodZas blagajne je naložen.
ScotApp_1391,"Pritisnite ""Težava je rešena"".\nČe napaka ostaja, izklopite in ponovno zaženite terminal."
ScotApp_396,Asistenca trgovine je bila potrebna za:
ScotApp_296,296neuporabljenih
ScotApp_196,Predstavitvene storitve se nalagajo ...
ScotApp_1588,"Vsak koš mora biti spraznjen preden lahko izberete gumb ""Dvig avtomata za izdajo"".  Spraznite vsak koš zbiralnika kovancev in nato pritisnite ""Dvig avtomata za izdajo""."
ScotApp_996,Vnos cene
ScotApp_896,WTINFO se nalaga ...
ScotApp_574,"Vnesite vaše geslo in pritisnite ""Vnesi""."
ScotApp_1093,Natisni zadnji račun
ScotApp_1641,"Napolnite zbiralnika kovancev in nadaljujte.  Če kovanci niso izdani, je mogoče zaklenjen zbiralnik.  Pokličite servis.\n\nNapaka SafePay: %s"
ScotApp_1781,HVALA POTEKEL
ScotApp_562,Kuponi morajo biti prodani v načinu asistence
ScotApp_874,"Vnesite D.L. ali I.D. # in pritisnite ""Vnesi""."
ScotApp_1124,1124neuporabljenih
ScotApp_770,Potrdi začasno zaustavitev
ScotApp_670,Vstopi v način usposabljanja
ScotApp_570,570neuporabljenih
ScotApp_470,   Starostno omejeno
ScotApp_370,Tiskalnik je odprt
ScotApp_270,Odobri kupone
ScotApp_170,"Odstranite izdelek s tehtnice in pritisnite gumb ""Scale zero"" na skenerju."
ScotApp_1640,Napaka zbiralnika
ScotApp_870,Alarmi:
ScotApp_1733,"Izberi ""Pojdi nazaj"" za nadaljevanje."
ScotApp_1553,Visok status valute:
ScotApp_664,Skenirajte vaše izdelke ali izberite jezik.
ScotApp_564,564neuporabljenih
ScotApp_464,%s               %s
ScotApp_364,364neuporabljenih
ScotApp_264,264neuporabljenih
ScotApp_964,"Odstranite izdelek in pritisnite ""Briši varnost"" ali pritisnite ""Odobri & Posodobi težo""."
ScotApp_864,Odobritev:
ScotApp_1647,(mmddllll)
ScotApp_1119,"Avtomat za izdajanje računa ne bo deloval z odprtimi dostopnimi vrati.\n\nZaprite in zaskočite vrata avtomata za izdajanje ali varnostna vrata.\n\nČe se napaka ponovno pojavi, izdelajte diagnostično datoteko dnevnika in pokličite servis."
ScotApp_1659,Natisni račun
ScotApp_819,Potrdite začasno zaustavitev za razveljavljeni izdelek.
ScotApp_1339,Ponovno zaženi celotni sistem
ScotApp_1582,Status medijev
ScotApp_1154,Napaka skenerja
ScotApp_1117,"%s ni kasete avtomata za izdajo bankovcev ali pa ni popolnoma vstavljena.\n\nNamestite ali ponovno vstavite %s kaseto za bankovce, da zaskoči."
ScotApp_1294,Q - S
ScotApp_1030,Vstavite vaš kupon.
ScotApp_1658,"Prosim, overite, da je stranka prejela pravilni drobiž."
ScotApp_1421,Način asistence
ScotApp_709,709neuporabljenih
ScotApp_1129,"Popravljanje ni bilo izvedeno pravilno.\n\nProsim, poskusite ponovno."
ScotApp_509,509neuporabljenih
ScotApp_409,Sporočilo sistema
ScotApp_309,dolar
ScotApp_209,Prekini program
ScotApp_109,Nadaljujem?
ScotApp_1338,Pridobi Diag datoteke
ScotApp_909,Nepravilna teža na varnostni tehtnici.
ScotApp_809,POS sporočilo:
ScotApp_1645,"Preverite, da je pokrov bankovcev varno pritrjen."
ScotApp_1116,"Avtomat za izdajanje računa ne bo deloval, ker koš zavrnjenih bankovcev ni prisoten in popolnoma zaskočen.\n\nVstavite koš zavrnjenih bankovcev in zagotovite, da je popolnoma zaskočil."
ScotApp_1128,%s\n
ScotApp_1452,"Vnesite ID in pritisnite ""Vnesi""."
ScotApp_183,183neuporabljenih
ScotApp_1450,Kaseta s ključavnico
ScotApp_1293,P
ScotApp_1644,Odstranjen pokrov ločevalnika bankovcev
ScotApp_1115,POROČANJE IZKLJUČENO
ScotApp_795,"Nakupi so nadzorovani, da se zagotovijo boljše storitve."
ScotApp_695,695neuporabljenih
ScotApp_595,NCR SelfServ DodZas blagajne se nalaga ...
ScotApp_395,Izdelki z omejitvami niso dovoljeni
ScotApp_295,295neuporabljenih
ScotApp_195,Upravitelj naprave je naložen.
ScotApp_566,566neuporabljenih
ScotApp_1324,Teža ostane na\ntehtnici po transakciji.
ScotApp_995,"Pojdite do vrste in se prijavite v Način trgovine, da odprete vrsto."
ScotApp_895,DBM se končuje ...
ScotApp_1102,Naprej
ScotApp_1383,(Exc)
ScotApp_1402,VTIČ KRATKEGA STIKA KOŠA ZAVRNJENIH BANKOVCEV JE IZKLOPLJEN.
ScotApp_1292,N - O
ScotApp_1114,"""Končaj obdobje poročanja"" uspešno posodobljeno"
ScotApp_1222,NE OBRATUJE
ScotApp_1101,%s\t%s
ScotApp_1159,PinTipkovnica / EFT se ne odziva.
ScotApp_1100,%s
ScotApp_1539,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1649,(ddmmllll)
ScotApp_1317,Plačilo s kuponom
ScotApp_1883,"Preverite prostor za vreče in se dotaknite ""Odobrite ali odstranite predmet""."
ScotApp_729,729neuporabljenih
ScotApp_629,Drobiž skupno:
ScotApp_429,Rdeč
ScotApp_329,  %ss @ %d %s/%s
ScotApp_229,229neuporabljenih
ScotApp_129,"Overite razveljavljene izdelke, ki so bili položeni na stran."
ScotApp_1107,%s\t%s\tKol %s @ %s/%s\t%s
ScotApp_1538,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_929,WLDB ne komunicira pravilno.
ScotApp_829,829neuporabljenih
ScotApp_1316,* Odprite pokrov tiskalnika in preverite glede kopičenja v prikazanem območju.\n* Zaprite pokrov tiskalnika in napolnite papir.
ScotApp_81,Nadaljujem
ScotApp_1882,Smart Assist alarm - predmet ni skeniran.
ScotApp_1673,Kopičenje kovancev
ScotApp_1135,Napaka avtomata za izdajanje računa
ScotApp_1705,Napaka v komunikaciji.
ScotApp_1894,Set item aside and continue with your purchase.
ScotApp_787,"Vnesen datum rojstva: %s, %d let"
ScotApp_1398, Udel/Uspos
ScotApp_1106,%s\t%s\tKol %s @ %s/each\t%s
ScotApp_1525,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1493,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1490,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1315,* Odprite pokrov tiskalnika in preverite glede kopičenja.\n* Zaprite pokrov tiskalnika in napolnite papir.
ScotApp_1881,"Preverite prostor za vreče, odstranite predmet in se dotaknite ""Odobrite ali odstranite predmet""."
ScotApp_1173,ODOBREN RAZVELJAVLJENI IZDELEK
ScotApp_1524,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_505,Napačna številka
ScotApp_1302,Zapri
ScotApp_905,  (več informacij na računu ...)
ScotApp_1164,Tiskalnik ni pravilno postavljen.
ScotApp_1492,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1314,* Odprite pokrov tiskalnika in odstranite ostanke papirja.\n* Zaprite pokrov.\n* Vstavite nov zvitek papirja.\n* Z vrha zvitka vstavite papir v tiskalnik.
ScotApp_1817,"* Izvlecite ločevalnik kovancev.\n* Odprite okrogla stranska vrata in odstranite kovance s trakov.\n* Zagotovite, da so vsa vrata zaprta in pravilno zaklenjena.\n* Stranki vrnite kovance.\n* Če se napaka pojavi ponovno, prosimo pokličite servis."
ScotApp_1442,"Vstavite gotovino, da napolnite ali pritisnite ""Odstrani gotovino"", da spraznite."
ScotApp_1880,Nepričakovan predmet na prostoru za vreče
ScotApp_1172,POTRJENA ZAČASNA ZAUSTAVITEV
ScotApp_1415,1415neuporabljenih
ScotApp_788,Overi datum rojstva:%s
ScotApp_688,688neuporabljenih
ScotApp_588,Tovarna naprave se nalaga ...
ScotApp_488,Položite izdelek na tehtnico: %s
ScotApp_388,Obdelovanje ...
ScotApp_288,"Pritisnite ""Težava je rešena"".\n* Če napaka obstaja, ponovno zaženite terminal:\nObrnite Nadzorno ključavnico na 'S'-ALI pritisnite Nadzorni gumb.\nIzberite ""Izklopi celotni sistem"".\nKo zaslon utripa, izklopite terminal na UPS-u ali vtičnici z več priključki.\nVklopite terminal. Če se napaka ponovno pojavi, izdelajte diagnostično datoteko dnevnika in pokličite servis."
ScotApp_188,Možnosti se nalagajo ...
ScotApp_988,Nepričakovani izdelek na traku. Odstranite izdelek.
