AmountSaved,Economie
XM_ResetCoinHopperLeadThruV6HW,"Retirez les pièces des chargeurs de pièces. Remplacez\nles chargeurs de pièces vides.\n\nÀ la fin, appuyez sur ""OK""."
XM_LoaderCountEnteredExceededCapacityV6HW,La quantité saisie dépasse la capacité du chargeur.\nLa quantité maximum autorisée est %d.
XM_CoinHopperPendingResetV6HW,Réinitialisation en cours: %d - %s
XM_ConfirmResetCoinHopperV6HW,Réinitialisation des quantités/de la valeur du chargeur de pièces\n
XM_ConfirmResetCoinHopper1V6HW,\n%s\nRéinit. montant: %s quantité: %d\n
XM_ConfirmResetCoinHopper2V6HW,\nAprès réinitialisation:\nPièces dans le chargeur: %s: quantité: %d\nPièces dans la boîte à pièces: %s: quantité: %d
XM_CannotCompleteTransferV6HW,"Impossible de terminer le transfert.\nPas assez d'espace dans la boîte de monnaie.\nVidez-la avant d'effectuer cette opération."
XM_CashStatusLeadthruV6HW,"•   Imprimer l'état de la monnaie.\n•   Insérez des pièces dans l'accepteur de pièces.\n•   Insérez des billets dans l'accepteur de billets.\n•   Appuyez sur ""Quitter"" quand vous avez fini."
XM_NonDispensableCoinsV6HW,Pièces non distribuables
XM_DispensableCoinsV6HW,Pièces distribuables
XM_ConfirmNoteDispenseV6HW,Distribution de billets\n\nMontant à distribuer: %s\nQuantité à distribuer: %d
XM_DispenseNoteFullPreemptiveV6HW,"Veuillez prendre les billets\n\nLes billets sont distribués en liasses de %d.\nLa distribution s'interrompra jusqu'à ce que tous les billets soient pris."
XM_NoteBoxV6HW,Boîte à billets
XM_NoteRecyclerV6HW,Recycleurs de billets
XM_DispenseCoinsToBaseLevelV6HW,Distribuer les pièces ->\nniveau de base
XM_TransferNotesToBaseLevelV6HW,Transf. billets -> niveau base
XM_TransferAllNotesV6HW,Transférer tous les billets
XM_LeadThruNoteBoxTransferV6HW,"Transferts de la boîte à billets\n•   Sélectionnez la fonction de transfert désirée.\n•   Une fois terminé, ""Appliquer les changements""."
XM_LeadThruResetFunctionV6HW,"Fns réinit.\n•   Sélectionnez la fonction de réinitialisation désirée.\n•   Une fois terminé, ""Appliquer les changements""."
XM_LeadThruDispenseFunction2V6HW,"Fonctions de distribution\n•   Appuyez sur le type de coupure et saisissez le montant/la\n     quantité ou sélectionnez une fonction.\n•   Une fois terminé, ""Appliquer les changements""."
XM_SignSigTouchDisplayV6HW,"Veuillez signer sur l'écran tactile."
XM_LeadThruCashManagementErrorV6HW,Erreur de la gestion de monnaie
XM_LoanPickupUpdateFailureV6HW,Échec de mise à jour de la gestion de monnaie
XM_LoanPickupUpdateNoResponseV6HW,Pas de réponse du PDV lors de la mise à jour du statut de la gestion de monnaie
XM_LoanPickupUpdateFailureInstructionV6HW,"\n•   Appuyez sur ""Réessayer"" pour mettre à jour.\n•   Si l'erreur réapparaît, contactez la direction du magasin.\n•   Cette erreur ne sera pas effacée tant que la mise à jour n'aura pas réussi."
XM_LoanPickupUpdateNoResponseInstructionV6HW,"•   Signalez immédiatement cette erreur à la direction du magasin.\n•   Le statut de la gestion de monnaie n'a peut-être pas été mis à jour.\n•   Accédez à l'écran des fonctions utilitaires."
XM_LoanPickupUpdateNoResponseInstruction1V6HW,"•   Appuyez sur ""Générer les fichiers du journal de diagnostic"" puis sur ""Arrêter tout le système"".\n•   Rallumez le système.\n•   Si l'erreur réapparaît, générez un autre fichier de diagnostic et appelez la maintenance.\n"
XM_CashManagementErrorRetryButtonV6HW,Réessayer
XM_DispenseThresholdV6HW,Le nombre saisi est supérieur à la quantité disponible à la distribution. Quantité maximum saisie: %d
ScotApp_1742,SAC NON VALIDE 
ScotApp_71,71unused
ScotApp_61,61unused
ScotApp_51,Impossible de scanner le coupon
ScotApp_41,Articles à vente restreinte
ScotApp_31,Coupons
ScotApp_1055,1055unused
ScotApp_11,11unused
ScotApp_789,"Passez votre carte. Veuillez vérifier qu'il ne reste pas d'articles dans le panier."
ScotApp_689,  Ventes:          %d
ScotApp_589,Paramètres par défaut du périphérique chargés.
ScotApp_389,Traitement de la carte en cours
ScotApp_289,289unused
ScotApp_189,Options chargées.
ScotApp_91,91unused
ScotApp_773,Economie:
ScotApp_673,Veuillez remettre la monnaie %s au client.
ScotApp_1264,USERDEFINED6
ScotApp_473,Remplir
ScotApp_373,Imprimante: erreur de sortie du ticket
ScotApp_989,989unused
ScotApp_889,%s\nPoids réel(%s): %s\nPoids attendu(%s): %s
ScotApp_1520,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1042,"NOTE D'ENDOSSEMENT:\nCETTE NOTE S'IMPRIME PAR SUITE D'UNE ERREUR\nD'ENDOSSEMENT DE DOCUMENT.\n VEUILLEZ JOINDRE CETTE NOTE AU DOCUMENT APPROPRIE.\n----------------------------------------\n"
ScotApp_973,973unused
ScotApp_873,"Saisie du n° d'ID :"
ScotApp_1737,Votre sac
ScotApp_752,Hier Sommaire
ScotApp_652,"**Pas d'entrée BdD de détection de poids pour cet UPC."
ScotApp_1054,1054unused
ScotApp_452,"Vérifier que le câble est fermement enfoncé dans l'accepteur de monnaie."
ScotApp_352,Mise à jour
ScotApp_252,Distributeur de monnaie: blocage\nRetirez le blocage
ScotApp_152,152unused
ScotApp_1310,* Retirez le récepteur de billet.\n* Réinsérez-le jusqu’à ce qu’il soit correctement enclenché.\n* Vérifiez que le moteur du récepteur de billet est allumé et que le voyant lumineux est vert.
ScotApp_661,(Def)
ScotApp_952,Ajouter poids nul
ScotApp_852,Trois articles
ScotApp_1527,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1838,Vérifier art.
ScotApp_731,Résumé
ScotApp_631,Nom du détenteur:
ScotApp_531,\nPanne du périphérique de saisie de signature
ScotApp_331,Retirez les articles de la balance. Clavier désactivé.
ScotApp_231,231unused
ScotApp_131,Déposer les coupons
ScotApp_1736,"Placez vos sacs dans la zone d'ensachage et appuyez ensuite sur ""Terminé""."
ScotApp_1250,PIP CREDIT
ScotApp_831,831unused
ScotApp_300,300unused
ScotApp_1306,%s Monnaie rendue
ScotApp_710,710unused
ScotApp_610,"Poids de l'article:"
ScotApp_510,Signez à nouveau
ScotApp_310,compartiment presque vide
ScotApp_210,210unused
ScotApp_110,"Pesez l'article"
ScotApp_1526,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1126,Erreur du distributeur de monnaie.\n\nSélectionnez l’option On/Off si elle existe sur le distributeur.
ScotApp_1040,Signature
ScotApp_810,En formation
ScotApp_1735,Placez vos sacs
ScotApp_1257,PIP COUPONS ALIMENTAIRES
ScotApp_704,Le clavier de code PIN
ScotApp_604,Scannez un article.
ScotApp_504,504unused
ScotApp_404,404unused
ScotApp_304,Sélection emballage
ScotApp_204,Copie en cours du fichier vers le serveur...
ScotApp_104,104unused
ScotApp_1269,USERDEFINED11
ScotApp_904,"Approbation du poids de l'article"
ScotApp_804,804unused
ScotApp_1047,"Endossement requis. Veuillez attendre l'aide de l'opérateur."
ScotApp_1478,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1134,La cassette de billets est pleine.
ScotApp_1734,"J'ai amené mon propre sac"
ScotApp_1256,PIP EBT
ScotApp_1512,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1465,Erreur du périphérique de recyclage des espèces
ScotApp_1721,Transaction en Mode Formation
ScotApp_1890,Traitement en cours...
ScotApp_1243,CARTE DE FIDELITE
ScotApp_1544,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_63,Non
ScotApp_53,53unused
ScotApp_43,43unused
ScotApp_33,"J'ai corrigé le problème"
ScotApp_1255,PIP DEBITER COMPTE CHEQUES
ScotApp_13,  %ss @ %s/%s
ScotApp_1511,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_93,Scannez & Mettez en sac
ScotApp_83,83unused
ScotApp_1464,Numéro du terminal
ScotApp_1189,ARTICLE ENTRE
ScotApp_1720,PS:
ScotApp_1045,Payez avec %s
ScotApp_672,*** TRANSACTION EN MODE DE FORMATION ***
ScotApp_572,"Tapez le code article puis appuyez sur ""Entrée""."
ScotApp_472,Aide requise
ScotApp_372,Translation not required
ScotApp_272,Vérifiez les coupons utilisés
ScotApp_172,"Scannez l'article à annuler ou sélectionnez l'article sur le reçu."
ScotApp_1510,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1701,Impossible de distribuer %s.
ScotApp_972,972unused
ScotApp_872,Annuler la mise en attente
ScotApp_1188,QUANTITE ENTREE
ScotApp_1727,"Recherche d'article(s)"
ScotApp_751,Aujourd’hui Horaire
ScotApp_651,Par défaut
ScotApp_551,551unused
ScotApp_451,Monnayeur: blocage
ScotApp_351,État Cash / Papier
ScotApp_251,251unused
ScotApp_151,Veuillez prendre les espèces
ScotApp_951,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s retiré(s);LSWND3=%s;
ScotApp_851,Deux articles
ScotApp_730,730unused
ScotApp_630,Numéro de carte de crédit:
ScotApp_430,Hors service
ScotApp_330,Mode Aide
ScotApp_230,"État de l'accepteur d'espèces: rejeté"
ScotApp_130,Veuillez déposer vos coupons.
ScotApp_1726,Recherche terminée
ScotApp_930,Vérifiez la communication.
ScotApp_830,Article retiré
ScotApp_193,193unused
ScotApp_1457,Numéraire trop élevé
ScotApp_1283,1283unused
ScotApp_724,724unused
ScotApp_624,La tolérance saisie est invalide
ScotApp_424,Saisissez le montant
ScotApp_324,Date non requise
ScotApp_224,Lecteur de carte: compartiment de saisie retiré
ScotApp_124,124unused
ScotApp_1469,"La distribution de %s au client a échoué. %s\n* Vérifiez les distributeurs de pièces et de billets.\n* Appuyez sur ""État Cash / Papier"" pour remplir ou éliminez le bourrage."
ScotApp_924,924unused
ScotApp_824,Confirmation de la mise en attente
ScotApp_576,Terminez le paiement par carte.
ScotApp_1247,COUPONS ALIMENTAIRES
ScotApp_1678,Erreur du recycleur de billets
ScotApp_1503,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1756,"Sélectionnez parmi les résultats de recherche ou appuyez sur ""Annuler"". "
ScotApp_1456,Numéro et mot de passe de caissière incorrect. \nVeuillez recommencer.
ScotApp_1502,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1712,Interruption abandonnée
ScotApp_1468,Etat du recycleur des espèces vide
ScotApp_1246,EBT
ScotApp_75,Terminé
ScotApp_65,65unused
ScotApp_55,Tout annuler
ScotApp_45,45unused
ScotApp_35,Monnaie due:
ScotApp_1258,PIP CARTE CADEAU
ScotApp_15,Code article:
ScotApp_1711,Interruption abandonnée
ScotApp_1683,Erreur irrécupérable.  Veuillez fermer la caisse.  Appelez Gunnebo et fournissez les informations affichées ci-dessous et concernant l’erreur.\n\nErreur SafePay: %s
ScotApp_95,Scanner les coupons
ScotApp_85,85unused
ScotApp_1058,Paiement assisté
ScotApp_1664,Blocage de billets
ScotApp_797,Erreur de distribution %s. \n* Vérif. billets dans cassettes et distrib. billets.\n* Vérif. fermeture cassettes\net récupérateur.\n* Fermez porte de sécurité.
ScotApp_697,697unused
ScotApp_597,NCR SelfServ Checkout Forms %d: chargement en cours...
ScotApp_497,Montant dû:
ScotApp_297,297unused
ScotApp_197,Services de présentation chargés.
ScotApp_997,Saisir prix
ScotApp_897,WTINFO chargé
ScotApp_1454,"Tapez le mot de passe et touchez ""Entrée""."
ScotApp_1710,Récupérez votre monnaie
ScotApp_1741,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s att;LSWND3=%s %s obs
ScotApp_1388,Programme de formation
ScotApp_771,Annuler la mise en attente
ScotApp_671,Quitter du mode de formation
ScotApp_571,"Saisissez la quantité et appuyez sur ""Entrée""."
ScotApp_471,   Validation visuelle
ScotApp_371,Imprimante: remplacez la tête
ScotApp_271,Approuvez les coupons utilisés
ScotApp_971,971unused
ScotApp_871,Confirmer la mise en attente
ScotApp_1840,N° magasin:
ScotApp_750,Aujourd’hui Sommaire
ScotApp_650,Produit régulier
ScotApp_550,550unused
ScotApp_450,450unused
ScotApp_350,État Cash / Papier
ScotApp_250,250unused
ScotApp_150,Sélectionnez un montant.
ScotApp_1773,"Appuyez sur ""Approuver bon  de réduction"" pour accepter le bon de réduction ou passez en mode d'assistance pour l'annuler."
ScotApp_950,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s ajouté(s);LSWND3=%s;
ScotApp_850,Un article
ScotApp_1405,"POS n'est pas synchronisé, veuillez passer en mode Aide pour resynchroniser."
ScotApp_1513,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1657,Dépt. non valide
ScotApp_1225,ARTICLE INCONNU
ScotApp_644,-------------------------------------------------------------------
ScotApp_544,"Le mot de passe d'opérateur ne peut pas dépasser %d chiffres."
ScotApp_444,Coupons alimentaires
ScotApp_344,344unused
ScotApp_244,244unused
ScotApp_144,Comparez la signature
ScotApp_1590,Des pièces sont bloquées dans le bac %s.
ScotApp_1669,Erreur du recycleur de billets/de monnaie
ScotApp_944,Trop de demandes pour mettre en sac ou en carton. Max = %d.
ScotApp_844,844unused
ScotApp_1729,Recherche des articles:
ScotApp_1447,Retirer des espèces
ScotApp_1703,(+)
ScotApp_1656,"Entrer le code de dépt. et toucher ""Entrée"""
ScotApp_915,Trop de demandes pour passer le tapis roulant. Max = %d
ScotApp_1668,Un billet peut être bloqué à l’emplacement indiqué. Ouvrez le capot supérieur du recycleur de billets. Retirez les billets bloqués. Refermez le capot supérieur du recycleur de billets. Continuez la transaction.
ScotApp_1542,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1139,La porte du distributeur de billets est ouverte.
ScotApp_1254,"PIP DEBITER COMPTE D'EPARGNE"
ScotApp_1249,PIP GENERIQUE
ScotApp_77,Crédit
ScotApp_67,Retour
ScotApp_57,Terminer & Payer
ScotApp_47,Démarrer
ScotApp_37,37unused
ScotApp_1458,Rapport NCR SelfServ Checkout
ScotApp_17,Coupon
ScotApp_1752,Le poids sur la balance dépasse sa capacité.
ScotApp_1643,Erreur du recycleur de billets
ScotApp_97,Sélectionnez emballage
ScotApp_87,87unused
ScotApp_1665,"Déverrouillez et retirez la cassette. Retirez le billet coincé. Remettez la cassette en place. Fermez l'unité de recyclage. Continuez la transaction."
ScotApp_1138,Impossible de distribuer %s.
ScotApp_1589,IL N’Y A PLUS DE PIÈCES
ScotApp_1445,Différence en nombre
ScotApp_1318,Scanner les bons
ScotApp_1654,La quantité excède la capacité. La quantité maximum nécessaire est %d. Quantité %d renseignée automatiquement.
ScotApp_796,"Niveau monnaie bas ou distributeur en panne/éteint.\n* Allumez distrib. monnaie, OU\n* Remplir, éteindre puis rallumer distrib, appuyer sur ""Distributeur de monnaie rempli"" - Ecran Etat de caisse."
ScotApp_696,696unused
ScotApp_596,NCR SelfServ Checkout AuxDisp: chargé.
ScotApp_1391,"Appuyez sur ""J'ai corrigé le problème"".\nSi le problème persiste, arrêtez et redémarrez le poste."
ScotApp_396,"L'aide du magasin a été requise pour:"
ScotApp_296,296unused
ScotApp_196,Chargement en cours...
ScotApp_1588,"Il faut vider les récipients avant d'appuyer sur ""Retrait dans le distributeur"".  Videz chaque récipient du chargeur puis appuyez sur le bouton."
ScotApp_996,Saisie du prix
ScotApp_896,Chargement de WTINFO...
ScotApp_574,"Saisir mot de passe et appuyer sur ""Entrée""."
ScotApp_1093,Imprimer dernier reçu
ScotApp_1641,"Remplissez le distributeur de monnaie à trémie et continuez. S’il n’y a pas de distribution, il peut être bloqué. Contactez le Service.\n\nErreur SafePay: %s"
ScotApp_1781,"DÉLAI DE L'ÉCRAN DE REMERCIEMENT ÉCOULÉ"
ScotApp_562,Les coupons doivent être vendus en mode Aide
ScotApp_874,"Entrez le n° d'ID et touchez ""Entrée""."
ScotApp_1124,1124unused
ScotApp_770,Confirmer la mise en attente
ScotApp_670,Entrer dans le mode de formation
ScotApp_570,570unused
ScotApp_470,"Limite d'âge"
ScotApp_370,Imprimante: ouverte
ScotApp_270,Approuvez les coupons
ScotApp_170,"Retirez l'article de la balance et appuyez sur le bouton ""Balance zéro"" du scanner."
ScotApp_1640,Erreur de trémie
ScotApp_870,Alertes:
ScotApp_1733,"Sélectionnez ""Annuler"" pour continuer."
ScotApp_1553,Etat du numeraire eleve :
ScotApp_664,Scannez vos articles ou\nchoisissez une langue.
ScotApp_564,564unused
ScotApp_464,%s               %s
ScotApp_364,364unused
ScotApp_264,264unused
ScotApp_964,"Retirez l'article et touchez ""Effacer Sécurité"" ou touchez ""Approuver & Mettre poids à jour""."
ScotApp_864,Approbation
ScotApp_1647,(mmjjaaaa)
ScotApp_1119,"Le distributeur de billets ne fonctionnera pas avec la porte ouverte.\n\nFermer et verrouiller la porte du coffre ou du distributeur.\n\nSi l'erreur revient, appelez la maintenance."
ScotApp_1659,Imprimer le reçu
ScotApp_819,"Confirmez la mise en attente de l'article annulé."
ScotApp_1339,Rédemarrer le système 
ScotApp_1582,Etat du support
ScotApp_1154,Erreur scanner.
ScotApp_1117,"Cassette du distributeur de billets de %s sortie ou mal insérée.\n\nInstaller ou replacer cassette de billets de %s jusqu'à verrouillage."
ScotApp_1294,Q - S
ScotApp_1030,Insérez votre coupon.
ScotApp_1658,Veuillez vérifier que la monnaie rendue au client est correcte.
ScotApp_1421,Mode Aide
ScotApp_709,709unused
ScotApp_1129,Action corrective non exécutée correctement.\n\nVeuillez recommencer.
ScotApp_509,509unused
ScotApp_409,Message système
ScotApp_309,EURO
ScotApp_209,Stopper le programme
ScotApp_109,Continuer ?
ScotApp_1338,Obtenir Fichiers de diagnostic
ScotApp_909,Poids incorrect sur la balance de sécurité.
ScotApp_809,Message TPV :
ScotApp_1645,Vérifiez que le capot du bac des billets est bien fixé.
ScotApp_1116,Le distributeur de billets ne fonctionnera pas si le récupérateur de billets rejetés est absent ou mal enclenché.\n\nInsérer récupérateur de billets rejetés et vérifier son verrouillage.
ScotApp_1128,%s\n
ScotApp_1452,"Tapez l'ID et touchez ""Entrée""."
ScotApp_183,183unused
ScotApp_1450,Bac des espèces refusées
ScotApp_1293,P
ScotApp_1644,Capot du recycleur de billet enlevé
ScotApp_1115,REPORTING DECONNECTE
ScotApp_795,Achats surveillés pour assurer un meilleur service.
ScotApp_695,695unused
ScotApp_595,NCR SelfServ Checkout AuxDisp: chargement en cours...
ScotApp_395,Les articles à vente restreinte ne sont pas autorisés
ScotApp_295,295unused
ScotApp_195,Gestionnaire de périphériques chargé.
ScotApp_566,566unused
ScotApp_1324,Le poids reste\nsur la balance après la transaction
ScotApp_995,Allez à la caisse et connectez-vous en Mode magasin pour ouvrir la caisse.
ScotApp_895,Fin de DBM...
ScotApp_1102,Suivant
ScotApp_1383,(EXC)
ScotApp_1402, Le récupérateur de billets rejetés est déconnecté.
ScotApp_1292,N - O
ScotApp_1114,"Mise à jour de ""Fin de période de rapport"" réussie."
ScotApp_1222,HORS SERVICE
ScotApp_1101,%s\t%s
ScotApp_1159,PinPad \ EFT ne répond pas.
ScotApp_1100,%s
ScotApp_1539,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1649,(jjmmaaaa)
ScotApp_1317,Paiement par bons
ScotApp_1883,"Vérifiez s'il y a des articles supplémentaires sur la balance à sacs/dans le chariot et appuyez sur ""Annuler l'alerte""."
ScotApp_729,729unused
ScotApp_629,Prix total:
ScotApp_429,Rouge
ScotApp_329,  %ss @ %d %s/%s
ScotApp_229,229unused
ScotApp_129,Vérifiez que les art. annulés sont de côté.
ScotApp_1107,%s\t%s\tQté %s @ %s/%s\t%s
ScotApp_1538,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_929,Problème de communication avec WLDB.
ScotApp_829,829unused
ScotApp_1316,* Ouvrez le capot de l’imprimante et vérifiez qu’il n’y ait pas de bourrage papier dans la zone indiquée.\n* Refermez le capot et remettez du papier.
ScotApp_81,Continuer
ScotApp_1882,Alerte Smart Assist - article non scanné.
ScotApp_1673,Blocage de pièces
ScotApp_1135,Erreur de distributeur de billets
ScotApp_1705,Erreur de communication.
ScotApp_1894,Set item aside and continue with your purchase.
ScotApp_787,"Date de naissance saisie: %s, %d ans"
ScotApp_1398, Prép\form
ScotApp_1106,%s\t%s\tQté %s @ %s/chacun\t%s
ScotApp_1525,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1493,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1490,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1315,* Ouvrez le capot de l’imprimante et vérifiez qu’il n’y ait pas de bourrage papier.\n* Refermez le capot et remettez du papier.
ScotApp_1881,"Vérifiez la balance à sacs, enlevez les articles supplémentaires et appuyez sur ""Annuler l'alerte""."
ScotApp_1173,"ANNULATION D'ARTICLE APPROUVEE"
ScotApp_1524,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_505,Numéro incorrect
ScotApp_1302,Fermer
ScotApp_905," (Plus d'info sur le reçu...)"
ScotApp_1164,"L'imprimante est mal installée"
ScotApp_1492,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1314,* Ouvrez le capot de l’imprimante et retirez les bouts de papier.\n* Refermez le capot.\n* Insérer un nouveau rouleau.\n* Introduisez le bout du rouleau dans l’imprimante.
ScotApp_1817,"* Extrayez le recycleur de pièces.\n* Ouvrez les portes latérales rondes et éliminez les pièces des courroies.\n* Assurez-vous que les portes sont bien fermées et verrouillées.\n* Rendez les pièces au client. Si l'erreur revient, appelez la maintenance."
ScotApp_1442,"Insérez des billets pour recharger la cassette ou touchez ""Retirer des espèces"" pour la décharger."
ScotApp_1880,Article inattendu sur la balance à sacs.
ScotApp_1172,MISE EN ATTENTE CONFIRMEE
ScotApp_1415,1415unused
ScotApp_788,Valider date de naissance:%s
ScotApp_688,688unused
ScotApp_588,Chargement en cours des paramètres par défaut du périphérique...
ScotApp_488,"Placez l'article sur la balance: %s"
ScotApp_388,Traitement en cours...
ScotApp_288,"Touchez ""J'ai corrigé le problème"". Si l'erreur persiste, redémarrez le terminal :\nTournez la clé du superviseur en position S OU Appuyez sur le bouton Superviseur.\nSélectionnez Arrêt de tout le système.\nQuand l'écran est vide, coupez l'alimentation du terminal au disjoncteur.\nAllumez le terminal. Si l'erreur revient, appelez la maintenance."
ScotApp_188,Chargement des options en cours...
ScotApp_988,"Article imprévu sur le tapis roulant. Retirez l'article."
ScotApp_888,"Article imprévu dans la zone d'emballage. Retirez-le."
ScotApp_1887,Examiner transaction
ScotApp_1171,AUGMENTATION NON PREVUE
ScotApp_1199,"DATE D'EXPIRATION ENTREE"
ScotApp_1300,Démarrer transaction
ScotApp_1326,Le minuteur pour insérer le coupon a expiré
ScotApp_1291,K - M
ScotApp_1517,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1886,"Vérifiez s'il y a des articles supplémentaires."
ScotApp_749,749unused
ScotApp_1529,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_549,549unused
ScotApp_449,Monnayeur: rejeté
ScotApp_349,349unused
ScotApp_249,249unused
ScotApp_149,Saisissez le code secret
ScotApp_1307,Impression du reçu
ScotApp_1738,Un préposé doit vérifier vos sacs
ScotApp_949,949unused
ScotApp_717,717unused
ScotApp_617,Sélect. param vérif. poids. (Comparez poids aux entrées existantes)
ScotApp_517,Autre paiement requis.
ScotApp_417,Totaux permanents chargés.
ScotApp_317,317unused
ScotApp_217,217unused
ScotApp_117,Mettre les articles de côté
ScotApp_1516,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1885,Article non scanné
ScotApp_917,Trop de demandes pour retirer les articles de la zone de mise en sac. Max = %d.
ScotApp_817,Aide requise
ScotApp_1177,NOMBRE DE MISES EN SAC AUTORISE DEPASSE
ScotApp_1528,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1175,"LIMITE ""PAS DE MISE EN SAC"" DEPASSEE"
ScotApp_1109,%s\t%s\t%s @ %s/%s\t%s
ScotApp_1453,Mot de passe caissière
ScotApp_1693,Substitution de monnaie
ScotApp_1515,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_7,7unused
ScotApp_6,6unused
ScotApp_5,5unused
ScotApp_4,4unused
ScotApp_3,3unused
ScotApp_2,kg
ScotApp_1,lb
ScotApp_1176,NOUVEL ARTICLE ENTRE
ScotApp_1724,TRANSACTION EN MODE FORMATION
ScotApp_1019,Placez sur tapis roulant
ScotApp_9,9unused
ScotApp_8,8unused
ScotApp_609,Modifiez la tolérance de poids
ScotApp_1305,%s Inséré
ScotApp_1893,Code-barres Non valide
ScotApp_1409,Menu Aide
ScotApp_1692,Connexion superviseur
ScotApp_1163,"Touchez ""J'ai corrigé le problème"".\n\nSi l'erreur persiste, redémarrez le terminal :\nTournez la clé du superviseur sur la position 'S' -OU- Appuyez sur le bouton Superviseur.\nSélectionnez Arrêt de tout le système.\nQuand l'écran devient vide, coupez l'alimentation électrique du terminal au disjoncteur.\nAllumez le terminal. Si l'erreur revient, appelez la maintenance."
ScotApp_1514,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1372,Récepteur de pièces
ScotApp_1048,1048unused
ScotApp_967,967unused
ScotApp_1304,Carte de fidélité acceptée.
ScotApp_1162,Le périphérique est offline.
ScotApp_1833,Exc_Co
ScotApp_1818,"* Déverrouillez et extrayez le tiroir des chargeurs pour éliminer le bourrage (I).\n* Remettez les pièces coincées dans le(s) bon(s) récipients(s) des chargeurs. Réinsérez et verrouillez le tiroir des chargeurs.\n* Extrayez le recycleur de pièces. Déverrouillez et enlevez le couvercle. \n* Débranchez le câble indiqué (II).\n* Libérez la patte rouge à droite de l'accepteur, tirez-la vers l'avant puis retournez-la pour éliminer les bourrages des zones indiquées (III).\n* Réinsérez l'accepteur et rebranchez le câble. \n* Replacez et verrouillez le couvercle. Si l'erreur réapparaît, appelez la maintenance."
ScotApp_1174,LE POIDS NE CORRESPOND PAS
ScotApp_1500,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1366,Echelle
ScotApp_1161,Erreur pager
ScotApp_1717,PO:
ScotApp_1832,Exc_Ray
ScotApp_1370,Cryptage
ScotApp_669,"L'impression de signature a échoué. Une erreur s'est produite."
ScotApp_569,Tapez le code
ScotApp_469,469unused
ScotApp_369,Imprimante: erreur de communication
ScotApp_269,Mode Aide
ScotApp_1507,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_969,969unused
ScotApp_737,737unused
ScotApp_637,"La sécurité est Off-Line, la dernière action a été annulée."
ScotApp_537,537unused
ScotApp_437,Solde insuffisant
ScotApp_337,"Scannez votre article ou saisissez son code, puis appuyez sur ""OK""."
ScotApp_237,"Insérer cassette jusqu'à verrouillage en position.\n\nTirer sur la poignée de la cassette pour vérifier qu'elle est verrouillée en position."
ScotApp_137,Prenez votre monnaie
ScotApp_931,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s attendu;LSWND3=%s %s observé;
ScotApp_1519,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1831,Int
ScotApp_937,Limite\Retirez les articles
ScotApp_837,Frais
ScotApp_1702,*** COPIE DU TICKET ***
ScotApp_1377,quantité
ScotApp_1728,"Sélectionnez l'article dans la liste des art. populaires ou cherchez-le par ordre alphabétique. "
ScotApp_1395,Entrer en mode Préposé
ScotApp_716,716unused
ScotApp_616,Comparaison de poids
ScotApp_516,Autre Paiement
ScotApp_416,Chargement des totaux permanents en cours...
ScotApp_316,316unused
ScotApp_216,"* Ouvrez la porte de l'armoire puis le couvercle de l'imprimante à la recherche de bourrages.\n* Fermez le couvercle et remettez du papier.\n* Un ticket (visage souriant) doit s'imprimer.\n* Fermez et verrouillez la porte de l'armoire de l'imprimante."
