AmountSaved,Epargné
ScotApp_930,Vérifiez la communication.
ScotApp_830,J’ai retiré l’article ou l’ai emballé.
ScotApp_193,193unused
ScotApp_1457,Numéraire trop élevé
ScotApp_1283,1283unused
ScotApp_724,724unused
ScotApp_624,Tolérance non valide entrée
ScotApp_424,Entrez le montant
ScotApp_324,Date non requise
ScotApp_224,Compartiment de saisie du lecteur de carte retiré
ScotApp_124,124unused
ScotApp_1469,"Échec de distribution de %s. %s\n* Vérifiez les distributeurs de monnaie et de billets.\n* Touchez ""Etat Cash / Papier"" pour remplir le distributeur ou remédier au blocage."
ScotApp_924,924unused
ScotApp_824,Mettre en attente la confirmation
ScotApp_576,Débutez le dépôt de carte.
ScotApp_1247,TIMBRES DE NOURRITURE
ScotApp_1678,Erreur du recycleur de billet
ScotApp_1503,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1756,"Sélectionnez parmi les résultats de recherche ou appuyez sur ""Annuler"". "
ScotApp_1456,Numéro et mot de passe du caissier incorrect. \nVeuillez recommencer.
ScotApp_1502,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1712,Mise en attente refusée
ScotApp_1468,Etat du recycleur des espèces vide
ScotApp_1246,TBE
ScotApp_75,Terminé
ScotApp_65,65unused
ScotApp_55,Annulez tout
ScotApp_45,45unused
ScotApp_35,Monnaie due :
ScotApp_1258,PIP CARTE CADEAU
ScotApp_15,Code article :
ScotApp_1711,Mise en attente refusée
ScotApp_1683,Erreur irrécupérable.  Veuillez fermer la caisse.  Appeler Gunnebo et donner l’information sur l’erreur indiquée ci-dessous.\n\nErreur SafePay: %s
ScotApp_95,Scannez les coupons
ScotApp_85,85unused
ScotApp_1058,Paiement assisté
ScotApp_1664,Bourrage de billets
ScotApp_797,Erreur de distribution %s. \n*Vérifiez billets dans cassettes et distributeur de billets.\n* Vérifiez fermeture cassettes \net récupérateur.\n*Fermez porte de sécurité.
ScotApp_697,697unused
ScotApp_597,Formulaires de NCR SelfServ Checkout en chargement %d...
ScotApp_497,Montant dû :
ScotApp_297,297unused
ScotApp_197,Services de présentation chargés.
ScotApp_997,Entrez prix
ScotApp_897,WTINFO chargé
ScotApp_1454,"Entrez le mot de passe et appuyez sur ""Entrée""."
ScotApp_1710,Prendre la monnaie qui vous est remise.
ScotApp_1741,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s prév;LSWND3=%s %s obs
ScotApp_1388,Programme de formation
ScotApp_771,Annuler la mise en attente
ScotApp_671,Sortez le mode Entraînement
ScotApp_571,"Entrez la quantité et appuyez sur ""Entrée""."
ScotApp_471,   Validation visuelle
ScotApp_371,"Remplacez la tête de l'imprimante"
ScotApp_271,Approuvez les coupons utilisés
ScotApp_971,971unused
ScotApp_871,Confirmer la mise en attente
ScotApp_1840,Magasin nº
ScotApp_750,Aujourd’hui - Sommaire
ScotApp_650,Produit régulier
ScotApp_550,550unused
ScotApp_450,450unused
ScotApp_350,Etat Cash / Papier
ScotApp_250,250unused
ScotApp_150,Choisissez le montant de remise d’argent
ScotApp_1773,"Appuyez sur ""Approuver le coupon"" pour l’accepter ou passez en mode Aide pour l’annuler."
ScotApp_950,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s ajouté;LSWND3=%s;
ScotApp_850,Un article
ScotApp_1405,"PV désynchronisé, veuillez utiliser le mode Aide pour le resynchroniser."
ScotApp_1513,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1657,Service non valide
ScotApp_1225,ARTICLE INCONNU
ScotApp_644,-------------------------------------------------------------------
ScotApp_544,Le mot de passe ne peut comprendre plus de %d chiffres.
ScotApp_444,Coupons alimentaires
ScotApp_344,344unused
ScotApp_244,244unused
ScotApp_144,Comparez la signature
ScotApp_1590,Emplacement %s La monnaie est bloquée.
ScotApp_1669,Erreur du recycleur de monnaie/billet
ScotApp_944,Trop de demandes de sac/boîte. Max = %d.
ScotApp_844,844unused
ScotApp_1729,Consultation d’articles :
ScotApp_1447,Retirer des espèces
ScotApp_1703,(+)
ScotApp_1656,"Entrez le no du service et appuyez sur ""Entrer""."
ScotApp_915,Trop de demandes pour éviter le convoyeur. Max = %d
ScotApp_1668,Un billet peut être bloqué à l’endroit indiqué. Ouvrez le couvercle supérieur du recycleur de billet.  Retirez tout billet pouvant être bloqué.  Refermez l’unité et replacez le couvercle supérieur du recycleur de billet.  Poursuivez la transaction.
ScotApp_1542,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1139,La porte de la distributrice de billets est ouverte.
ScotApp_1254,PIP ÉPARGNE DÉBIT
ScotApp_1249,PIP GÉNÉRIQUE
ScotApp_77,Crédit
ScotApp_67,Retour
ScotApp_57,Finissez et payez
ScotApp_47,Démarrer
ScotApp_37,37unused
ScotApp_1458,Rapport NCR SelfServ Checkout
ScotApp_17,Coupon
ScotApp_1752,Le poids sur la balance dépasse la quantité prévue.
ScotApp_1643,Erreur du recycleur de billet
ScotApp_97,"Sélectionnez un contenant à partir d'une liste"
ScotApp_87,87unused
ScotApp_1665,"Déverrouillez et retirez la cassette.  Retirez le billet à l'origine du bourrage.  Réinsérez la cassette. Refermez le recycleur. Poursuivez la transaction."
ScotApp_1138,Distribution de %s a échoué.
ScotApp_1589,IL NE RESTE PLUS DE MONNAIE
ScotApp_1445,Différence en nombre
ScotApp_1318,Balayez les bons
ScotApp_1654,Total dépasse la capacité. Le total maximal requis est %d. Total de %d automatiquement entré.
ScotApp_796,"A court de monnaie ou distributrice est en erreur ou est éteinte\n* Allumez la distributrice, OU\n* Remplissez la distributrice de monnaie et appuyez sur ""Remplissage de la distributrice de monnaie"" - Écran d’état du poste."
ScotApp_696,696unused
ScotApp_596,Affichage auxiliaire de NCR SelfServ Checkout chargé.
ScotApp_1391,"Appuyez sur ""J’ai corrigé le problème"".\nSi l'erreur persiste, fermez et redémarrez le poste."
ScotApp_396,"On a eu recours à l'aide du magasin pour :"
ScotApp_296,296unused
ScotApp_196,Chargement en cours...
ScotApp_1588,"Chaque emplacement doit être vidé avant de pouvoir appuyer sur le bouton ""Cueillette de l’argent dans le distributeur"".  Vider chaque emplacement pour monnaie puis appuyer sur le bouton ""Cueillette de l’argent dans le distributeur""."
ScotApp_996,Prix
ScotApp_896,WTINFO en chargement...
ScotApp_574,"Entrez votre mot de passe et appuyez sur ""Entrée""."
ScotApp_1093,Imprimer le dernier reçu
ScotApp_1641,"Remplissez le bac de monnaie et continuez.  Si vous ne recevez pas de monnaie, il peut y avoir bourrage dans le bac.  Appelez le service d’assistance.\n\nErreur SafePay: %s"
ScotApp_1781,MERCI EXPIRÉ
ScotApp_562,Les coupons doivent être vendus en mode Aide
ScotApp_874,"Entrez le numéro D.L. ou identification et appuyez ""Entrée""."
ScotApp_1124,1124unused
ScotApp_770,Confirmer la mise en attente
ScotApp_670,Débuter le mode Entraînement
ScotApp_570,570unused
ScotApp_470,"   Limite d'âge"
ScotApp_370,Imprimante ouverte
ScotApp_270,Approuvez les coupons
ScotApp_170,"Retirez l'article de la balance et appuyez sur le bouton ""Balance zéro"" du scanneur."
ScotApp_1640,Erreur de magasin
ScotApp_870,Alertes:
ScotApp_1733,"Sélectionner ""Retour"" pour continuer."
ScotApp_1553,Etat du numéraire : élévé
ScotApp_664,Scannez vos items ou choisissez le langue.
ScotApp_564,564unused
ScotApp_464,%s               %s
ScotApp_364,364unused
ScotApp_264,264unused
ScotApp_964,"Retirez l’article et appyez sur ""Effacer sécurité"" ou appuyez sur ""Approuver & MAJ poids""."
ScotApp_864,Approbation BIC:
ScotApp_1647,(mmjjaaaa)
ScotApp_1119,"La distributrice de billets ne peut pas fonctionner si la porte d’accès est ouverte.\n\nFermez et verrouillez la porte d’accès de la distributrice de billets ou du coffre.\n\nSi l’erreur survient de nouveau, appelez le service."
ScotApp_1659,Imprimer reçu
ScotApp_819,Confirmer la mise en attente pour l’article annulé.
ScotApp_1339,Redémarrer le système en entier
ScotApp_1582,Etat du support
ScotApp_1154,Erreur de scanneur
ScotApp_1117,%s Cassette de distribution des billets est manquante ou n’est pas en place.\n\nInstallez ou repositionnez %s la cassette des billets jusqu’a ce qu’elle soit en place.
ScotApp_1294,Q - S
ScotApp_1030,Insérez votre coupon.
ScotApp_1658,Veuillez vous assurer que le client a reçu la monnaie appropriée.
ScotApp_1421,Mode Aide
ScotApp_709,709unused
ScotApp_1129,La connection n’a pas été faite corectement.\n\nVeuillez essayer de nouveau.
ScotApp_509,509unused
ScotApp_409,Message système
ScotApp_309,dollar
ScotApp_209,Stoppez le programme
ScotApp_109,Continuez ?
ScotApp_1338,Obtenir les fichiers de diagnostiques
ScotApp_909,Poids incorrect sur la balance de sécurité.
ScotApp_809,Message POS:
ScotApp_1645,Assurez-vous que le couvercle pour les billets est bien fermé.
ScotApp_1116,Fournisseur de billet ne peut pas fonctionner si la cassette des billets rejetés n’est pas en place.\n\nInsérer la cassette des billets rejetés et assurez vous qu’elle est en place.
ScotApp_1128,%s\n
ScotApp_1452,"Entrez l'ID et appuyez sur ""Entrée""."
ScotApp_183,183unused
ScotApp_1450,Verrouiller le bac
ScotApp_1293,P
ScotApp_1644,Couvercle du recycleur de billet retiré
ScotApp_1115,RAPPORTS HORS LIGNES
ScotApp_795,Surveillance des achats pour assurer un meilleur service.
ScotApp_695,695unused
ScotApp_595,Affichage auxiliaire de NCR SelfServ Checkout en chargement...
ScotApp_395,Les articles réglementés ne sont pas permis
ScotApp_295,295unused
ScotApp_195,Gestionnaire de périphériques chargé.
ScotApp_566,566unused
ScotApp_1324,Le poids reste sur\nla balance après la transaction
ScotApp_995,"Allez à la caisse et à partir du Mode magasin, procéder à l’ouverture de la caisse."
ScotApp_895,DBM se termine...
ScotApp_1102,Suivant
ScotApp_1383,(Exc)
ScotApp_1402, Billet refusé prise du connecteur du bac fermée
ScotApp_1292,N - O
ScotApp_1114,"Mise à jour de la ""Fin de période du rapport"" complété avec succès."
ScotApp_1222,HORS D’USAGE
ScotApp_1101,%s\t%s
ScotApp_1159,Périphérique PinPad\TFE ne répond pas.
ScotApp_1100,%s
ScotApp_1539,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1649,(jjmmaaaa)
ScotApp_1317,Paiement par bon
ScotApp_1883,Vérifiez la balance pour sac et le chariot pour les articles en trop et appuyez sur « Accepter ».
ScotApp_729,729unused
ScotApp_629,Frais totaux :
ScotApp_429,Rouge
ScotApp_329,  %ss @ %d %s/%s
ScotApp_229,229unused
ScotApp_129,Assurez-vous que les articles annulés ont été mis de côté.
ScotApp_1107,%s\t%s\tQté %s @ %s/%s\t%s
ScotApp_1538,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_929,WLDB ne communique pas correctement.
ScotApp_829,829unused
ScotApp_1316,* Ouvrez le couvercle de l’imprimante et vérifiez qu’il n’y a pas de papier de coincé.\n* Fermez le couvercle de l’imprimante et rechargez le papier.
ScotApp_81,Continuer
ScotApp_1882,Alerte Smart Assist - article non scanné
ScotApp_1673,Bourrage de monnaie
ScotApp_1135,Erreur de la distributrice de billets
ScotApp_1705,Erreur de communication.
ScotApp_1894,Set item aside and continue with your purchase.
ScotApp_787,"Date de naissance entrée: %s, %d ans"
ScotApp_1398, Pré\Entraî
ScotApp_1106,%s\t%s\tQté %s @ %s/chacun\t%s
ScotApp_1525,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1493,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1490,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1315,* Ouvrez le couvercle de l’imprimante et vérifiez qu’il n’y a pas de papier de coincé.\n* Fermez le couvercle de l’imprimante et rechargez le papier.
ScotApp_1881,"Vérifiez la balance pour sac, retirez les articles en trop et appuyez sur « Accepter »."
ScotApp_1173,ARTICLE ANNULÉ APPROUVÉ
ScotApp_1524,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_505,Numéro incorrect
ScotApp_1302,Fermer
ScotApp_905," (Plus d'info. sur reçu...)"
ScotApp_1164,L’imprimante n’est pas positionnée correctement.
ScotApp_1492,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1314,* Ouvrez le couvercle de l’imprimante et enlevez tous les débris de papier.\n* Fermez le couvercle.\n*. Insérez le nouveau rouleau de papier.\n* Alimentez le papier dans l’imprimante.
ScotApp_1817,"* Retirez le recirculateur de pièces.\n* Ouvrez les portes latérales arrondies et enlevez les pièces des courroies.\n* Assurez-vous que toutes les portes sont bien fermées et verrouillées.\n* Redonnez les pièces au client. Si l’erreur survient de nouveau, appelez le service."
ScotApp_1442,"Insérez des billets pour recharger la cassette ou appuyez sur ""Retirer des espèces"" pour la décharger."
ScotApp_1880,Article non attendu sur la balance pour sac.
ScotApp_1172,MISE EN ATTENTE CONFIRMÉE
ScotApp_1415,1415unused
ScotApp_788,Valider date de naissance:%s
ScotApp_688,688unused
ScotApp_588,Chargement des paramètres par défaut de périphérique en cours...
ScotApp_488,"Placez l'article sur la balance: %s"
ScotApp_388,Traitement en cours...
ScotApp_288,"Appuyez sur ""J’ai corrigé le problème"".\n\nSi l’erreur demeure, relancez le poste:\nTournez la clé superveur a 'S' -OU- appuyez sur l’option superviseur\nChoisissez ""Fermer le système"".\nLorsque l’écran devient vide, fermez le poste à partir du UPS ou de la barre d’alimentation.\nOuvrez le poste. Si l’erreur survient de nouveau, appelez le service."
ScotApp_188,Chargement des options en cours...
ScotApp_988,Article inattendu sur le convoyeur. Retirez cet article.
ScotApp_888,Retirez article inattendu dans la zone de mise en sac.
ScotApp_1887,Réexaminez la transaction
ScotApp_1171,AUGEMENTATION INATTENDUE
ScotApp_1199,DATE D’EXPIRATION ENTRÉE
ScotApp_1300,Commencez la transaction
ScotApp_1326,Durée d’insertion du coupon a expire
ScotApp_1291,K - M
ScotApp_1517,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1886,Vérifiez s’il y a des articles en trop.
ScotApp_749,749unused
ScotApp_1529,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_549,549unused
ScotApp_449,"État d'accepteur de monnaie rejeté"
ScotApp_349,349unused
ScotApp_249,249unused
ScotApp_149,Entrez le NIP
ScotApp_1307,Reçu imprimé
ScotApp_1738,Le commis doit vérifier le contenu de vos sacs
ScotApp_949,949unused
ScotApp_717,717unused
ScotApp_617,"Sélectionnez l'option pour la pesée forcée. (Comparez le poids de l'article aux entrées existantes.)"
ScotApp_517,Autre paiement requis.
ScotApp_417,Totaux permanents chargés.
ScotApp_317,317unused
ScotApp_217,217unused
ScotApp_117,Mettez de côté
ScotApp_1516,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1885,Article non scanné
ScotApp_917,Trop de demandes pour retirer les articles de la zone de mise en sac.  Max = %d.
ScotApp_817,Assistance requise
ScotApp_1177,DÉLAIS DE MISE EN SAC EXPIRÉ
ScotApp_1528,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1175,"NE PAS METTRE EN SAC, SEUIL EXCÉDÉ"
ScotApp_1109,%s\t%s\t%s @ %s/%s\t%s
ScotApp_1453,Mot de passe caissier
ScotApp_1693,Substitution monnaie
ScotApp_1515,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_7,7unused
ScotApp_6,6unused
ScotApp_5,5unused
ScotApp_4,4unused
ScotApp_3,3unused
ScotApp_2,kg
ScotApp_1,lb
ScotApp_1176,NOUVEL ARTICLE ENTRÉ
ScotApp_1724,TRANSACTION EN MODE ENTRAINEMENT
ScotApp_1019,Placez sur convoyeur
ScotApp_9,9unused
ScotApp_8,8unused
ScotApp_609,Modifiez la tolérance de poids
ScotApp_1305,%s inséré
ScotApp_1893,Invalid Barcode
ScotApp_1409,Menu d’assistance
ScotApp_1692,Ouverture de session du superviseur
ScotApp_1163,"Appuyez sur ""J’ai corrigé le problème"".\n\nSi l’erreur demeure, relancez le poste:\nTournez la clé superveur a 'S' -OU- appuyez sur l’option superviseur\nChoisissez ""Fermer le système"".\nLorsque l’écran devient vide, fermez le poste à partir du UPS ou de la barre d’alimentation.\nOuvrez le poste. Si l’erreur survient de nouveau, appelez le service."
ScotApp_1514,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1372,Accepteur de monnaie
ScotApp_1048,1048unused
ScotApp_967,967unused
ScotApp_1304,Carte de fidélisation accepté.
ScotApp_1162,Périphérique est hors-ligne.
ScotApp_1833,Exc_TB
ScotApp_1818,"* Déverrouillez ou sortez le plateau de trémie pour éliminer le bourrage (I).\n*Remettez les pièces qui coinçaient dans le ou les bacs de trémie appropriés. Puis, réinsérez et verrouillez le plateau de trémie.\n* Sortez le recirculateur de pièces. Ensuite, déverrouillez le couvercle et retirez-le.\n* Débranchez le câble illustré (II).\n* Libérez le taquet rouge de droite de l’accepteur, puis tirez-le vers l’avant et retournez-le pour enlever les bourrages des zones indiquées (III).\n* Réinsérez l’accepteur et reconnectez le câble.\n* Remettez le couvercle et verrouillez-le. Si l’erreur réapparaît, appelez le service."
ScotApp_1174,POIDS NON CONFORME
ScotApp_1500,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1366,Balance
ScotApp_1161,Erreur de pagineur
ScotApp_1717,PI:
ScotApp_1832,Dép. des except.
ScotApp_1370,Unité de chiffrement
ScotApp_669,Impression de signatures a échouée. Une erreur s’est produite.
ScotApp_569,Entrez le code
ScotApp_469,469unused
ScotApp_369,"Erreur de type ""communications d'imprimante"""
ScotApp_269,Mode Aide
ScotApp_1507,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_969,969unused
ScotApp_737,737unused
ScotApp_637,"La sécurité est hors ligne, la dernière action a été annulée."
ScotApp_537,537unused
ScotApp_437,Solde insuffisant
ScotApp_337,"Scannez votre article ou introduisez-en le code par clavier et appuyez sur ""OK""."
ScotApp_237,Insérez la cassette jusqu’a ce qu’elle soit en position.\n\nTirez sur la poignée de la cassette pour vous assurer que la cassette est bien en position.
ScotApp_137,Prenez la monnaie
ScotApp_931,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s attendu;LSWND3=%s %s observé;
ScotApp_1519,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1831,Interpolé
ScotApp_937,Limite\Ignorer
ScotApp_837,Frais
ScotApp_1702,*** REÇU EN DOUBLE ***
ScotApp_1377,quantité
ScotApp_1728,Veuillez sélectionner l’article dans la liste des articles populaires ou le chercher par ordre alphabétique. 
ScotApp_1395,Entrez mode Préposé
ScotApp_716,716unused
ScotApp_616,Comparaison des poids
ScotApp_516,Autre Paiement
ScotApp_416,Chargement des totaux permanents en cours...
ScotApp_316,316unused
ScotApp_216,* Ouvrez la porte d’imprimante du cabinet.\n* Ouvrez le couvercle de l’imprimante pour vérifier si le papier est coincé.\n* Refermez le couvercle et rechagez le papier.\n* Un reçu avec une face souriante devrait s’imprimer.
ScotApp_116,Annulez articles
ScotApp_1522,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1506,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1879,Vérifiez la balance pour sac et appuyez sur « Accepter ».
ScotApp_916,"Vérifiez articles dans l'allée et appuyez sur ""Effacer sécurité""."
ScotApp_816,816unused
ScotApp_1167,Ouvrez la porte de l’imprimante du cabinet.\n* Déverrouillez et poussez l’imprimante vers l’arrière.\n* Ouvrez le couvercle de l’imprimante pour vérifiez si le papier est coincé.\n* Refermez le couvercle et rechagez le papier.\n* Tirez avec soin sur l’imprimante jusqu’a ce qu’elle soit en place.
ScotApp_1518,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1830, Entrées approuvées
ScotApp_1376,", %s"
ScotApp_783,783unused
ScotApp_683,683unused
ScotApp_583,Carte refusée.
ScotApp_483,"Veuillez apposer le signature sur le bloc de signature à l'aide du stylo qui lui est fixé."
ScotApp_383,383unused
ScotApp_283,Entrez mot de passe
ScotApp_1505,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_983,Application du convoyeur en chargement...
ScotApp_883,Confirmer la mise en attente
ScotApp_1363,Ligne d’affichage
ScotApp_1714,REFUS DE MISE EN ATTENTE APPROUVÉ
ScotApp_1837,"Appuyez sur ""Approuver"" pour continuer la transaction."
ScotApp_1449,Niveau des billets
ScotApp_1375,Modification d’articles ultérieures:\n%s
ScotApp_1248,CARTE CADEAU
ScotApp_1153,Papier coincé.
ScotApp_1504,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1362,Verrou de sécurité
ScotApp_1836,CODE À BARRE NON VALIDE
ScotApp_1571,Confirmer Ignorer les changements
ScotApp_1215,ERREUR DE PÉRIPHÉRIQUE
ScotApp_1858,Discrepancy error occurred in the recycler.
ScotApp_1152,Manque de papier.
ScotApp_1700,"Échec de distribution de %s. %s\nVérifiez les distributeurs de monnaie et d’argent.\nSi vides, remplissez-les.\nSi non vides, enlevez bourrage. \nAppuyez sur ""Problème corrigé""."
ScotApp_1823,Le reçu numérique n’a pas été généré.
ScotApp_1605,     Le compartiment du distributeur de carte est vide
ScotApp_1361,Commutateur d’argent
ScotApp_1835,Vérifiez ou mettez l’article sur le côté
ScotApp_1878,Poids incorrect sur la balance pour sac.
ScotApp_1281,PAIEMENT ASSISTÉ
ScotApp_1425,Connecter
ScotApp_1570,Ignorer les changements
ScotApp_814,814unused
ScotApp_291,"Cylindre du distributeur de monnaie bloqué\n%s\nRetirez le blocage puis appuyez sur ""Débloqué""."
ScotApp_191,Serveur de transaction chargé.
ScotApp_1151,Le couvercle de l’imprimante est ouvert.
ScotApp_1707,Les pièces de monnaie sont bloquées dans l’accepteur
ScotApp_1822,"Remarquez le poids de l’article en bas à gauche de l'écran"
ScotApp_757,757unused
ScotApp_657,Attendez à la fin de  l’achat\npour exécuter remb/escompte.
ScotApp_557,Articles à restriction de quantité
ScotApp_457,457unused
ScotApp_357,357unused
ScotApp_257,257unused
ScotApp_157,Message système
ScotApp_1360,Tiroir-caisse
ScotApp_1719,PA:
ScotApp_1834,Max.
ScotApp_1868,Assurez-vous que vos mains sont hors du champ de vision du scanneur
ScotApp_957,La communication BD Gestion clients  a échoué
ScotApp_857,Verifiez frais assemblage
ScotApp_1064,1064unused
ScotApp_1577,Nombre total :
ScotApp_736,736unused
ScotApp_636,La sécurité est hors ligne.
ScotApp_1091,1091unused
ScotApp_436,Confirmez le montant
ScotApp_336,Rech. artic.
ScotApp_236,236unused
ScotApp_136,Insérez argent
ScotApp_1509,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1821,Accept. poids
ScotApp_936,Limite\Ignorer la mise en sac
ScotApp_836,Frais & ententes client
ScotApp_1367,Scanneur
ScotApp_1718,NA:
ScotApp_1274,USERDEFINED16
ScotApp_715,715unused
ScotApp_615,"Sélectionnez l'option pour la mise en sac forcée. (Le client doit mettre l'article en sac.)"
ScotApp_515,515unused
ScotApp_315,315unused
ScotApp_215,"Débitez le compte d'épargne"
ScotApp_115,Confirmez annulation
ScotApp_1576,"Etat du distributeur d'espèces :"
ScotApp_1090,Lancer le rapport
ScotApp_815,Ouvrez la caisse
ScotApp_1508,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1406,Synchr TB/PV
ScotApp_1099,Erreur de périphérique inconnu
ScotApp_1563,Charger
ScotApp_782,"Distributeur d’argent bloqué\nRetirer distributeur d'argent bloqué ou\nAjuster bac de récupération."
ScotApp_682,682unused
ScotApp_582,Dépôt terminé.
ScotApp_482,482unused
ScotApp_382,Inconnu
ScotApp_282,Num. Identification
ScotApp_1575,Etat du distributeur de monnaie :
ScotApp_1097,Imprimer les enregistrements Rapports
ScotApp_1448,Niveau de monnaie
ScotApp_982,Erreur de l’appareil
ScotApp_143,Signez le reçu
ScotApp_1353,Veuillez déposer votre carte cadeau épuisé dans la fente de coupon.
ScotApp_1704,"Appuyez sur ""J’ai corrigé le problème"".\n\nSi l’erreur demeure, relancez le poste:\nTournez la clé superveur a 'S' -OU- appuyez sur l’option superviseur\nChoisissez ""Fermer le système"".\nLorsque l’écran devient vide, fermez le poste à partir du UPS ou de la barre d’alimentation.\nOuvrez le poste. Si l’erreur survient de nouveau, appelez le service."
ScotApp_1827,\n    - Langue actuelle (%s)
ScotApp_1562,Nombre 
ScotApp_1815,"* Déverrouillez le plateau de la trémie et retirez-le.\n* Réinsérez la ou les trémies manquantes et assurez-vous qu’elles sont toutes bien replacées.\n* Assurez-vous que la trémie des petites pièces est correctement insérée.\n* Assurez-vous que les trémies appropriées sont bien insérées. Si l’erreur survient de nouveau, appelez le service."
ScotApp_1574,La valeur saisie pour %s n’est pas valide.\nEssayez à nouveau.
ScotApp_1543,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1290,D - J
ScotApp_1096,Rapport
ScotApp_1352,Dépôsez la carte cadeau
ScotApp_1561,Dénomination
ScotApp_1083,"Remettez articles ou appuyez ""Article retiré""."
ScotApp_1753,Article introuvable
ScotApp_418,Fin des totaux permanents...
ScotApp_318,318unused
ScotApp_1813,"%s\n* Déverrouillez ou sortez le plateau de trémie (I).\n* Retirez le ou les bacs de trémie coincés. Vérifiez, puis dégagez tout bourrage à la sortie (II).\n* S’il n’y a pas de bourrage à la sortie, videz le ou les bacs de trémie. Vérifiez, puis dégagez tout bourrage du disque rotatif (III).\n* Réinsérez le ou les bacs de trémie.\n* Assurez-vous que toutes les portes sont fermées et bien verrouillées. Si l’erreur réapparaît, appelez le service."
ScotApp_1095,"Sélectionnez le type de rapport et appuyez sur ""Lancer le rapport"""
ScotApp_1351,%s\n%s %s enlevé 
ScotApp_1825,Sauvegardez les préférences
ScotApp_777,777unused
ScotApp_677,677unused
ScotApp_577,"Débutez le dépôt d'argent comptant."
ScotApp_377,Unités  -  État
ScotApp_277,277unused
ScotApp_1560,Total Accepteur :  %s
ScotApp_1082,Article retiré
ScotApp_977,Poids actuel: %s %s
ScotApp_877,Prix
ScotApp_1777,La transaction a été finalisée avec un coupon qui dépasse la limite pour le magasin.
ScotApp_1812,Des pièces sont bloquées ou les bacs sont pleins ou ont été retirés.
ScotApp_756,756unused
ScotApp_556,La suspension de transaction est refusée.
ScotApp_456,456unused
ScotApp_356,Machine à chiffrer
ScotApp_256,"Fin des sorties d'utilisateur..."
ScotApp_156,Message système
ScotApp_1231,VÉRIFICATION VISUELLE
ScotApp_1874,1874unused
ScotApp_956,"Veuillez arrêter et redémarrer le terminal :\n* Tournez la clé du superviseur en position « S » -OU- appuyez sur le bouton Superviseur.\n* Sélectionnez ""Exécuter la DAA au Prochain Redémarrage"". Sélectionnez ""Oui"" pour confirmer.\n* Sélectionnez ensuite « Arrêter le système ».\nLorsque l’écran sera vide, éteignez le terminal à partir de l’UPS ou du disjoncteur.\n* Rallumez ensuite le terminal. Vérifiez l’affichage des événements. Si l’erreur se produit de nouveau, appelez pour obtenir du service."
ScotApp_856,Reçu:
ScotApp_1567,Total Distributeur :  %s
ScotApp_735,735unused
ScotApp_635,Introduisez par clavier la date de naissance du client
ScotApp_535,"   Rappelé en raison de l'heure"
ScotApp_335,Violation possible du lecteur de carte par le client
ScotApp_235,"État d'accepteur d'argent comptant presque plein"
ScotApp_135,135unused
ScotApp_1776,Autorisation de magasin
ScotApp_1811,"* Retirez le recirculateur de pièces.\n* Éliminez le blocage de la zone indiquée en retirant les pièces ou en les poussant vers l’avant.\n* Redonnez les pièces au client. Si l’erreur survient de nouveau, appelez le service."
ScotApp_935,Diminution du poids
ScotApp_835,Reçu:
ScotApp_1708,"Appuyez sur ""J’ai corrigé le problème"".\n\nSi l’erreur survient de nouveau, appelez le service."
ScotApp_1168,L’imprimante n’est pas en place.
ScotApp_1446,Décharger
ScotApp_1566,Remplacer tout
