AmountSaved,Úspora
ScotApp_951,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s odebrány;LSWND3=%s;
ScotApp_851,Dva kusy
ScotApp_730,730unused
ScotApp_630,Č. kreditní karty:
ScotApp_430,Mimo provoz
ScotApp_330,Asistenční režim
ScotApp_230,Stav přijímače bankovek: odmítnuto
ScotApp_130,Předložte prosím kupóny.
ScotApp_1726,Hledání dokončeno
ScotApp_930,Zkontrolujte komunikaci.
ScotApp_830,Odebral(a) jsem zboží nebo tašku
ScotApp_193,193unused
ScotApp_1457,Nadbytek peněz
ScotApp_1283,"* Vyjmnete recyklátor minci.\n* Otevrete postranni kulata dvirka a odstrante mince z pásů (I).\n* Odemknout a vytáhnout násypky zásobníku pak prázdné plné násypky nebo vložte chybějící násypky (II).\n* Prázdný nebo vložte chybějící popelnice přetékat (III).\n* Odemkněte a vyjměte kryt a jasné džemy z oblastí, jak je znazorneno (IV).\n* Zajistit, aby všechny dveře jsou zavřené a zamčené správně.\n* Pokud se chyba bude opakovat, zavolejte servis. "
ScotApp_724,724unused
ScotApp_624,Zadána neplatná tolerance
ScotApp_424,Zadejte množství
ScotApp_324,Datum není nutné
ScotApp_224,Přepadový kontejner čtečky karet byl odstraněn
ScotApp_124,124unused
ScotApp_1469,"Výdej %s se nezdařil. %s\n* Zkontrolujte vydavače mincí a bankovek.\n* Pokud jsou prázdné, použijte k doplnění Správu hotovosti.\n* Pokud nejsou prázdné, odstraňte zablokovaný materiál.\n* Stiskněte Stav peněz/papíru""."
ScotApp_924,924unused
ScotApp_824,Potvrzení pozastavení
ScotApp_576,Začněte platbu kartou.
ScotApp_1247,SOC. POUKÁZKY NA STRAVU
ScotApp_1678,Chyba recyklátoru bankovek
ScotApp_1503,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1756,"Vyberte z výsledků hledání nebo stiskněte ""Zpět""."
ScotApp_1456,Nesprávný kód nebo heslo pokladníka.\nOpakujte akci
ScotApp_1502,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1712,Pozastavení odmítnuto
ScotApp_1468,Stav recyklátoru bankovek: prázdný
ScotApp_1246,SOCIÁLNÍ KARTA
ScotApp_75,Hotovo
ScotApp_65,65unused
ScotApp_55,Zrušit vše
ScotApp_45,45unused
ScotApp_35,K vrácení:
ScotApp_1258,PIP DÁRKOVÁ KARTA
ScotApp_15,Kód zboží:
ScotApp_1711,Pozastavení odmítnuto
ScotApp_1683,Neřešitelná chyba. Uzavřete prosím pokladnu. Zavolejte firmu Gunnebo a předejte jí následující informace o chybě.\n\nChyba modulu SafePay: %s
ScotApp_95,Načtěte kupóny
ScotApp_85,85unused
ScotApp_1058,Platba u obsluhy
ScotApp_1664,Zaseknuté bankovky
ScotApp_797,"Výdej %s se nezdařil.\n* Zkontrolujte, zda nejsou zaseknuté bankovky v kazetách a vydavači.\n* Jsou kazety a kontejner na odmítnuté peníze dobře uzavřené západkou?\n* Zavřete pevně dvířka."
ScotApp_697,697unused
ScotApp_597,Načítání aplikace NCR SelfServ Checkout Forms %d...
ScotApp_497,K zaplacení:
ScotApp_297,297unused
ScotApp_197,Aplikace Presentation Services načtena.
ScotApp_997,Zadejte cenu
ScotApp_897,Aplikace WTINFO načtena.
ScotApp_1454,"Zadejte heslo a stiskněte ""Potvrdit""."
ScotApp_1710,Odeberte vrácené peníze
ScotApp_1741,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s oček;LSWND3=%s %s zjišť
ScotApp_1388,Cvičný program
ScotApp_771,Zrušit pozastavení
ScotApp_671,Odchod z cvičného režimu
ScotApp_571,"Zadejte množství a stiskněte tlačítko ""Potvrdit""."
ScotApp_471,   Vizuální kontrola
ScotApp_371,Tiskárna: vyměňte hlavu
ScotApp_271,Schválit použité kupóny
ScotApp_971,971unused
ScotApp_871,Potvrdit pozastavení
ScotApp_1840,Obchod č.:
ScotApp_750,"Dnes, souhrn"
ScotApp_650,Běžný výrobek
ScotApp_550,550unused
ScotApp_450,450unused
ScotApp_350,Stav peněz/papíru
ScotApp_250,250unused
ScotApp_150,Zvolte částku pro cashback
ScotApp_1773,"Stiskem tlačítka ""Schválit kupón"" kupón přijměte nebo přejděte do asistenčního režimu a stornujte jej."
ScotApp_950,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s přidány;LSWND3=%s;
ScotApp_850,Jeden kus
ScotApp_1405,"Server nesynchronní, přejděte do asistenčního režimu a synchronizujte."
ScotApp_1513,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1657,Neplatné odd.
ScotApp_1225,NEZNÁMÉ ZBOŽÍ
ScotApp_644,-------------------------------------------------------------------
ScotApp_544,Heslo nesmí být delší než %d čísel.
ScotApp_444,Soc. poukázky na stravu
ScotApp_344,344unused
ScotApp_244,244unused
ScotApp_144,Porovnat podpis
ScotApp_1590,KONTEJNER: %s ZASEKNUTÉ MINCE
ScotApp_1669,Chyba recyklátoru mincí/bankovek
ScotApp_944,Příliš mnoho žádostí o tašky/krabice. Max = %d.
ScotApp_844,844unused
ScotApp_1729,Vyhledat zboží:
ScotApp_1447,Odebrat bankovky
ScotApp_1703,(+)
ScotApp_1656,"Zadejte kód oddělení a stiskněte tlačítko ""Potvrdit""."
ScotApp_915,Příliš mnoho žádostí o nepoužití pásu. Max = %d.
ScotApp_1668,Ve znázorněné oblasti se možná zasekly bankovky. Otevřete horní kryt recyklátoru bankovek. Odstraňte případné zaseknuté bankovky. Zavřete přístroj a nasaďte horní kryt. Pokračujte v transakci.
ScotApp_1542,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1139,Dvířka vydavače bankovek jsou otevřena.
ScotApp_1254,PIP DEBETNÍ
ScotApp_1249,PIP NEURČENO
ScotApp_77,Kreditní
ScotApp_67,Zpět
ScotApp_57,Dokončit a zaplatit
ScotApp_47,Spustit
ScotApp_37,37unused
ScotApp_1458,Sestava systému NCR SelfServ Checkout
ScotApp_17,Kupón
ScotApp_1752,Váha přetížena.
ScotApp_1643,Chyba recyklátoru bankovek
ScotApp_97,Vyberte krabičku ze seznamu
ScotApp_87,87unused
ScotApp_1665,Odemkněte kazetu a vyjměte ji. Odstraňte zaseknutou bankovku. Vložte kazetu zpět. Zavřete recyklátor. Pokračujte v transakci.
ScotApp_1138,Výdej %s se nezdařil.
ScotApp_1589,MINCE DOŠLY
ScotApp_1445,Počet mincí
ScotApp_1318,Načíst poukázky
ScotApp_1654,Počet překračuje kapacitu. Max. počet je %d. Systém automaticky zadal počet %d.
ScotApp_796,"Málo mincí, vydavač mincí je vypnut nebo došlo k chybě.\n* Zapněte vydavač mincí nebo\n* Vydavač doplňte, restartujte a stiskněte tlačítko ""Zásobník mincí doplněn"" na obrazovce se stavem pokladny."
ScotApp_696,696unused
ScotApp_596,Aplikace NCR SelfServ Checkout AuxDisp načtena.
ScotApp_1391,"Stiskněte tlačítko ""Problém napraven"".\nPokud chyba trvá, restartujte terminál."
ScotApp_396,"Nutná pomoc obsluhy, důvod:"
ScotApp_296,296unused
ScotApp_196,Načítání aplikace Presentation Services...
ScotApp_1588,"Před stisknutím tlačítka ""Vybrat vydavač"" je nutno vyprázdnit všechny kontejnery. Vysypte kontejnery násypek mincí a poté stiskněte tlačítko ""Vybrat vydavač""."
ScotApp_996,Zadání ceny
ScotApp_896,Načítání aplikace WTINFO...
ScotApp_574,"Zadejte heslo a stiskněte tlačítko ""Potvrdit""."
ScotApp_1093,Tisk poslední stvrz.
ScotApp_1641,"Doplňte násypku na mince a pokračujte. Pokud mince nejsou vydávány, násypka může být uzamčena. Volejte servis.\n\nChyba modulu SafePay: %s"
ScotApp_1781,VYPRŠEL LIMIT – UKONČENÍ TRANS.
ScotApp_562,K uplatnění kupónů je nutný asistenční režim
ScotApp_874,"Zadejte DL nebo id.kód a stiskněte tlačítko ""Potvrdit""."
ScotApp_1124,1124unused
ScotApp_770,Potvrdit pozastavení
ScotApp_670,Vstup do cvičného režimu
ScotApp_570,570unused
ScotApp_470,   Věkový limit
ScotApp_370,Tiskárna otevřena
ScotApp_270,Schválit kupóny
ScotApp_170,"Dejte zboží z váhy a stiskněte tlačítko ""Vynulovat váhu"" na čtečce."
ScotApp_1640,Chyba násypky
ScotApp_870,Upozornění:
ScotApp_1733,"Zvolte ""Zpět"" a pokračujte."
ScotApp_1553,Nadbytek peněz:
ScotApp_664,Načtěte zboží nebo zvolte jazyk.
ScotApp_564,564unused
ScotApp_464,%s               %s
ScotApp_364,364unused
ScotApp_264,264unused
ScotApp_964,"Odeberte zboží a stiskněte ""Smazat alarm"" nebo ""Schválit a aktualizovat hmotnost""."
ScotApp_864,Schválení:
ScotApp_1647,(mmddrrrr)
ScotApp_1119,"Vydavač bankovek nemůže pracovat s otevřenými dvířky.\n\nZavřete dvířka (bezpečnostní nebo vydavače) a zajistěte západkou.\n\nPokud se chyba opakuje, zavolejte servis."
ScotApp_1659,Vytisknout paragon
ScotApp_819,Potvrďte pozastavení stornovaného zboží.
ScotApp_1339,Restartovat celý systém
ScotApp_1582,Stav média
ScotApp_1154,Chyba čtečky
ScotApp_1117,Kazeta vydavače bankovek: %s chybí nebo není dobře založena.\n\nZaložte správně kazetu s bankovkami: %s do zapadnutí západky.
ScotApp_1294,Q - S
ScotApp_1030,Vložte kupón.
ScotApp_1658,"Zkontrolujte, zda zákazník dostal správně nazpět."
ScotApp_1421,Asistenční režim
ScotApp_709,709unused
ScotApp_1129,Náprava nebyla provedena správně.\n\nOpakujte akci.
ScotApp_509,509unused
ScotApp_409,Zpráva systému
ScotApp_309,koruna
ScotApp_209,Zastavit program
ScotApp_109,Pokračovat?
ScotApp_1338,Načíst diag soubory
ScotApp_909,Nesprávná hodnota na bezpečnostní váze.
ScotApp_809,Zpráva:
ScotApp_1645,"Zkontrolujte, zda je kryt bankovek dobře upevněn."
ScotApp_1116,"Vydavač bankovek nebude fungovat, pokud není instalován kontejner na odmítnuté bankovky a pevně uchycen západkou.\n\nVložte kontejner a dobře uchyťte západkou."
ScotApp_1128,%s\n
ScotApp_1452,"Zadejte kód uživatele a stiskněte ""Potvrdit""."
ScotApp_183,183unused
ScotApp_1450,Zamykací skříň
ScotApp_1293,P
ScotApp_1644,Kryt recyklátoru bankovek odklopen
ScotApp_1115,Generování sestav je v režimu offline
ScotApp_795,Nákupy jsou monitorovány k zajištění lepší kvality služeb.
ScotApp_695,695unused
ScotApp_595,Načítání aplikace NCR SelfServ Checkout AuxDisp...
ScotApp_395,Limitované zboží není povoleno
ScotApp_295,295unused
ScotApp_195,Device Manager načten.
ScotApp_566,566unused
ScotApp_1324,Na váze zůstává\npředmět i po transakci.
ScotApp_995,Jděte k pokladně a otevřete ji přihlášením do režimu zaměstnance.
ScotApp_895,Aplikace DBM je ukončována...
ScotApp_1102,Další
ScotApp_1383,(Výjim)
ScotApp_1402,CHYBÍ PROPOJKA NA KONTEJNERU NA ODMÍTNUTÉ BANKOVKY.
ScotApp_1292,N - O
ScotApp_1114,Aktualizace konce období sestavy proběhla úspěšně
ScotApp_1222,MIMO PROVOZ
ScotApp_1101,%s\t%s
ScotApp_1159,PINová klávesnice/el.platba neodpovídá.
ScotApp_1100,%s
ScotApp_1539,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1649,(ddmmrrrr)
ScotApp_1317,Placení poukázkou
ScotApp_1883,"Zkontrolujte taškovou váhu a vozík, zda neobsahují nadbytečné zboží, a stiskněte „Smazat alarm“."
ScotApp_729,729unused
ScotApp_629,Částka celkem:
ScotApp_429,Červená
ScotApp_329,  %ss po %d %s/%s
ScotApp_229,229unused
ScotApp_129,"Zkontrolujte, zda bylo stornované zboží dáno stranou."
ScotApp_1107,%s\t%s\tMnož. %s po %s/%s\t%s
ScotApp_1538,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_929,Váhová DB nekomunikuje správně.
ScotApp_829,829unused
ScotApp_1316,"* Otevřete kryt tiskárny a zkontrolujte, zda ve znázorněné oblasti nejsou zaseknuté papíry.\n* Zavřete kryt a natáhněte znovu papír."
ScotApp_81,Pokračovat
ScotApp_1882,Upozornění Smart Assist – zboží nebylo naskenováno.
ScotApp_1673,Zaseknuté mince
ScotApp_1135,Chyba vydavače bankovek
ScotApp_1705,Chyba komunikace.
ScotApp_1894,Set item aside and continue with your purchase.
ScotApp_787,"Zadané datum narození: %s, věk %d let"
ScotApp_1398, Obs/cvič
ScotApp_1106,%s\t%s\tMnož. %s po %s/ks\t%s
ScotApp_1525,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1493,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1490,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1315,"* Otevřete kryt tiskárny a zkontrolujte, zda nejsou zaseknuté papíry.\n* Zavřete kryt a natáhněte znovu papír."
ScotApp_1881,"Zkontrolujte taškovou váhu, odstraňte nadbytečné zboží a stiskněte „Smazat alarm“."
ScotApp_1173,STORNOVANÉ ZBOŽÍ SCHVÁLENO
ScotApp_1524,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_505,Nesprávný počet
ScotApp_1302,Zavřít
ScotApp_905, (více informací najdete na paragonu)
ScotApp_1164,Tiskárna není správně umístěna.
ScotApp_1492,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1314,* Otevřete kryt tiskárny a odstraňte zbytky papírů.\n* Zavřete kryt.\n* Vložte novou roli papíru.\n* Zaveďte konec papíru do tiskárny.
ScotApp_1817,"* Vytáhněte recyklátor mincí.\n* Otevřete kruhová dvířka a odstraňte mince z pásů (I).\n* Ujistěte se, že jsou všechna dvířka zavřená a řádně uzamčená.\n* Vraťte mince zákazníkovi.\n* Pokud se chyba opakuje, zavolejte servis."
ScotApp_1442,"Vložte bankovky k jejich doplnění nebo stiskněte ""Odebrat bankovky"" k jejich výběru."
ScotApp_1880,Neočekávané zboží na taškové váze.
ScotApp_1172,POZASTAVENÍ POTVRZENO
ScotApp_1415,1415unused
ScotApp_788,Platné datum narození:%s
ScotApp_688,688unused
ScotApp_588,Načítání aplikace Device Factory...
ScotApp_488,Položte zboží na váhu: %s
ScotApp_388,Zpracování...
ScotApp_288,"Stiskněte tlačítko ""Problém napraven"".\n* Pokud chyba trvá, restartujte terminál:\nOtočte klíčkem vedoucího do polohy ""S"" nebo stiskněte tlačítko vedoucího.\nZvolte ""Vypnout celý systém"".\n Jakmile z obrazovky zmizí obraz, vypněte terminál ze zásuvky nebo zdroje.\nZapněte terminál. Pokud se chyba opakuje, zavolejte servis."
ScotApp_188,Načítání možností...
ScotApp_988,Na pásu je neočekávané zboží. Dejte zboží pryč.
ScotApp_888,V taškové zóně je neočekávané zboží. Odstraňte je.
ScotApp_1887,Kontrola transakce
ScotApp_1171,NEOČEKÁVANÉ ZVÝŠENÍ
ScotApp_1199,ZADANÉ DATUM VYPRŠENÍ
ScotApp_1300,Zahájit transakci
ScotApp_1326,LIMIT VLOŽENÍ KUPÓNŮ VYPRŠEL
ScotApp_1291,K - M
ScotApp_1517,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1886,Zkontrolujte nadbytečné zboží.
ScotApp_749,749unused
ScotApp_1529,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_549,549unused
ScotApp_449,Stav přijímače mincí: odmítnuto
ScotApp_349,349unused
ScotApp_249,249unused
ScotApp_149,Zadejte PIN
ScotApp_1307,Tisk paragonu
ScotApp_1738,Obsluha musí tašky zkontrolovat
ScotApp_949,949unused
ScotApp_717,717unused
ScotApp_617,Zvolte nastavení pro porovnávání hmotnosti. (Porovnat hmotn. zboží s dosavad. nákupem.)
ScotApp_517,Je požadováno jiné placení.
ScotApp_417,Aplikace Hard Totals načtena.
ScotApp_317,317unused
ScotApp_217,217unused
ScotApp_117,Dejte zboží stranou
ScotApp_1516,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1885,Zboží nebylo naskenováno
ScotApp_917,Příliš mnoho žádostí o odebrání zboží z taškové zóny. Max = %d.
ScotApp_817,Nutná asistence
ScotApp_1177,LIMIT PRO VLOŽENÍ DO TAŠKY VYPRŠEL
ScotApp_1528,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1175,LIMIT PRO NEPOUŽITÍ TAŠEK PŘEKROČEN
ScotApp_1109,%s\t%s\t%s @ %s/%s\t%s
ScotApp_1453,Heslo pokladníka
ScotApp_1693,Mince jsou nahrazovány jinými
ScotApp_1515,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_7,7unused
ScotApp_6,6unused
ScotApp_5,5unused
ScotApp_4,4unused
ScotApp_3,3unused
ScotApp_2,kg
ScotApp_1,lb
ScotApp_1176,ZADÁNO NOVÉ ZBOŽÍ
ScotApp_1724,TRANSAKCE V CVIČNÉM REŽIMU
ScotApp_1019,Položte na pás
ScotApp_9,9unused
ScotApp_8,8unused
ScotApp_609,Upravit váhovou toleranci
ScotApp_1305,%s vložen(a)
ScotApp_1893,Invalid Barcode
ScotApp_1409,Nabídka asistenčního režimu
ScotApp_1692,Přihlášení vedoucího
ScotApp_1163,"Stiskněte tlačítko ""Problém napraven"".\n\nPokud chyba trvá, restartujte terminál:\nOtočte klíčkem vedoucího do polohy ""S"" nebo stiskněte tlačítko vedoucího.\nZvolte ""Vypnout celý systém"".\nJakmile z obrazovky zmizí obraz, vypněte terminál ze zásuvky nebo zdroje.\nZapněte terminál. Pokud se chyba opakuje, zavolejte servis."
ScotApp_1514,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1372,Přijímač mincí
ScotApp_1048,1048unused
ScotApp_967,967unused
ScotApp_1304,Věrnostní karta akceptována.
ScotApp_1162,Zařízení je offline.
ScotApp_1833,Výj_TB
ScotApp_1818,"* Odemkněte a vytáhněte násypkový zásobník (I).\n* Vraťte zaseknuté mince do příslušného násypkového zásobníku(ů). Poté násypkový zásobník vložte zpět a uzamkněte.\n* Vytáhněte recyklátor mincí. Odemkněte a odejměte kryt.\n* Odpojte vyobrazený kabel (II).\n* Uvolněte červený jazýček na pravé straně přijímače, poté jej vytáhněte směrem dopředu a přetočením odstraňte překážky z vyobrazených oblastí (III).\n* Vložte přijímač zpět a připojte kabel.\n* Vraťte zpět kryt a uzamkněte. Pokud se chyba opakuje, zavolejte servis."
ScotApp_1174,ROZDÍL V HMOTNOSTI
ScotApp_1500,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1366,Váha
ScotApp_1161,Chyba pageru
ScotApp_1717,Naváž:
ScotApp_1832,Výj_Odd
ScotApp_1370,Šifrovací modul
ScotApp_669,Vytištění podpisu se nezdařilo. Došlo k chybám.
ScotApp_569,Zadejte kód
ScotApp_469,469unused
ScotApp_369,Chyba komunikace tiskárny
ScotApp_269,Asistenční režim
ScotApp_1507,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_969,969unused
ScotApp_737,737unused
ScotApp_637,"Bezp. váhy jsou offline, poslední akce byla zrušena."
ScotApp_537,537unused
ScotApp_437,Poukázka nestačí
ScotApp_337,"Načtěte zboží nebo zadejte kód a stiskněte tlačítko ""OK""."
ScotApp_237,"Zasouvejte kazetu zpět do zapadnutí západky.\n\nZatáhněte za držadlo kazety a zkontrolujte, zda západka drží."
ScotApp_137,Vyzvedněte drobné
ScotApp_931,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s očekáváno;LSWND3=%s %s zjištěno;
ScotApp_1519,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1831,Int
ScotApp_937,Limit\odebrání zboží
ScotApp_837,Poplatky
ScotApp_1702,*** PARAGON - KOPIE ***
ScotApp_1377,množství
ScotApp_1728,Vyberte si z populárního zboží nebo vyhledejte podle abecedy. 
ScotApp_1395,Vstup do režimu obsluhy
ScotApp_716,716unused
ScotApp_616,Porovnávání hmotnosti
ScotApp_516,Jiné placení
ScotApp_416,Načítání aplikace Hard Totals...
ScotApp_316,316unused
ScotApp_216,* Otevřete dvířka tiskárny.\n* Otevřete kryt tiskárny - není zaseknutá?\n* Zavřete kryt a natáhněte znovu papír.\n* Měl by se vytisknout paragon se smajlíkem.\n* Zavřete a uzamkněte dvířka tiskárny.
ScotApp_116,Zrušit všechno zboží
ScotApp_1522,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1506,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1879,Zkontrolujte taškovou váhu a stiskněte „Smazat alarm“.
ScotApp_916,"Zkontrolujte zboží u pokladny a stiskněte ""Smazat alarm""."
ScotApp_816,816unused
ScotApp_1167,"* Otevřete dvířka tiskárny.\n* Otevřete západku a zatlačte tiskárnu dozadu.\n* Otevřete kryt tiskárny a zkontrolujte, zda není zaseknutá.\n* Zavřete kryt a natáhněte znovu papír.\n* Popotáhněte tiskárnu opatrně vpřed, až západka zaklapne."
ScotApp_1518,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1830, Schválené položky 
ScotApp_1376,", %s"
ScotApp_783,783unused
ScotApp_683,683unused
ScotApp_583,Karta odmítnuta.
ScotApp_483,Podepište se na podpisové plošce přiloženým perem.
ScotApp_383,383unused
ScotApp_283,Zadejte heslo
ScotApp_1505,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_983,Načítání aplikace Takeaway Belt...
ScotApp_883,Potvrdit pozastavení
ScotApp_1363,Displej pokladny
ScotApp_1714,ODMÍTNUTÍ POZASTAVENÍ SCHVÁLENO
ScotApp_1837,"Stisknutím ""Schválit"" pokračujte v transakci."
ScotApp_1449,Stav bankovek
ScotApp_1375,Změny po zakoupení zboží:\n%s
ScotApp_1248,DÁRKOVÁ KARTA
ScotApp_1153,Zaseknutí papíru.
ScotApp_1504,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1362,Zámek
ScotApp_1836,NEPLATNÝ ČÁROVÝ KÓD
ScotApp_1571,Potvrďte ignorování změn
ScotApp_1215,CHYBA ZAŘÍZENÍ
ScotApp_1858,Discrepancy error occurred in the recycler.
ScotApp_1152,Došel papír.
ScotApp_1700,"Výdej %s se nezdařil. %s\nZkontrolujte vydavače mincí a bankovek.\nPokud jsou prázdné, doplňte je.\nPokud nejsou prázdné, odstraňte zablokovaný materiál.\nStiskněte tlačítko ""Problém napraven""."
ScotApp_1823,Elektronická stvrzenka úspěšně vygenerována.
ScotApp_1605,     Kontejner vydavače karet je prázdný
ScotApp_1361,Modul vracení bankovek
ScotApp_1835,Zkontrolujte nebo odložte položku stranou.
ScotApp_1878,Nesprávná hmotnost na taškové váze.
ScotApp_1281,PLATBA U OBSLUHY
ScotApp_1425,Spojit
ScotApp_1570,Ignorovat změny
ScotApp_814,814unused
ScotApp_291,"Zablokovaný kanál vydavače mincí\n%s\nOdstraňte zaseknuté mince a stiskněte tlačítko ""Zaseknutí odstraněno""."
ScotApp_191,Transaction Broker načten.
ScotApp_1151,Kryt tiskárny je otevřen.
ScotApp_1707,Zaseknuté mince v přijímači
ScotApp_1822,Podívejte se na hmotnost položky v levém dolním rohu obrazovky
ScotApp_757,757unused
ScotApp_657,Doklady k vrácení peněz či slevě předložte až na konci nákupu.
ScotApp_557,Zboží s množstevním omezením
ScotApp_457,457unused
ScotApp_357,357unused
ScotApp_257,257unused
ScotApp_157,Zpráva systému
ScotApp_1360,Zásobník bankovek
ScotApp_1719,Přid:
ScotApp_1834,Max
ScotApp_1868,"Zkontrolujte, zda nemáte ruce v záběru kamery skeneru"
ScotApp_957,Klient DB Manager nekomunikuje
ScotApp_857,Zkontrolovat poplatek za sestavení
ScotApp_1064,1064unused
ScotApp_1577,Počet celkem:
ScotApp_736,736unused
ScotApp_636,Systém zabezpečení je offline.
ScotApp_1091,"Zaseknuté mince, vyjmuté plato násypky nebo otevřená dvířka."
ScotApp_436,Potvrďte částku
ScotApp_336,Vyhl. zboží
ScotApp_236,236unused
ScotApp_136,Vložte peníze
ScotApp_1509,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1821,Přijmout hmotnost
ScotApp_936,Limit\pro zboží mimo tašky
ScotApp_836,Poplatky a smlouvy se zákazníky
ScotApp_1367,Čtečka
ScotApp_1718,Není:
ScotApp_1274,DEFINOVÁNO UŽIVATELEM 16
ScotApp_715,715unused
ScotApp_615,Zvolte nastavení pro povinné použití tašek. (Zákazník musí ukládat zboží do tašek.)
ScotApp_515,515unused
ScotApp_315,315unused
ScotApp_215,Debetní
ScotApp_115,Potvrdit zrušení
ScotApp_1576,Stav vydavače bankovek:
ScotApp_1090,Vygenerovat sestavu
ScotApp_815,Otevřít pokladnu
ScotApp_1508,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1406,Sync TB/POS
ScotApp_1099,Neznámá chyba zařízení
ScotApp_1563,Doplnit
ScotApp_782,Vydavač bankovek zaseknut\nOdstraňte zaseknuté bankovky nebo\nUpravte kont.odmítnutých peněz.
ScotApp_682,682unused
ScotApp_582,Platba dokončena.
ScotApp_482,482unused
ScotApp_382,Neznámo
ScotApp_282,Zadat ID
ScotApp_1575,Stav vydavače mincí:
ScotApp_1097,Vytisknout záznamy a sestavy
ScotApp_1448,Stav mincí
ScotApp_982,Chyba zařízení
ScotApp_143,Podepište paragon
ScotApp_1353,Vložte prosím dárkovou kartu do štěrbiny na kupóny.
ScotApp_1704,"Stiskněte tlačítko ""Problém napraven"".\n\nPokud chyba trvá, restartujte terminál:\nOtočte klíčkem vedoucího do polohy ""S"" nebo stiskněte tlačítko vedoucího.\nZvolte ""Vypnout celý systém"".\nJakmile z obrazovky zmizí obraz, vypněte terminál ze zásuvky nebo zdroje.\nZapněte terminál. Pokud se chyba opakuje, zavolejte servis."
ScotApp_1827,\n    - Aktuální jazyk (%s)
ScotApp_1562,Počet
ScotApp_1815,"* Odemkněte a vytáhněte násypkový zásobník.\n* Znovu vložte chybějící násypku(y) a ujistěte se, že všechny násypky jsou řádně usazeny.\n* Ujistěte se, že je vložen a správně usazen zásobník na mince nejnižší nominální hodnoty.\n* Ujistěte se, že jsou vloženy náležité zásobníky měny.\n* Pokud se chyba opakuje, zavolejte servis."
ScotApp_1574,Hodnota zadaná pro %s není platná.\nZadejte ji prosím znovu.
ScotApp_1543,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1290,D - J
ScotApp_1096,Sestavy
ScotApp_1352,Předložení dárkové karty
ScotApp_1561,Hodnota
ScotApp_1083,Zboží odebráno z taškové zóny.\nVraťte zboží zpět.
ScotApp_1753,Zboží nebylo nalezeno
ScotApp_418,Aplikace Hard Totals je ukončována...
ScotApp_318,318unused
ScotApp_1813,"%s\n* Odemkněte a vytáhněte násypkový zásobník (I).\n* Vyjměte zaseknutý násypkový zásobník(y). Zkontrolujte a uvolněte překážky v oblasti výstupu (II).\n* Jestliže se v oblasti výstupu žádné překážky nevyskytují, vyprázdněte násypkový zásobník(y). Zkontrolujte a uvolněte překážky otočením disku (III).\n* Vložte zpět násypkový zásobník(y).\n* Zkontrolujte, zda jsou všechna dvířka náležitě uzavřená a uzamčená. Pokud se chyba opakuje, zavolejte servis."
ScotApp_1095,"Vyberte typ sestavy a stiskněte ""Vygenerovat sestavu""."
ScotApp_1351,%s\n%s %s odebráno
ScotApp_1825,Uložit předvolby
ScotApp_777,777unused
ScotApp_677,677unused
ScotApp_577,Začněte platbu v hotovosti.
ScotApp_377,Jednotky - stav
ScotApp_277,277unused
ScotApp_1560,Přijímač celkem:  %s
ScotApp_1082,Odebral(a) jsem zboží nebo tašku
ScotApp_977,Skutečná hmotnost: %s %s
ScotApp_877,Zadání ceny
ScotApp_1777,"K transakci byl použit kupón s vyšší hodnotou, než je limit obchodu."
ScotApp_1812,"Mince jsou zaseknuté, kontejner je plný nebo není přítomen."
ScotApp_756,756unused
ScotApp_556,Pozastavení transakce bylo odmítnuto.
