AmountSaved,Iznos Ušteđen
ScotApp_1735,Stavite Vaše Kesice
ScotApp_1257,PIP FOODSTAMPS
ScotApp_704,Unos u PIN taster
ScotApp_604,Skenirajte jedan proizvod.
ScotApp_504,504unused
ScotApp_404,404unused
ScotApp_304,Odaberite Spremnik
ScotApp_204,Kopiranje datoteke na server...
ScotApp_104,104unused
ScotApp_1269,USERDEFINED11
ScotApp_904,Odobrenje težine proizvoda 
ScotApp_804,804unused
ScotApp_1047,Potrebna je Ovjera. Molim vas pričekajte za pomoć operatora.
ScotApp_1478,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1134,Kaseta za novcanice je puna.
ScotApp_1734,Ja sam donio moju posebnu kesicu
ScotApp_1256,PIP EBT
ScotApp_1512,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1465,Greška u Preradniku novca
ScotApp_1721,Transakcija Postupka Pripreme
ScotApp_1890,Obrada...
ScotApp_1243,LOYALTY
ScotApp_1544,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_63,Ne 
ScotApp_53,53unused
ScotApp_43,43unused
ScotApp_33,Ispravio sam grešku
ScotApp_1255,PIP DEBIT CHECKING
ScotApp_13,  %ss @ %s/%s
ScotApp_1511,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_93,Skenirajte i Spakovajte
ScotApp_83,83unused
ScotApp_1464,Broj terminala
ScotApp_1189,UNESENI PROIZVOD
ScotApp_1720,WR:
ScotApp_1045,Platite sa %s
ScotApp_672,*** TRANSAKCIJA POSTUPKA PRIPREME ***
ScotApp_572,"Utipkajte kod proizvoda i pritisnite ""Unesite""."
ScotApp_472,Potrebna je Pomoć
ScotApp_372,Greška u komunikaciji pobočne memorije pisača
ScotApp_272,Provjerite korištene kupone
ScotApp_172,"Skenirajte nepotrebni proizvod, ili odaberite proizvod iz priznanice."
ScotApp_1510,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1701,Djeljenje nije uspilo %s.
ScotApp_972,972unused
ScotApp_872,Poništi obustavu
ScotApp_1188,UNESENA KOLIČINA
ScotApp_1727,Proizvod je provjeren
ScotApp_751,Danas po satu
ScotApp_651,Zadano
ScotApp_551,551unused
ScotApp_451,Status akceptora kovanica - zastoj
ScotApp_351,Stanje Gotovine / Papira
ScotApp_251,251unused
ScotApp_151,Molim vas Uzmite Novac
ScotApp_951,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s uklonjeno;LSWND3=%s;
ScotApp_851,Dva Proizvoda
ScotApp_730,730unused
ScotApp_630,Kreditna Kartica #:
ScotApp_430,Prekid Djelovanja
ScotApp_330,Postupak podrške
ScotApp_230,Status akceptora novca odbijen
ScotApp_130,Molim vas uložite vaše kupone
ScotApp_1726,Provjera je Gotova
ScotApp_930,Provjerite komunikaciju.
ScotApp_830,Ja sam sklonijo proizvod ili kesicu
ScotApp_193,193unused
ScotApp_1457,Razina valuta je visoka
ScotApp_1283,1283unused
ScotApp_724,724unused
ScotApp_624,Uneseno nevažeće odstupanje
ScotApp_424,Ubacite Iznos
ScotApp_324,Datum nije potreban 
ScotApp_224,Spremnik za prihvat čitača kartica je uklonjen
ScotApp_124,124unused
ScotApp_1469,"Djeljenje nije uspilo %s kupcu. %s\n* Provjerite djeljitelj kovanica i računa.\n* Dotaknite ""Stanje Gotovine/Papira"" za napuniti ili izbrisati zastoj."
ScotApp_924,924unused
ScotApp_824,Obustavi potvrdu
ScotApp_576,Početak Ponude Kartice.
ScotApp_1247,MARKICE ZA HRANU
ScotApp_1678,Greška u Preradniku Novčanica
ScotApp_1503,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1756,"Odaberite između rizultate traženja ili ""Vrati se Nazad"""
ScotApp_1456,Neispravni broj  i lozinka blagajnika.\nMolimo pokušajte ponovo.
ScotApp_1502,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1712,Odbijen prekid
ScotApp_1468,Status Preradnika novca - prazan
ScotApp_1246,EBT
ScotApp_75,Gotovo
ScotApp_65,65unused
ScotApp_55,Poništite Sve
ScotApp_45,45unused
ScotApp_35,Ostatak dužan:
ScotApp_1258,PIP GIFTCARD
ScotApp_15,Kod Proizvoda:
ScotApp_1711,Odbijena obustava
ScotApp_1683,* Nepopravljiva greška.\n* Molimo zatvorite traku.\n* Pozovite Gunnebo i podnesite informacije prikazane ispod.\n\nGreška u SafePay-u: %s
ScotApp_95,Skenirajte Kupone
ScotApp_85,85unused
ScotApp_1058,Ponuda Učestvovana
ScotApp_1664,Zaglavljenje novčanica
ScotApp_797,* Djeljenje nije uspilo %s kupcu.\n* Provjerite novcanice u kasetama i izdavac novcanica radi zaglavljenja.\n* Provjerite jesu li kasete za novcanice i kanta za cišcenje pricvršcene.\n* Zatvorite sigurnosna vratašca.
ScotApp_697,697unused
ScotApp_597,NCR SelfServ Checkout Ucitavanje obrazaca %d...
ScotApp_497,Iznos Dužan:
ScotApp_297,297unused
ScotApp_197,Prezentacijske usluge učitane.
ScotApp_997,Unesite Cijenu
ScotApp_897,WTINFO učitan.
ScotApp_1454,"Unesite lozinku i pritisnite ""Unesite""."
ScotApp_1710,Uzmite vaš Povratni Novac
ScotApp_1741,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s exp;LSWND3=%s %s obv
ScotApp_1388,Priprema programa
ScotApp_771,Poništi obustavu
ScotApp_671,Iizađi iz Postupka pripreme
ScotApp_571,"Utipkajte količinu i pritisnite ""Unesite""."
ScotApp_471,   Vizualni Dokaz Valjanosti
ScotApp_371,Zamijenite glavu pisača
ScotApp_271,Potvrdi kupone
ScotApp_971,971unused
ScotApp_871,Potvrdi obustavu
ScotApp_1840,Trgovina #.
ScotApp_750,Današnji sažetak
ScotApp_650,Standardni proizvod
ScotApp_550,550unused
ScotApp_450,450unused
ScotApp_350,Stanje Gotovine / Papira
ScotApp_250,250unused
ScotApp_150,Odaberite Iznos Ostatka
ScotApp_1773,"Pritisnite ""Potvrdi kupon"" za primanje kupona ili otiđite u Pomoćni postupak za poništenje."
ScotApp_950,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s dodano;LSWND3=%s;
ScotApp_850,Jedan Proizvod
ScotApp_1405,"MP (mjesto prodaje) nije sinkronizirano, molimo otidite u Postupak podrške radi ponovnog sinkroniziranja."
ScotApp_1513,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1657,Nevažeći odjel.
ScotApp_1225,NEPOZNAT PROIZVOD
ScotApp_644,-------------------------------------------------------------------
ScotApp_544,Lozinka ne smije biti veca od %d brojeva.
ScotApp_444,Bonovi za Hranu
ScotApp_344,344unused
ScotApp_244,244unused
ScotApp_144,Uporedite Potpis 
ScotApp_1590,ZAGLAVLJENJE U KANTI %s S KOVANICAMA
ScotApp_1669,Greška Preradnika kovanica/novčanica
ScotApp_944,Previše zahtjeva za pakiranje u vrecice/kutije. Maksimum = %d.
ScotApp_844,844unused
ScotApp_1729,Proizvodi su provjereni:
ScotApp_1447,Ukloni novac
ScotApp_1703,(+)
ScotApp_1656,"Unesite šifru odjela i pritisnite ""Unesite""."
ScotApp_915,Previše zahtjeva za preskakanje pokretne trake. Maksimum = %d.
ScotApp_1668,Na prikazanoj lokaciji možda je došlo do zaglavljenja novcanica. Otvorite gornji poklopac preradnika novcanica. Uklonite sve zaglavljene novcanice. Zatvorite jedinicu i zamijenite gornji poklopac preradnika novcanica.
ScotApp_1542,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1139,Vrata izdavaca novcanica su otvorena.
ScotApp_1254,PIP DEBIT SAVINGS
ScotApp_1249,PIP GENERIC
ScotApp_77,Kredit
ScotApp_67,Vrati se natrag
ScotApp_57,Završite i Platite
ScotApp_47,Početak 
ScotApp_37,37unused
ScotApp_1458,NCR SelfServ Checkout Izvještaj
ScotApp_17,Kupon 
ScotApp_1752,Težina na vagi je iznad kapaciteta.
ScotApp_1643,Greška u Preradniku Novčanica
ScotApp_97,Odaberite Spremnik iz liste
ScotApp_87,87unused
ScotApp_1665,Otkljucajte i uklonite kasetu. Uklonite zaglavljenu novcanicu. Ponovno umetnite kasetu. Zatvorite preradnu jedinicu. Nastavite transakciju.
ScotApp_1138,Djeljenje nije uspilo %s.
ScotApp_1589,NEMA KOVANICA
ScotApp_1445,Promjena u zbroju
ScotApp_1318,Skenirajte Vaučere
ScotApp_1654,Zbroj prelazi ogranicenost. Maksimalni potrebni ubaceni zbroj je %d. Zbroj %d je automatski unesen.
ScotApp_796,"* Niska razina kovanica ili je u izdavacu kovanica  greška/iskljucen je.\n* Ukljucite izdavac kovanica, ILI\n* Napunite izdavac kovanica, iskljucite ga a zatim ponovo ukljucite, pritisnite ""Izdavac novcanica napunjen"" - zaslon statusa trake."
ScotApp_696,696unused
ScotApp_596,NCR SelfServ Checkout AuxDisp učitan.
ScotApp_1391,"Dotaknite ""Ispravio sam grešku"".\n* Ako greška nije uklonjena, ugasite i restartajte terminal."
ScotApp_396,Pomoć trgovine je potrebna za:
ScotApp_296,296unused
ScotApp_196,Učitavanje Prezentacijskih usluga...
ScotApp_1588,"Sve kante moraju se isprazniti prije odabiranja tipke ""Podizanje izdavaca"". Ispraznite sve kante za skupljanje kovanica i zatim pritisnite ""Podizanje izdavaca""."
ScotApp_996,Unos cijene
ScotApp_896,Učitavanje WTINFO (informacije o bežičnim transakcijama)...
ScotApp_574,"Unesite svoju lozinku i pritisnite ""Unesite""."
ScotApp_1093,Ispiši zadnji račun
ScotApp_1641,"* Napunite izbacivac kovanica i nastavite.\n* Ako kovanice ne izlaze, izbacivac je možda zakljucan.\n* Pozovite podršku/pomoc.\n\nGreška u SafePay-u: %s"
ScotApp_1781,HVALA VAM ISTEKLO JE VAŽENJE
ScotApp_562,Kuponi se moraju prodavati u Postupku podrške
ScotApp_874,"Unesite broj vozačke dozvole ili osobne iskaznice # i pritisnite ""Unesite""."
ScotApp_1124,1124unused
ScotApp_770,Potvrdi obustavu
ScotApp_670,Unesi Postupak pripreme
ScotApp_570,570unused
ScotApp_470,   Ograničena Starost
ScotApp_370,Pisač otvoren
ScotApp_270,Priznajte Kupone
ScotApp_170,"Sklonite proizvod s vage, i pritisnite tipku ""Vaga na Nuli"" na skeneru."
ScotApp_1640,Greška u izbacivaču
ScotApp_870,Upozorenje:
ScotApp_1733,"Odaberite ""Vrati se Nazad"" za nastaviti."
ScotApp_1553,Status valute visok:
ScotApp_664,Skenirajte vaše proizvode ili odaberite jedan jezik.
ScotApp_564,564unused
ScotApp_464,%s               %s
ScotApp_364,364unused
ScotApp_264,264unused
ScotApp_964,"Uklonite proizvod i pritisnite ""Očisti zaštitu"", ili pritisnite ""Potvrdi i ažuriraj težinu""."
ScotApp_864,Odobrenje:
ScotApp_1647,(mmddgggg)
ScotApp_1119,"* Izdavac novcanica nece raditi dok su otvorena pristupna vrata.\n* Zatvorite i pricvrstite vrata izdavaca ili sigurnosna vrata.\n\n* Ako se kvar ponovi, zovite pomoc."
ScotApp_1659,Ispiši račun
ScotApp_819,Potvrdi obustavu za poništeni proizvod.
ScotApp_1339,Prekid rada računala Cijelog Sustava
ScotApp_1582,Status medija
ScotApp_1154,Greška u radu skenera
ScotApp_1117,* %s kaseta za novcanice izvan ili nije  potpuno umetnuta. \n* Umetnite ili podesite %s kasetu za novcanice dok se ne zakvaci.
ScotApp_1294,Q - S
ScotApp_1030,Umetnite vaš kupon.
ScotApp_1658,Molimo provjerite da li je kupcu izvraćen točan ostatak.
ScotApp_1421,Postupak podrške
ScotApp_709,709unused
ScotApp_1129,Postupak ispravljanja nije pravilno proveden.\n\nMolimo pokušajte ponovo.
ScotApp_509,509unused
ScotApp_409,Vijest Sustava
ScotApp_309,kuna
ScotApp_209,Zaustavi program
ScotApp_109,Nastaviti?
ScotApp_1338,Dohvati Diag datoteke
ScotApp_909,Nepravilna težina na vagi.
ScotApp_809,Poruka MP:
ScotApp_1645,Provjerite da li je poklopac za novčanice sigurno pričvršćen.
ScotApp_1116,* Izdavac novcanica nece raditi ako nema kante za odbacene novcanice ili ona nije u potpunosti zakvacena.\n* Umetnite kantu za odbacene novcanice i provjerite da li je u potpunosti zakvacena.
ScotApp_1128,%s\n
ScotApp_1452,"Unesite ID i pritisnite ""Unesite""."
ScotApp_183,183unused
ScotApp_1450,Zaključaj spremnik
ScotApp_1293,P
ScotApp_1644,Poklopac Preradnika novčanica isključen
ScotApp_1115,IZVJEŠTAVANJE IZVAN MREŽE (OFFLINE)
ScotApp_795,Kupnje su praćene za omogućiti bolji servis.
ScotApp_695,695unused
ScotApp_595,NCR SelfServ Checkout Učitavanje AuxDisp...
ScotApp_395,Ograničeni Proizvodi Nisu Dopušteni
ScotApp_295,295unused
ScotApp_195,Upravljanje uređajem učitano.
ScotApp_566,566unused
ScotApp_1324,Težina ostaje na\nvagi nakon transakcije.
ScotApp_995,Idite na traku i prijavite se na Postupak trgovine da biste otvorili traku.
ScotApp_895,DBM završava...
ScotApp_1102,Sljedeći
ScotApp_1383,Izuz
ScotApp_1402,UTIKAČ IZBACIVAČA KANTE ZA ODBAČENE RAČUNE JE ISKLJUČEN.
ScotApp_1292,N - O
ScotApp_1114,"""Završi vrijeme izvještaja"" uspješno ažurirano"
ScotApp_1222,PREKID DJELOVANJA
ScotApp_1101,%s\t%s
ScotApp_1159,PinPad/EPS (Elektronski Prijenos Sredstava) ne reagira.
ScotApp_1100,%s
ScotApp_1539,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1649,(ddmmgggg)
ScotApp_1317,Plaćanje s Vaučerima
ScotApp_1883,"Provjeri vagu za pakiranje i košaru/kolica za dodatne artikle pa klikni ''Poništi osiguranje''"
ScotApp_729,729unused
ScotApp_629,Cijela Naplata:
ScotApp_429,Crveno
ScotApp_329,  %ss @ %d %s/%s
ScotApp_229,229unused
ScotApp_129,Provjerite da su poništeni proizvodi namješteni sa strane.
ScotApp_1107,%s\t%s\tKoličina %s do %s/%s\t%s
ScotApp_1538,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_929,BPPT ne komunicira ispravno.
ScotApp_829,829unused
ScotApp_1316,* Otvorite poklopac štampača i provjerite zastoj papira u prikazanoj zoni.\n* Zatvorite poklopac štampača i ponovo ga napunite s papirom.
ScotApp_81,Nastaviti
ScotApp_1882,Smart Assist alarm - artikl nije skeniran
ScotApp_1673,Zaglavljenje kovanica
ScotApp_1135,Greška u izdavacu novcanica
ScotApp_1705,Greška u komunikaciji.
ScotApp_1894,Set item aside and continue with your purchase.
ScotApp_787,"Unesen datum rodenja: %s, %d dob"
ScotApp_1398,Posl./Priprem
ScotApp_1106,%s\t%s\tKoličina %s do %s/svaki\t%s
ScotApp_1525,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1493,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1490,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1315,* Otvorite poklopac štampaca i provjerite zastoj papira.\n* Zatvorite poklopac štampaca i ponovo ga napunite s papirom.
ScotApp_1881,"Provjeri vagu za pakiranje, ukloni dodatne artikle i klikni ''Poništi osiguranje''"
ScotApp_1173,PONIŠTENI PROIZVOD POTVRĐEN
ScotApp_1524,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_505,Nepravilan Broj
ScotApp_1302,Zatvori
ScotApp_905, (Više informacija na priznanici...)
ScotApp_1164,Pisač nije ispravno postavljen.
ScotApp_1492,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1314,* Otvorite poklopac štampaca i uklonite bilo koji ostatak papira.\n* Zatvorite poklopac.\n* Stavite novi smotak papira.\n* Umetnite papir s vrha smotka u pisac.
ScotApp_1817,"* Izvadite preradnik novčića.\n* Otvorite vrata sa strane i sklonite novčiće sa trake (I).\n* Pobrinite se da su sva vrata zatvorena i pravilno zaključana.\n* Vratite novčiće kupcu.\n* Ako se kvar ponovi, molim vas zovite pomoć."
ScotApp_1442,"Umetnite novac za nadopunu ili pritisnite ""Uklonite novac"" za pražnjenje."
ScotApp_1880,Neočekivani artikl na vagi za pakiranje
ScotApp_1172,OBUSTAVA POTVRĐENA
ScotApp_1415,1415unused
ScotApp_788,Važeci datum rodenja: %s
ScotApp_688,688unused
ScotApp_588,Učitavanje Tvornice uređaja...
ScotApp_488,Stavite proizvod na vagu: %s
ScotApp_388,Obrada...
ScotApp_288,"* Dotaknite ""Ispravio sam grešku"".\n* Ako se greška ne ukloni, ponovo pokrenite terminal:\n* Odaberite ""Zatvori cijeli sustav"".\n* Kad je ekran prazan, ugasite terminal na UPS-u (Stalni izvor napajanja) ili na višestrukoj uticnici.\n* Ukljucite terminal.\n* Ako se kvar ponovi, zovite pomoc."
ScotApp_188,Učitavanje opcija...
ScotApp_988,Neočekivan proizvod je na remenu. Sklonite proizvod.
ScotApp_888,Neočekivan proizvod je u zoni pakiranja.  Sklonite proizvod.
ScotApp_1887,Provjeri transakciju
ScotApp_1171,NEOČEKIVANO POVEĆANJE
ScotApp_1199,UNESEN DATUM ISTEKA
ScotApp_1300,Početak Prijenosa
ScotApp_1326,UBACITE KUPON VRIJEME ISTICE
ScotApp_1291,K - M
ScotApp_1517,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1886,Provjeri ima li dodatnih artikala
ScotApp_749,749unused
ScotApp_1529,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_549,549unused
ScotApp_449,Status akceptora kovanica - odbijeno
ScotApp_349,349unused
ScotApp_249,249unused
ScotApp_149,Umetnite PIN
ScotApp_1307,Štampanje priznanice
ScotApp_1738,Dežurnik će Provjeriti Vaše Kesice 
ScotApp_949,949unused
ScotApp_717,717unused
ScotApp_617,Odaberite postavke za uspoređivanje težine. (Usporedite težinu sa postojecim unosima.)
ScotApp_517,Zatraženo je drugo plaćanje.
ScotApp_417,Hard Totals učitan.
ScotApp_317,317unused
ScotApp_217,217unused
ScotApp_117,Odložite Proizvode sa strane
ScotApp_1516,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1885,Artikl nije skeniran
ScotApp_917,Previše zahtjeva za uklanjanje proizvoda iz podrucja pakiranja. Maksimum = %d.
ScotApp_817,Potrebna je Pomoć
ScotApp_1177,VRIJEME ZA PAKIRANJE ISTEKLO
ScotApp_1528,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1175,NE PAKIRATI PREKO PRAGA
ScotApp_1109,%s\t%s\t%s do %s/%s\t%s
ScotApp_1453,Lozinka blagajnika
ScotApp_1693,Zamjena kovanica
ScotApp_1515,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_7,7unused
ScotApp_6,6unused
ScotApp_5,5unused
ScotApp_4,4unused
ScotApp_3,3unused
ScotApp_2,kg
ScotApp_1,lb
ScotApp_1176,UNESEN NOVI PROIZVOD
ScotApp_1724,TRANSAKCIJA POSTUPKA PRIPREME
ScotApp_1019,Stavite na Remen
ScotApp_9,9unused
ScotApp_8,8unused
ScotApp_609,Uredi Odstupanje težine
ScotApp_1305,%s ubačen 
ScotApp_1893,Invalid Barcode
ScotApp_1409,Izbornik podrške/pomoći
ScotApp_1692,Prijava Nadglednika
ScotApp_1163,"* Dotaknite ""Ispravio sam grešku"".\n\nAko se greška ne ukloni, ponovo pokrenite terminal:\n* Odaberite ""Zatvori cijeli sustav"".\n* Kad je ekran prazan, ugasite terminal na UPS-u (Stalni izvor napajanja) ili na višestrukoj utičnici.\n* Uključite terminal. Ako se kvar ponovi, molim vas zovite pomoć."
ScotApp_1514,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1372,Akceptor kovanica
ScotApp_1048,1048unused
ScotApp_967,967unused
ScotApp_1304,Kartica Vjernosti je prihvaćena.
ScotApp_1162,Uređaj je odspojen.
ScotApp_1833,Izuz_ TB
ScotApp_1818,"* Iskvačite i izvadite pladanj od spremnika za maknuti zastoj (I).\n* Vratite zaostale novčiće u pravilni spremnik(e). Zatim ponovo umetnite i zatvorite pladanj od spremnika.\n* Izvadite preradnik novčića. Zatim iskvačite i sklonite poklopac.\n* Prekinite vezu od prikazanog kabela (II).\n* Deblokirajte crvenu pločicu sa desne strane od akceptanta zatim ga povucite i okrenite ga za skloniti zastoje sa prikazane zone.(III).\n* Ponovo umetnite akceptanta i opet povežite kabel.\n* Vratite i zaključajte poklopac. Ako se kvar ponovi, zovite pomoć."
ScotApp_1174,RAZLIKA U TEŽINI
ScotApp_1500,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1366,Vaga
ScotApp_1161,Greška u pageru/dojavljivaču
ScotApp_1717,WO:
ScotApp_1832,Izuz_Odj 
ScotApp_1370,Šifrator
ScotApp_669,Potpis nije ispisan. Pojavile su se greške
ScotApp_569,Unesi Kod
ScotApp_469,469unused
ScotApp_369,Greška u komunikaciji pisača
ScotApp_269,Postupak podrške
ScotApp_1507,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_969,969unused
ScotApp_737,737unused
ScotApp_637,"Zaštita nije spojena na mrežu, posljednja radnja je otkazana."
ScotApp_537,537unused
ScotApp_437,Kredit je Nedovoljan
ScotApp_337,"Skenirajte vaš proizvod, ili utipkajte kod i pritisnite ""OK""."
ScotApp_237,* Umetnite kasetu i zakvacite u pravi položaj.\n* Izvadite rucicu kasete da provjerite da kvaka drži kasetu u pravilnom položaju.
ScotApp_137,Uzmite Ostatak
ScotApp_931,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s ocekivano;LSWND3=%s %s opaženo;
ScotApp_1519,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1831,Procijeniti Vrijednost
ScotApp_937,Limit\Ukloni proizvode
ScotApp_837,Naknade
ScotApp_1702,*** DUPLIKAT PRIZNANICE ***
ScotApp_1377,Količina
ScotApp_1728,Molim vas odaberite od spisaka.
ScotApp_1395,Unesite Postupak poslužitelja
ScotApp_716,716unused
ScotApp_616,Uspoređivanje težine
ScotApp_516,Drugo plaćanje
ScotApp_416,Učitavanje Hard Totals...
ScotApp_316,316unused
ScotApp_216,* Otvorite vrata kucišta pisaca.\n* Otvorite poklopac pisaca radi provjere zaglavljenja.\n* Spustite poklopac pisaca i umetnite papir.\n* Trebao bi biti ispisan racun sa smiješkom.\n* Zatvorite i zakljucajte vrata kucišta pisaca.
ScotApp_116,Poništite Sve Proizvode 
ScotApp_1522,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1506,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1879,"Provjeri vagu za pakiranje i klikni ''Poništi osiguranje''"
ScotApp_916,"Provjerite proizvode na traci i pritisnite ""Očisti zaštitu""."
ScotApp_816,816unused
ScotApp_1167,* Otvorite vrata kucišta pisaca.\n* Otkvacite i gurnite pisac natrag.\n* Otvorite poklopac pisaca radi provjere zaglavljenja.\n* Spustite poklopac pisaca i umetnite papir.\n* Pažljivo povucite pisac naprijed dok se ne zakvaci u pravilan položaj.
ScotApp_1518,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1830, Odobrenje Prijave
ScotApp_1376,", %s"
ScotApp_783,783unused
ScotApp_683,683unused
ScotApp_583,Kartica je Propala.
ScotApp_483,Molim vas potpišite se s priloženom kemiskom. 
ScotApp_383,383unused
ScotApp_283,Unesite lozinku
ScotApp_1505,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_983,Učitavanje Trake za odnošenje...
ScotApp_883,Potvrdi obustavu
ScotApp_1363,Linijski prikaz
ScotApp_1714,POTVRĐENO ODBIJANJE PREKIDA
ScotApp_1837,"Pritisnite ""Potvrditi"" da biste nastavili transakciju."
ScotApp_1449,Status novcanica
ScotApp_1375,Naknadne izmjene proizvoda: %s
ScotApp_1248,POKLON-KARTICA
ScotApp_1153,Zaglavljenje papira.
ScotApp_1504,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1362,Brava
ScotApp_1836,NEVAŽEĆI BAR KOD
ScotApp_1571,Potvrdi Zanemari promjene
ScotApp_1215,GREŠKA U RADU UREĐAJA
ScotApp_1858,Discrepancy error occurred in the recycler.
ScotApp_1152,Nema papira.
ScotApp_1700,"Djeljenje nije uspilo %s. %s\nProvjerite djeljitelj kovanica i računa.\n* Ako je prazan, napunite.\n* Ako nije prazan, uklonite zaglavljenje.\n* Dotaknite ""Stanje ispravljeno""."
ScotApp_1823,Digitalni Račun je uspješno izdan.
ScotApp_1605,     Kanta izdavača kartica je prazna
ScotApp_1361,Mijenjač novca
ScotApp_1835,Provjeri ili Stavi proizvod sa strane
ScotApp_1878,Neispravna težina na vagi za pakiranje
ScotApp_1281,NAČIN PLAĆANJA UZ POMOĆ
ScotApp_1425,Spojite 
ScotApp_1570,Zanemari promjene
ScotApp_814,814unused
ScotApp_291,"* Zaglavljenje u cijevi izdavaca kovanica.\n* %s\n* Uklonite zaglavljenje i pritisnite tipku ""Zaglavljenje uklonjeno""."
ScotApp_191,Transakcijski broker učitan.
ScotApp_1151,Poklopac pisača je otvoren.
ScotApp_1707,Kovanice su se zaglavile u akceptoru
ScotApp_1822,Vidite težinu proizvoda na donjoj ljevoj strani od ekrana.
ScotApp_757,757unused
ScotApp_657,Sklonite naknadu/popust sa strane do kraja kupovine.
ScotApp_557,Ograničena Količina za Proizvode
ScotApp_457,457unused
ScotApp_357,357unused
ScotApp_257,257unused
ScotApp_157,Vijest Sustava
ScotApp_1360,Ladica za novac
ScotApp_1719,WA:
ScotApp_1834,Maksimum
ScotApp_1868,Odmaknite ruke od pogleda kamere na skeneru
ScotApp_957,Neuspjela komunikacija klijenta Upravljanja BP (bazom podataka)/DBM
ScotApp_857,Potvrdite Skup Naknade
ScotApp_1064,1064unused
ScotApp_1577,Ukupan zbroj:
ScotApp_736,736unused
ScotApp_636,Zaštita nije spojena na mrežu.
ScotApp_1091,1091unused
ScotApp_436,Potvrditi Iznos
ScotApp_336,Nađi artikl
ScotApp_236,236unused
ScotApp_136,Umetnite Gotovinu
ScotApp_1509,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1821,Prihvatiti Težinu
ScotApp_936,Limit\Preskoci pakiranje
ScotApp_836,Naknade i Sporazumi Korisnika
ScotApp_1367,Skener
ScotApp_1718,NOI:
ScotApp_1274,USERDEFINED16
ScotApp_715,715unused
ScotApp_615,Odaberite postavke postupka za pakiranje. (Zapakira proizvod u vrecicu.)
ScotApp_515,515unused
ScotApp_315,315unused
ScotApp_215,Ušteda dugovanja
ScotApp_115,Potvrdite Poništenje 
ScotApp_1576,Status izdavača novca:
ScotApp_1090,Pokreni izvještaj
ScotApp_815,Otvori register blagajne
ScotApp_1508,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1406,Sinkr.TB/MP 
ScotApp_1099,Nepoznata Greška u Uređaju
ScotApp_1563,Napuni
ScotApp_782,* Zaglavljenje u izdavacu novcanica\n* Ukloni zaglavljenje u izdavacu novcanica ili\n* Podesi kantu za cišcenje.
ScotApp_682,682unused
ScotApp_582,Način plaćanja je gotov.
ScotApp_482,482unused
ScotApp_382,Nepoznato
ScotApp_282,Unesite ID 
ScotApp_1575,Status izdavača kovanica:
ScotApp_1097,Ispiši zapise / izvještaje
ScotApp_1448,Status kovanica
ScotApp_982,Greška uređaja
ScotApp_143,Potpišite Priznanicu
ScotApp_1353,Molim vas uložite vašu poklon-karticu u položaj kupona.
