AmountSaved,Úspora
XM_SetupLoaderAlertConfirmation1V6HW,"Nastaviť vkladač\n\nVložte bankovky do vkladača, overte, či je vkladač vložený, potom stlačením „OK“ vložte bankovky."
XM_SetupLoaderConfirmationV6HW,"Nastaviť vkladač\n\nStav %s bankoviek vo vkladači:\n\nPôvodná/Úvodná suma: %s\nPôvodný/Úvodný počet: %d\nSuma na pridanie do vkladača: %s\nPočet na pridanie do vkladača: %d\n\nPoložte bankovky, ktoré nie sú určené na časté hotovostné operácie alebo výdaj, na spodok vkladača. Bankovky naspodku vkladača sa automaticky spočítajú a vložia, až kým sa nedosiahne predvolená hodnota vkladača.\n\nProces vkladania môže trvať niekoľko minút."
XM_SetupLoaderConfirmation1V6HW,Nastaviť vkladač\n\nVšetky bankovky vkladača sa automaticky\nvložia a započítajú.\n\nProces vkladania môže trvať niekoľko minút.
XM_PendingNotesAddedV6HW,Predvolené bankovky pridané %d - %s
XM_ProcessingCashV6HW,Spracovanie hotovosti
XM_ProcessingCashLeadThruV6HW,•   Vložte mince do prijímača mincí.\n•   Vložte bankovky do prijímača bankoviek.
XM_SetupLoaderLeadThru1V6HW,•   Na pridanie bankoviek do vkladača stlačte „Použiť zmeny“.\n•   Na zrušenie stlačte „Zrušiť zmeny“.
XM_LeadThruDispenseFunctionV6HW,Funkcie výdaja\n•   Na klávesnici zadajte sumu a počet %s bankoviek.
XM_LeadThruDispenseFunction1V6HW,Funkcie výdaja\n•   Na výdaj mincí stlačte „Použiť zmeny“.\n•   Na zrušenie stlačte „Zrušiť zmeny“.
XM_ConfirmCoinDispenseAllV6HW,Vydajte všetky mince\n\nSuma na vydanie: %s\nPočet na vydanie: %d
XM_DispenseOperationPreemptiveV6HW,"Prebieha výdaj mincí.\n\nVyberte mince z misky na mince, ak je plná, a stlačte „OK“."
XM_ConfirmCoinDispenseToBaseLevelV6HW,Vydať mince po základnú úroveň\n\nSuma na vydanie: %s\nPočet na vydanie: %d
XM_LeadThruResetCoinHopperFunctionV6HW,Funkcie nulovania\n•   Vynulovať počet v násypkách mincí.\n•   Po dokončení stlačte „Použiť zmeny“.
XM_ResetCoinHopperLeadThruV6HW,Vyberte mince z násypiek mincí. Vymeňte\nvyprázdnite násypky mincí.\n\nPo skončení stlačte „OK“.
XM_LoaderCountEnteredExceededCapacityV6HW,Zadaný počet pre vkladač presahuje jeho kapacitu.\nMaximálny počet pre vkladač je %d.
XM_CoinHopperPendingResetV6HW,Čakajúce resetovanie %d - %s
XM_ConfirmResetCoinHopperV6HW,Resetujte počty a hodnoty mincí v násypken\n
XM_ConfirmResetCoinHopper1V6HW,\n%s\nResetovať sumu: %s Počet: %d\n
XM_ConfirmResetCoinHopper2V6HW,\nPo resete:\nMince v násypke: %s Počet: %d\nMince v pokladnici na mince: %s Počet: %d
XM_CannotCompleteTransferV6HW,Presun sa nedá dokončiť.\n V pokladnici na bankovky nie je dosť miesta. Pred touto operáciou vyprázdnite pokladnicu na bankovky.
XM_CashStatusLeadthruV6HW,•   Vytlačiť stav hotovosti.\n•   Vložte mince do prijímača mincí.\n•   Vložte bankovky do prijímača bankoviek.\n•   Po skončení stlačte „Ukončiť“.
XM_NonDispensableCoinsV6HW,Nevydateľné mince
XM_DispensableCoinsV6HW,Vydateľné mince
XM_ConfirmNoteDispenseV6HW,Vydať bankovky\n\nSuma na vydanie: %s\nPočet na vydanie: %d
XM_DispenseNoteFullPreemptiveV6HW,Zoberte si bankovky\n\nBankovky sa vydávajú vo zväzkoch po %d.\nVýdaj sa pozastaví až do prevzatia všetkých bankoviek.
XM_NoteBoxV6HW,Pokladnica na bankovky
XM_NoteRecyclerV6HW,Recyklátory bankoviek
XM_DispenseCoinsToBaseLevelV6HW,Vydať mince\npo základnú úroveň
XM_TransferNotesToBaseLevelV6HW,Presunúť bankovky po základnú úroveň
XM_TransferAllNotesV6HW,Presunúť všetky bankovky
XM_LeadThruNoteBoxTransferV6HW,Presuny v pokladnici na bankovky\n•   Zvoľte požadovanú funkciu presunu.\n•   Po dokončení stlačte „Použiť zmeny“.
XM_LeadThruResetFunctionV6HW,Funkcie nulovania\n•   Zvoľte požadovanú funkciu nulovania.\n•   Po dokončení stlačte „Použiť zmeny“.
XM_LeadThruDispenseFunction2V6HW,Funkcie výdaja\n•   Stlačte hodnotu bankovky a zadajte sumu/počet\n     alebo zvoľte funkciu.\n•   Po dokončení stlačte „Použiť zmeny“.
XM_SignSigTouchDisplayV6HW,"Prosím, podpíšte sa na dotykovej obrazovke."
XM_LeadThruCashManagementErrorV6HW,Chyba správy hotovosti
XM_LoanPickupUpdateFailureV6HW,Zlyhala aktualizácia správy hotovosti
XM_LoanPickupUpdateNoResponseV6HW,Žiadna odpoveď z POS pri aktualizácii stavu správy hotovosti
XM_LoanPickupUpdateFailureInstructionV6HW,"\n• Stlačením „Zopakovať“ aktualizujte\n• Ak sa chyba zopakuje, obráťte sa na vedenie predajne\n• Táto chyba sa neodstráni, kým neprebehne úspešná aktualizácia."
XM_LoanPickupUpdateNoResponseInstructionV6HW,• Túto chybu ihneď oznámte vedeniu predajne.\n• Stav správy hotovosti sa možno neaktualizoval.\n•   Vojdite do obrazovky Utility Functions.
XM_LoanPickupUpdateNoResponseInstruction1V6HW,"•   Stlačte „Vytvoriť súbory diagnostických protokolov“ a\n     potom stlačte „Vypnúť celý systém“.\n•   Znova zapnite systém.\n•   Ak chyba pretrváva, vytvorte súbor diagnostického\n     protokolu a zavolajte servis.\n"
XM_CashManagementErrorRetryButtonV6HW,Znova
XM_DispenseThresholdV6HW,Zadané číslo prekračuje počet dostupný na výdaj.\nBol zadaný maximálny počet: %d
ScotApp_1742,NEPLATNÁ TAŠKA
ScotApp_71,71unused
ScotApp_61,61unused
ScotApp_51,Nedá sa načítať kupón
ScotApp_41,Limitovaný tovar
ScotApp_31,Kupóny
ScotApp_1055,1055unused
ScotApp_11,11unused
ScotApp_789,"Zasuňte kartu.\nSkontrolujte, či nemáte v košíku ďalší tovar."
ScotApp_689,Tržby:      %d
ScotApp_589,Device Factory načítaná.
ScotApp_389,Spracovanie karty
ScotApp_289,289unused
ScotApp_189,Možnosti načítané.
ScotApp_91,91unused
ScotApp_773,Úspora:
ScotApp_673,Vráťte zákazníkovi sumu %s.
ScotApp_1264,UŽÍVATEĽOM DEFINOVANÉ 6
ScotApp_473,Míňa sa médium
ScotApp_373,Tlačiareň – zaseknutie na výstupe
ScotApp_989,989unused
ScotApp_889,%s\nSkutočná hmotnosť(%s): %s\nOčakávaná hmotnosť(%s): %s
ScotApp_1520,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1042,"POTVRDENIE:\nTOTO POTVDENIE BOLO VYTLAČENÉ, LEBO AKCEPTOVANIE\n DOKUMENTU SA NEPODARILO. POTVRDENIE PRIPOJTE\nK PRÍSLUŠNÉMU DOKUMENTU.\n----------------------------------------\n"
ScotApp_973,973unused
ScotApp_873,Zadanie kódu D.L. alebo I.D. :
ScotApp_1737,Vlastná taška
ScotApp_752,"Včera, sumár"
ScotApp_652, **Tento čiarový kód nemá záznam vo váhovej DB
ScotApp_1054,1054unused
ScotApp_452,"Skontrolujte, či je kábel na boku prijímača mincí pevne zasunutý."
ScotApp_352,Aktualizovať
ScotApp_252,\nZaseknutý vydávač mincí\n\nOdstráňte zaseknuté mince.
ScotApp_152,152unused
ScotApp_1310,"* Vyberte prijímač bankoviek.\n* Vložte ho späť a zasuňte až po zaklapnutie závory.\n* Skontrolujte, či sa motor prijímača rozbehne a zelená LED svieti."
ScotApp_661,(Predv.)
ScotApp_952,Pridať nulovú hmotnosť
ScotApp_852,Tri kusy
ScotApp_1527,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1838,Skontrolovať tovar
ScotApp_731,Sumár
ScotApp_631,Meno vlastníka:
ScotApp_531,\nZlyhanie čítačky podpisov
ScotApp_331,Odstráňte tovar z váhy tašiek. Klávesnica je zablokovaná.
ScotApp_231,231unused
ScotApp_131,Predloženie kupónov
ScotApp_1736,"Položte, prosím, svoje tašky do baliaceho priestoru a po skončení stlačte tlačidlo ""Hotovo""."
ScotApp_1250,PIP KREDITNÁ
ScotApp_831,831unused
ScotApp_300,300unused
ScotApp_1306,%s vydané späť
ScotApp_710,710unused
ScotApp_610,Hmotnosť tovaru:
ScotApp_510,Znova podpísať
ScotApp_310,priečinok je skoro prázdny
ScotApp_210,210unused
ScotApp_110,Odvážiť tovar
ScotApp_1526,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1126,"Chyba vydávača mincí.\n\nSkontrolujte polohu vypínača, ak je na vydávači."
ScotApp_1040,Podpis
ScotApp_810,V zácviku
ScotApp_1735,Položte vlastné tašky
ScotApp_1257,PIP SOC. POUKÁŽKY NA STRAVU
ScotApp_704,Zadanie PIN
ScotApp_604,Načítajte tovar.
ScotApp_504,504unused
ScotApp_404,404unused
ScotApp_304,Zvoliť balenie
ScotApp_204,Kopírovanie súboru na server...
ScotApp_104,104unused
ScotApp_1269,UŽÍVATEĽOM DEFINOVANÉ 11
ScotApp_904,Schválenie hmotnosti tovaru
ScotApp_804,804unused
ScotApp_1047,"Je potrebné schválenie. Počkajte, prosím, na obsluhu."
ScotApp_1478,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1134,Kazeta na bankovky je plná.
ScotApp_1734,Mám vlastnú tašku
ScotApp_1256,PIP SOC. KARTA
ScotApp_1512,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1465,Chyba recyklátora bankoviek
ScotApp_1721,Transakcia v školiacom režime
ScotApp_1890,Spracúvanie...
ScotApp_1243,VERNOSTNÁ
ScotApp_1544,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_63,Nie
ScotApp_53,53unused
ScotApp_43,43unused
ScotApp_33,Odstránil(a) som problém
ScotApp_1255,PIP KONTROLA DEBETU
ScotApp_13,  %ss po %s/%s
ScotApp_1511,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_93,Načítajte tovar a vložte do tašky
ScotApp_83,83unused
ScotApp_1464,Číslo terminálu
ScotApp_1189,ZADANÝ TOVAR
ScotApp_1720,Od.:
ScotApp_1045,Spôsob platby: %s
ScotApp_672,*** TRANSAKCIA V ŠKOLIACOM REŽIME ***
ScotApp_572,"Zadajte kód tovaru a stlačte tlačidlo ""Enter""."
ScotApp_472,Žiadosť o pomoc
ScotApp_372,Chyba komunikácie s tlačiarňou pri tlači nabok
ScotApp_272,Skontrolovať použité kupóny
ScotApp_172,Načítajte nechcený tovar alebo zvoľte v účtenke.
ScotApp_1510,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1701,Výdaj %s sa nepodaril.
ScotApp_972,972unused
ScotApp_872,Zrušiť pozastavenie
ScotApp_1188,ZADANÉ MNOŽSTVO
ScotApp_1727,Vyhľadanie tovaru
ScotApp_751,"Dnes, po hodinách"
ScotApp_651,Predv.
ScotApp_551,551unused
ScotApp_451,Stav prijímača mincí: zaseknuté
ScotApp_351,"Stav peňazí, papiera"
ScotApp_251,251unused
ScotApp_151,Vezmite peniaze
ScotApp_951,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s odstránené;LSWND3=%s;
ScotApp_851,Dva kusy
ScotApp_730,730unused
ScotApp_630,Číslo kreditnej karty:
ScotApp_430,Mimo prevádzky
ScotApp_330,Režim pomoci
ScotApp_230,Stav prijímača bankoviek: odmietnuté
ScotApp_130,"Prosím, predložte kupóny."
ScotApp_1726,Hľadanie dokončené
ScotApp_930,Skontrolujte komunikáciu.
ScotApp_830,Zobral som tovar alebo tašku
ScotApp_193,193unused
ScotApp_1457,Prebytok peňazí
ScotApp_1283,"* Vytiahnite recyklátor mincí.\n* Otvorte dvierka na oblej strane a vyberte mince z pásov (I).\n* Odomknite a vytiahnite priehradku násypky, a potom vyprázdnite plné násypky alebo znova vložte chýbajúcu násypku (II).\n* Vyprázdnite alebo znova vložte chýbajúci zásobník nadbytočných mincí, (III).\n* Odomknite a vyberte kryt a odstráňte zaseknutie v zobrazených oblastiach (IV).\n* Zaistite, aby boli všetky dvierka správne zatvorené a zamknuté.\n* Ak sa chyba zopakuje, zavolajte servis."
ScotApp_724,724unused
ScotApp_624,Zadaná neplatná tolerancia
ScotApp_424,Zadajte množstvo
ScotApp_324,Dátum netreba
ScotApp_224,Záchytný priečinok čítačky kariet odstránený
ScotApp_124,124unused
ScotApp_1469,"Výdaj %s zákazníkovi sa nepodaril. %s\n* Skontrolujte vydávače mincí a bankoviek.\nStlačte ""Stav peňazí alebo papiera"" a doplňte stav alebo odstráňte zaseknutie."
ScotApp_924,924unused
ScotApp_824,Potvrdenie pozastavenia
ScotApp_576,Začnite platbu kartou.
ScotApp_1247,SOC. POUKÁŽKY NA STRAVU
ScotApp_1678,Chyba recyklátora bankoviek
ScotApp_1503,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1756,"Zvoľte z výsledkov hľadania alebo stlačte ""Späť""."
ScotApp_1456,Nesprávne číslo a heslo pokladníka. \nSkúste znova
ScotApp_1502,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1712,Pozastavenie odmietnuté
ScotApp_1468,Stav recyklátora bankoviek – prázdny
ScotApp_1246,PLATBA ZO SOC. KARTY
ScotApp_75,Hotovo
ScotApp_65,65unused
ScotApp_55,Zrušiť všetko
ScotApp_45,45unused
ScotApp_35,Na vrátenie:
ScotApp_1258,PIP DARČEKOVÁ KARTA
ScotApp_15,Kód tovaru:
ScotApp_1711,Pozastavenie odmietnuté
ScotApp_1683,Neriešiteľná chyba. Zatvorte pokladňu. Zavolajte firmu Gunnebo a oznámte jej informácie o chybe zobrazené nižšie.\n\nChyba modulu SafePay: %s
ScotApp_95,Načítajte kupóny
ScotApp_85,85unused
ScotApp_1058,Plat. s obsl.
ScotApp_1664,Zaseknuté bankovky
ScotApp_797,"Výdaj %s sa nepodaril.\n* Skontrolujte, či nie sú zaseknuté bankovky v kazetách a vydávači.\n* Skontrolujte, či sú kazety a zásobník na odmietnuté peniaze dobre zatvorené západkou.\n* Zatvorte bezpečnostné dvierka."
ScotApp_697,697unused
ScotApp_597,Načítanie aplikácie NCR SelfServ Checkout Forms %d...
ScotApp_497,Na zaplatenie:
ScotApp_297,297unused
ScotApp_197,Presentation Services je načítaná.
ScotApp_997,Zadajte cenu
ScotApp_897,WTINFO načítaná.
ScotApp_1454,"Zadajte heslo a stlačte tlačidlo ""Enter""."
ScotApp_1710,Zoberte si vrátenú hotovosť
ScotApp_1741,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s čak;LSWND3=%s %s zst
ScotApp_1388,Školiaci program
ScotApp_771,Zrušiť pozastavenie
ScotApp_671,Skončiť školiaceho režimu
ScotApp_571,"Zadajte množstvo a stlačte tlačidlo ""Enter""."
ScotApp_471,   Vizuálna kontrola
ScotApp_371,Tlačiareň – vymeňte hlavu
ScotApp_271,Schváliť použité kupóny
ScotApp_971,971unused
ScotApp_871,Potvrdiť pozastavenie
ScotApp_1840,Číslo predajne:
ScotApp_750,"Dnes, sumár"
ScotApp_650,Bežný výrobok
ScotApp_550,550unused
ScotApp_450,450unused
ScotApp_350,"Stav peňazí, papiera"
ScotApp_250,250unused
ScotApp_150,Zvoľte sumu pre vyplatenie v hotovosti.
ScotApp_1773,"Stlačením tlačidla ""Schváliť kupón"" kupón akceptujte alebo choďte do režimu pomoci a zrušte ho.</reťazec"
ScotApp_950,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s pridané;LSWND3=%s;
ScotApp_850,Jeden kus
ScotApp_1405,Server predajne je nesynchronizovaný. Prejdite do režimu pomoci a zasynchronizujte ho.
ScotApp_1513,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1657,Neplatné oddelenie
ScotApp_1225,NEZNÁMY TOVAR
ScotApp_644,-------------------------------------------------------------------
ScotApp_544,Heslo nemôže mať viac než %d číslic.
ScotApp_444,Sociálne potravinové poukážky
ScotApp_344,344unused
ScotApp_244,244unused
ScotApp_144,Porovnať podpis
ScotApp_1590,ZÁSOBNÍK %s – MINCE ZASEKNUTÉ
ScotApp_1669,Chyba recyklátora mincí alebo bankoviek
ScotApp_944,Príliš mnoho požiadaviek na tašky alebo krabice.  Max. = %d.
ScotApp_844,844unused
ScotApp_1729,Vyhľadať tovar:
ScotApp_1447,Vybrať hotov.
ScotApp_1703,(+)
ScotApp_1656,"Zadajte kód oddelenia a stlačte tlačidlo ""Enter""."
ScotApp_915,Príliš mnoho požiadaviek na nepoužitie pása. Max. = %d.
ScotApp_1668,Bankovky môžu byť zaseknuté na zobrazenom mieste. Otvorte horný kryt recyklátora bankoviek. Odstráňte prípadné zachytené bankovky. Zatvorte zariadenie a nasaďte horný kryt recyklátora bankoviek. Pokračujte v transakcii.
ScotApp_1542,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1139,Dvierka vydávača bankoviek sú otvorené.
ScotApp_1254,PIP ÚSPORY DEBETU
ScotApp_1249,PIP NEURČENÉ
ScotApp_77,Kreditná
ScotApp_67,Späť
ScotApp_57,Dokončiť a zaplatiť
ScotApp_47,Spustiť
ScotApp_37,37unused
ScotApp_1458,Zostava systému NCR SelfServ Checkout
ScotApp_17,Kupón
ScotApp_1752,Záťaž na váhe prekračuje kapacitu.
ScotApp_1643,Chyba recyklátora bankoviek
ScotApp_97,Vyberte krabičku zo zoznamu.
ScotApp_87,87unused
ScotApp_1665,Odomknite a vyberte kazetu. Odstráňte zaseknuté bankovky. Znova vložte kazetu. Zatvorte recyklátor. Pokračujte v transakcii.
ScotApp_1138,Výdaj %s sa nepodaril.
ScotApp_1589,MINCE SA MINULI
ScotApp_1445,Počet mincí
ScotApp_1318,Načítať poukážky
ScotApp_1654,Počet prekračuje kapacitu. Maximálny počet je %d. Počet %d bol automaticky zadaný.
ScotApp_796,"Málo mincí, vydávač mincí je vypnutý alebo došlo k chybe.\n* Zapnite vydávač mincí alebo\n* vydávač doplňte, reštartujte a stlačte tlačidlo ""Zásobník mincí doplnený"" na obrazovke stavu pokladne."
ScotApp_696,696unused
ScotApp_596,NCR SelfServ Checkout AuxDisp načítaná.
ScotApp_1391,"Stlačte tlačidlo ""Odstránil(a) som problém"".\nAk chyba pretrváva, reštartujte terminál."
ScotApp_396,Pomoc obsluhy potrebná pre:
ScotApp_296,296unused
ScotApp_196,Načítanie aplikácie Presentation Services...
ScotApp_1588,"Pred stlačením tlačidla ""Vybrať vydávač"" sa musia vyprázdniť všetky zásobníky. Vysypte všetky zásobníky násypiek mincí a stlačte tlačidlo ""Vybrať vydávač""."
ScotApp_996,Zadanie ceny
ScotApp_896,Načítanie aplikácie WTINFO...
ScotApp_574,"Zadajte heslo a stlačte tlačidlo ""Enter""."
ScotApp_1093,Vytl. posl. účt.
ScotApp_1641,"Doplňte násypku mincí a pokračujte. Ak sa mince nevydávajú, môže byť násypka zamknutá. Zavolajte servis.\n\nChyba modulu SafePay: %s"
ScotApp_1781,"ĎAKUJEME, LIMIT UPLYNUL"
ScotApp_562,Kupóny sa musia uplatniť v režime pomoci
ScotApp_874,"Zadajte kód D.L. alebo I.D. a stlačte tlačidlo ""Enter""."
ScotApp_1124,1124unused
ScotApp_770,Potvrdiť pozastavenie
ScotApp_670,Vstup do školiaceho režimu
ScotApp_570,570unused
ScotApp_470,   Vekový limit
ScotApp_370,Tlačiareň otvorená
ScotApp_270,Schváliť kupóny
ScotApp_170,"Odstráňte tovar z váhy a stlačte tlačidlo ""Vynulovať váhu"" na čítačke."
ScotApp_1640,Chyba násypky
ScotApp_870,Upozornenia:
ScotApp_1733,"Zvoľte ""Späť"" a pokračujte."
ScotApp_1553,Nadbytok peňazí:
ScotApp_664,Načítajte tovar alebo zvoľte jazyk.
ScotApp_564,564unused
ScotApp_464,%s               %s
ScotApp_364,364unused
ScotApp_264,264unused
ScotApp_964,"Zoberte tovar a stlačte ""Vymazať alarm"" alebo ""Schváliť a aktualizovať hmotnosť"""
ScotApp_864,Schválenie:
ScotApp_1647,(mmddrrrr)
ScotApp_1119,"Vydávač bankoviek nebude pracovať s otvorenými dvierkami.\n\nZatvorte bezpečnostné dvierka alebo dvierka vydávača a zaistite poistkou.\n\nAk sa chyba zopakuje, zavolajte servis."
ScotApp_1659,Vytlačiť účtenku
ScotApp_819,Potvrďte pozastavenie stornovaného tovaru.
ScotApp_1339,Reštartovať celý systém
ScotApp_1582,Stav médií
ScotApp_1154,Chyba čítačky
ScotApp_1117,"Kazeta vydávača bankoviek %s chýba alebo nie je dobre vložená.\n\nSprávne vložte kazetu s bankovkami %s, kým poistka nezaklapne."
ScotApp_1294,Q – S
ScotApp_1030,Vložte kupón.
ScotApp_1658,"Skontrolujte, či zákazník dostal správne naspäť."
ScotApp_1421,Režim pomoci
ScotApp_709,709unused
ScotApp_1129,Náprava nebola urobená správne.\n\nSkúste znova.
ScotApp_509,509unused
ScotApp_409,Hlásenie systému
ScotApp_309,euro
ScotApp_209,Zastaviť program
ScotApp_109,Chcete pokračovať?
ScotApp_1338,Načítať diagnostické súbory
ScotApp_909,Nesprávna hmotnosť na bezpečnostnej váhe.
ScotApp_809,Hlásenie POS:
ScotApp_1645,"Skontrolujte, či je kryt bankoviek dobre upevnený."
ScotApp_1116,"Vydávač bankoviek nebude fungovať, ak nie je vložený zásobník na odmietnuté bankovky a pevne zachytený závorou.\n\nVložte zásobník a dobre ho zachyťte závorou."
ScotApp_1128,%s\n
ScotApp_1452,"Zadajte kód a stlačte tlačidlo ""Enter""."
ScotApp_183,183unused
ScotApp_1450,Zamykacia pokladňa
ScotApp_1293,P
ScotApp_1644,Kryt recyklátora bankoviek otvorený
ScotApp_1115,TVORBA ZOSTÁV JE OFFLINE
ScotApp_795,Nákupy sa monitorujú pre zabezpečenie lepších služieb.
ScotApp_695,695unused
ScotApp_595,Načítanie aplikácie NCR SelfServ Checkout AuxDisp...
ScotApp_395,Limitovaný tovar nie je povolený
ScotApp_295,295unused
ScotApp_195,Device Manager je načítaný.
ScotApp_566,566unused
ScotApp_1324,Predmet je na\nváhe aj po transakcii.
ScotApp_995,Choďte k pokladni a otvorte ju prihlásením sa do režimu zamestnanca.
ScotApp_895,Ukončovanie aplikácie DBM...
ScotApp_1102,Nasledujúci
ScotApp_1383,(výnim.)
ScotApp_1402,CHÝBA PREPOJKA NA ZÁSOBNÍKU NA ODMIETNUTÉ BANKOVKY.
ScotApp_1292,N – O
ScotApp_1114,"""Koniec obdobia pre zostavu"" – aktualizácia úspešná"
ScotApp_1222,MIMO PREVÁDZKY
ScotApp_1101,%s\t%s
ScotApp_1159,Klávesnica PIN alebo zariad. el. platby neodpovedá.
ScotApp_1100,%s
ScotApp_1539,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1649,(ddmmrrrr)
ScotApp_1317,Platba poukážkou
ScotApp_1883,"Skontrolujte, či na bezpečnostnej váhe alebo vo vozíku nie je nadbytočný tovar a stlačte „Vymazať alarm“."
ScotApp_729,729unused
ScotApp_629,Celková suma:
ScotApp_429,Červená
ScotApp_329,  %ss po%d %s/%s
ScotApp_229,229unused
ScotApp_129,"Skontrolujte, či bol stornovaný tovar odložený nabok."
ScotApp_1107,%s\t%s\tpočet %s po %s/%s\t%s
ScotApp_1538,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_929,WLDB nekomunikuje správne.
ScotApp_829,829unused
ScotApp_1316,"* Otvorte kryt tlačiarne a skontrolujte, či v zobrazenej oblasti nie je zaseknutý papier.\n * Zatvorte kryt a znova vložte papier."
ScotApp_81,Odstránil(a) som problém
ScotApp_1882,Varovanie Inteligentného asistenta - tovar nebol načítaný.
ScotApp_1673,Zaseknuté mince
ScotApp_1135,Chyba vydávača bankoviek
ScotApp_1705,Chyba komunikácie.
ScotApp_1894,Set item aside and continue with your purchase.
ScotApp_787,"Zadaný dátum narodenia: %s, vek %d rokov"
ScotApp_1398,Obs./Škol.
ScotApp_1106,%s\t%s\tpočet %s po %s/ks\t%s
ScotApp_1525,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1493,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1490,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1315,"* Otvorte kryt tlačiarne a skontrolujte, či nie je zaseknutý papier.\n * Zatvorte kryt a znova vložte papier."
ScotApp_1881,"Skontrolujte bezpečnostnú váhu, odstráňte nadbytočný tovar a stlačte „Vymazať alarm“."
ScotApp_1173,STORNOVANÝ TOVAR SCHVÁLENÝ
ScotApp_1524,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_505,Nesprávny počet
ScotApp_1302,Zatvoriť
ScotApp_905, (Ďalšie informácie na účtenke...)
ScotApp_1164,Tlačiareň nie je správne umiestnená.
ScotApp_1492,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1314,* Otvorte kryt tlačiarne a odstráňte zvyšky papiera.\n * Zatvorte kryt. \n* Vložte nový valec papiera. \n* Zaveďte koniec papiera do tlačiarne.
ScotApp_1817,"* Vytiahnite recyklátor mincí.\n* Otvorte dvierka na oblej strane a vyberte mince z pásov.\n* Zabezpečte, aby boli všetky dvierka zatvorené a správne zamknuté.\n* Vráťte mince zákazníkovi. Ak sa chyba znova prejaví, zavolajte servis."
ScotApp_1442,"Vložte bankovky na doplnenie alebo stlačte tlačidlo ""Vybrať bankovky"" a vyberte ich."
ScotApp_1880,Neočakávaný tovar na bezpečnostnej váhe.
ScotApp_1172,POZASTAVENIE POTVRDENÉ
ScotApp_1415,1415unused
ScotApp_788,Platný dátum narodenia: %s
ScotApp_688,688unused
ScotApp_588,Načítanie aplikácie Device Factory...
ScotApp_488,Položte tovar na váhu:%s
ScotApp_388,Spracúvanie...
ScotApp_288,"Stlačte tlačidlo ""Odstránil(a) som problém"".\nAk chyba pretrváva, reštartujte terminál:\nOtočte kľúč vedúceho do polohy ""S"" – ALEBO stlačte tlačidlo vedúceho.\nZvoľte ""Vypnúť celý systém"".\nKeď zmizne obraz z obrazovky, odpojte terminál od zdroja alebo zo zásuvky.\nZapnite terminál. Ak sa chyba znova prejaví, zavolajte servis."
ScotApp_188,Načítanie možností...
ScotApp_988,Neočakávaný tovar na páse. Odstráňte tovar.
ScotApp_888,Neočakávaný tovar v baliacom priestore.  Odstráňte tovar.
ScotApp_1887,Skontrolujte transakciu
ScotApp_1171,NEOČAKÁVANÉ ZVÝŠENIE
ScotApp_1199,ZADANÝ DÁTUM EXPIRÁCIE
ScotApp_1300,Začať transakciu
ScotApp_1326,Uplynul čas na vloženie kupónu
ScotApp_1291,K – M
ScotApp_1517,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1886,"Overte, či nie je nadbytočný tovar."
ScotApp_749,749unused
ScotApp_1529,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_549,549unused
ScotApp_449,Stav prijímača mincí: odmietnuté
ScotApp_349,349unused
ScotApp_249,249unused
ScotApp_149,Zadajte PIN
ScotApp_1307,Tlač účtenky
ScotApp_1738,Obsluha musí tašky skontrolovať
ScotApp_949,949unused
ScotApp_717,717unused
ScotApp_617,Zvoľte nastavenie pre porovnáv. hmotnosti. (Porov. hmot. tovaru s doter. nákupom.)
ScotApp_517,Požiadavka na iný druh platby.
ScotApp_417,Hard Totals načítaná.
ScotApp_317,317unused
ScotApp_217,217unused
ScotApp_117,Dajte tovar nabok
ScotApp_1516,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1885,Tovar nebol načítaný
ScotApp_917,Príliš mnoho požiadaviek na odstránenie tovaru z baliaceho priestoru. Max. = %d.
ScotApp_817,Je potrebná pomoc
