AmountSaved,Sutaupyta suma
LegalCaptionText,"LEGAL CAPTION\nThis system is for the use of authorized personnel only. By logging onto this system, you are subject to the terms and conditions of all Information Security policies and standards. Use by unauthorized individuals or for unauthorized purposes is a violation of federal and/or state law. The company reserves the right to take any necessary actions to protect authorized users, intellectual property and other information assets. Individuals using this system are subject to having all of their activities on this system monitored. Anyone using this system expressly consents to such monitoring and is advised that if such monitoring reveals possible evidence of criminal activity, system personnel may provide the evidence of such monitoring to law enforcement officials.\n        "
SignBelow,Pasirašykite žemiau.
AlertStatusTextOff,
AlertStatusTextOn,!!!
SignOnTitle,NCR SelfServ Checkout Log In
HH_TransactionCancelLeadThru2,Transaction cancelled.
InitialText,.
PageIndicatorLabelFormat,{0} psl. iš {1}
XM_Cassette,Kasetė
DueCart,Mokėti
XM_ProcessingCashTextV6HW,•   Įdėkite monetas į monetų priėmimo įtaisą.\n•   Įdėkite banknotus į banknotų priėmimo įtaisą.\n
XM_CoinHoppersV6HW,Monetų piltuvai
XM_CoinBoxV6HW,Monetų dėžutė - %d - %s
XM_ConfirmTransferNotesToBaseLevelV6HW,Perkelti banknotus į banknotų dėžutę\n\nPerkeliama suma: %s\nPerkeliamas skaičius: %d\n\nPerkėlimo procesas gali užtrukti kelias minutes.
XM_ConfirmTransferAllNotesV6HW,Perkelti visus banknotus į banknotų dėžutę\n\nPerkeliama suma: %s\nPerkeliamas skaičius: %d\n\nPerkėlimo procesas gali užtrukti kelias minutes.
XM_ResetCoinsAllCoinsV6HW,Išduoti visas monetas
XM_ResetCoinHopperCountsV6HW,Atstatyti monetų piltuvo skaičius
XM_ResetNoteBoxCountsV6HW,Atstatyti banknotų dėžutės skaičių
XM_MenuNoteBoxTransferV6HW,Banknotų dėžutės perkėlimai
XM_AddCashLeadthruV6HW,"•   Įdėkite monetas į monetų priėmimo įtaisą.\n•   Įdėkite banknotus į banknotų priėmimo įtaisą.\n•   Palieskite „Įjungti monetų papildymo kanalą“,\n     kad galėtumėte į jį įdėti monetas.\n•   Palieskite „Nustatyti įkėliklį“, kad galėtumėte į jį įdėti banknotus."
XM_FinishedAddingCashV6HW,"Baigę pridėti grynuosius, palieskite „Gerai“."
XM_OKV6HW,Gerai
XM_SetupLoaderV6HW,Nustatyti įkėliklį
XM_SetupLoaderLeadthruV6HW,•   Įveskite „%s“ numatytojo nominalo sumą / skaičių \n     įkėlikliui ir palieskite „Gerai“.\n•   Baigę palieskite „Pritaikyti  pakeitimus“.
XM_NoteLoaderV6HW,Banknotų įkėliklis
XM_EnableCoinInputBowlV6HW,Įjungti monetų įdėjimo dubenį
XM_EnableCoinRefillChuteV6HW,Įjungti monetų papildymo kanalą
XM_EnableCoinAcceptorV6HW,Įjungti monetų priėmimo įtaisą
XM_TopOffCashPrintStatusV6HW,Pripildyti grynųjų arba spausdinti būseną
XM_TransferOperationPreemptiveV6HW,"Vykdomas banknotų perkėlimas... palaukite.\n\nNEIŠIMKITE BANKNOTŲ DĖŽUTĖS ar   \nkitų įtaisų, kol operacija nebus baigta."
XM_TransferOperationInstructionV6HW,Perkėlimas baigtas.\nIšimkite visus banknotus iš banknotų dėžutės ir\n atstatykite banknotų dėžutę.
XM_PendingDispenseV6HW,Nebaigta išduoti %d - %s
XM_PendingTransferV6HW,Nebaigta perkelti %d - %s
XM_PendingResetV6HW,Nebaigta atstatyti %d - %s
XM_ConfirmResetNoteBoxV6HW,Atstatyti banknotų dėžutės skaičių / vertę\n\nAtstatoma suma: %s\nAtstatomas skaičius: %d\n\nSuma po banknotų dėžutės atstatymo: 0 €\nSkaičius po banknotų dėžutės atstatymo: 0
XM_PendingCashRemoveV6HW,"Atidarykite seifo dureles, išimkite banknotų dėžutę ir visus banknotus.\nVėl įdėkite tuščią banknotų dėžutę.\n\nKai bus baigta, palieskite „Gerai“."
XM_LeadThruResetNoteBoxFunctionV6HW,Atstatymo funkcijos\n•   Atstatykite banknotų dėžutės skaičių į nulį.\n•   Baigę palieskite „Pritaikyti pakeitimus“.
XM_AllV6HW,Visi
XM_LeadThruTransferNotesToNoteBoxFunctionV6HW,"Banknotų dėžutės perkėlimai\n•   Norėdami perkelti banknotus, palieskite „Pritaikyti  pakeitimus“.\n•   Norėdami atšaukti, palieskite „Panaikinti  pakeitimus“."
XM_ReplenishNotesFromLoaderToRecyclersPreemptiveV6HW,Vykdomas įkėlimas... palaukite.
XM_SetupLoaderAlertConfirmationV6HW,"Nustatyti įkėliklį\n\nĮsitikinkite, ar įkėliklio vertės tinkamos ir ar įkėliklis įstatytas, paskui palieskite „Gerai“ banknotams įkelti."
XM_SetupLoaderAlertConfirmation1V6HW,"Nustatyti įkėliklį\n\nPridėkite banknotų į įkėliklį, įsitikinkite, ar įkėliklis įstatytas, paskui palieskite „Gerai“ banknotams įkelti."
XM_SetupLoaderConfirmationV6HW,"Nustatyti įkėliklį\n\n%s banknotų būsena įkėliklyje:\n\nOriginali / pradinė suma: %s\nOriginalus / pradinis skaičius: %d\nSuma, kiek turi būti pridėta į įkėliklį: %s\nĮ įkėliklį pridedamas skaičius: %d\n\nSudėkite banknotus, kurie nėra laikomi dažnai išduodamais, įkėliklio apačioje. Įkėliklio apačioje esantys banknotai bus automatiškai suskaičiuoti ir įkelti, kol bus pasiektas įkėliklio nominalas.\n\nĮkėlimo procesas gali užtrukti kelias minutes."
XM_SetupLoaderConfirmation1V6HW,Nustatyti įkėliklį\n\nVisi įkėliklio banknotai bus automatiškai \nįkelti ir suskaičiuoti.\n\nĮkėlimo procesas gali užtrukti kelias minutes.
XM_PendingNotesAddedV6HW,Numatytieji banknotai pridėti %d - %s
XM_ProcessingCashV6HW,Apdorojami grynieji
XM_ProcessingCashLeadThruV6HW,•   Įdėkite monetas į monetų priėmimo įtaisą.\n•   Įdėkite banknotus į banknotų priėmimo įtaisą.
XM_SetupLoaderLeadThru1V6HW,"•   Norėdami pridėti banknotus į įkėliklį, palieskite „Pritaikyti pakeitimus“.\n•   Norėdami atšaukti, palieskite „Panaikinti pakeitimus“."
XM_LeadThruDispenseFunctionV6HW,Išdavimo funkcijos\n•   Įveskite %s banknotų sumą / skaičių naudodami klaviatūrą.
XM_LeadThruDispenseFunction1V6HW,"Išdavimo funkcijos\n•   Norėdami išduoti monetas, palieskite „Pritaikyti pakeitimus“.\n•   Norėdami atšaukti, palieskite „Panaikinti pakeitimus“."
XM_ConfirmCoinDispenseAllV6HW,Išduoti visas monetas\n\nIšduodama suma: %s\nIšduodamas skaičius: %d
XM_DispenseOperationPreemptiveV6HW,"Vykdomas monetų išdavimas.\n\nIšimkite monetas iš monetų dubens, kai jis prisipildys, ir palieskite „Gerai“."
XM_ConfirmCoinDispenseToBaseLevelV6HW,Išduoti monetas į pagrindinį lygį\n\nIšduodama suma: %s\nIšduodamas skaičius: %d
XM_LeadThruResetCoinHopperFunctionV6HW,Atstatymo funkcijos\n•   Atstatykite monetų piltuvo skaičius į nulį.\n•   Baigę palieskite „Pritaikyti pakeitimus“.
XM_ResetCoinHopperLeadThruV6HW,"Išimkite monetas iš monetų piltuvų. Vėl įdėkite\ništuštinkite monetų piltuvus.\n\nKai bus baigta, palieskite „Gerai“."
XM_LoaderCountEnteredExceededCapacityV6HW,Įvestas įkėliklio skaičius viršija talpą. Maksimalus leidžiamas įkėliklio skaičius yra %d.
XM_CoinHopperPendingResetV6HW,Nebaigta atstatyti %d - %s
XM_ConfirmResetCoinHopperV6HW,Atstatyti monetų piltuvo skaičius / vertę\n
XM_ConfirmResetCoinHopper1V6HW,\n%s\nAtstatyti sumą: %s skaičius: %d\n
XM_ConfirmResetCoinHopper2V6HW,\nPo atstatymo:\nMonetų piltuve: %s skaičius: %d\nMonetų monetų dėžutėje: %s skaičius: %d
XM_CannotCompleteTransferV6HW,Negalima užbaigti perkėlimo.\n Banknotų dėžutėje neužtenka vietos. Ištuštinkite banknotų dėžutę prieš atlikdami šią operaciją.
XM_CashStatusLeadthruV6HW,•   Atspausdinti grynųjų būklės informaciją.\n•   Įdėkite monetas į monetų priėmimo įtaisą.\n•   Įdėkite banknotus į banknotų priėmimo įtaisą.\n•   Baigę palieskite „Išeiti“.
XM_NonDispensableCoinsV6HW,Neišduodamos monetos
XM_DispensableCoinsV6HW,Išduodamos monetos
XM_ConfirmNoteDispenseV6HW,Išduoti banknotus\n\nIšduodama suma: %s\nIšduodamas skaičius: %d
XM_DispenseNoteFullPreemptiveV6HW,"Paimkite banknotus\n\nBanknotai išduodami %d paketais.\nIšdavimas bus pristabdytas, kol visi banknotai bus paimti."
XM_NoteBoxV6HW,Banknotų dėžutė
XM_NoteRecyclerV6HW,Banknotų priėmimo-išdavimo įtaisai
XM_DispenseCoinsToBaseLevelV6HW,Išduoti monetas\nį pagrindinį lygį
XM_TransferNotesToBaseLevelV6HW,Perkelti banknotus į pagrindinį lygį
XM_TransferAllNotesV6HW,Perkelti visus banknotus
XM_LeadThruNoteBoxTransferV6HW,Banknotų dėžutės perkėlimai\n•   Pasirinkite norimą perkėlimo funkciją.\n•   Baigę palieskite „Pritaikyti pakeitimus“.
XM_LeadThruResetFunctionV6HW,Atstatymo funkcijos\n•   Pasirinkite norimą atstatymo funkciją.\n•   Baigę palieskite „Pritaikyti pakeitimus“.
XM_LeadThruDispenseFunction2V6HW,Išdavimo funkcijos\n•   Palieskite banknoto nominalą ir įveskite sumą / skaičių\n     arba pasirinkite funkciją.\n•   Baigę palieskite „Pritaikyti pakeitimus“.
XM_SignSigTouchDisplayV6HW,Pasirašykite liečiamajame ekrane.
XM_LeadThruCashManagementErrorV6HW,Grynųjų tvarkymo klaida
XM_LoanPickupUpdateFailureV6HW,Grynųjų tvarkymo atnaujinti nepavyko
XM_LoanPickupUpdateNoResponseV6HW,Atnaujinant grynųjų tvarkymo būseną negautas POS atsakas
XM_LoanPickupUpdateFailureInstructionV6HW,"\n• Palieskite „Kartoti“, kad atnaujintumėte \n• Jei klaida kartojasi, kreipkitės į parduotuvės administraciją \n• Ši klaida neišnyks tol, kol atnaujinimas nebus atliktas sėkmingai."
XM_LoanPickupUpdateNoResponseInstructionV6HW,• Nedelsdami praneškite apie šią klaidą parduotuvės administracijai.\n• Grynųjų tvarkymo būsena gali būti neatnaujinta.\n•   Atidarykite pagalbinių funkcijų ekraną.
XM_LoanPickupUpdateNoResponseInstruction1V6HW,"•   Palieskite „Generuoti diagnostikos failus“ ir paskui – „Išjungti visą sistemą“.\n•   Vėl įjunkite sistemos maitinimą.\n•   Jei klaida pasikartoja, sugeneruokite diagnostinio žurnalo failą ir iškvieskite tarnybą.\n"
XM_CashManagementErrorRetryButtonV6HW,Kartoti
XM_DispenseThresholdV6HW,"Įvestas skaičius viršija kiekį, kurį galima išduoti.\nĮvestas maksimalus kiekis: %d"
ScotApp_1742,NETINKAMAS MAIŠAS
ScotApp_71,71unused
ScotApp_61,61unused
ScotApp_51,Nuskenuoti kupono negalima
ScotApp_41,Apribotos prekės
ScotApp_31,Kuponai
ScotApp_1055,1055unused
ScotApp_11,11unused
ScotApp_789,"Perbraukite savo kortelę.\nPatikrinkite, ar krepšyje nėra daugiau prekių."
ScotApp_689,  Pardavimas:      %d
ScotApp_589,"Programa ""Device Factory"" įkelta..."
ScotApp_389,Kortelė apdorojama
ScotApp_289,289unused
ScotApp_189,Pasirinktys įkeltos.
ScotApp_91,91unused
ScotApp_773,Sutaupyta suma:
ScotApp_673,Prašome klientui atiduoti %s grąžos.
ScotApp_1264,USERDEFINED6
ScotApp_473,Pinigų lygis žemas
ScotApp_373,Spausdintuvo išstūmimo klaida
ScotApp_989,989unused
ScotApp_889,%s\nTikrasis svoris(%s): %s\nLaukiami svoriai(%s): %s
ScotApp_1520,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1042,"PRIPAŽINIMO PAŽYMA:\nTAI ATSPAUSDINTA DĖL TO, KAD GAUTI DOKUMENTO\nPRIPAŽINIMĄ NEPAVYKO.  PRAŠOME PRIDĖTI ŠIĄ\nPAŽYMĄ PRIE ATITINKAMO DOKUMENTO.\n----------------------------------------\n"
ScotApp_973,973unused
ScotApp_873,D.L. / I.D. numerių įvestis:
ScotApp_1737,Savo maišelis
ScotApp_752,Vakardienos suvestinė
ScotApp_652, **WLDB įvesčių šiam UPC nėra
ScotApp_1054,1054unused
ScotApp_452,"Patikrinkite, ar kabelis tvirtai prijungtas prie monetų priėmimo įtaiso šono."
ScotApp_352,Atnaujinti
ScotApp_252,\nKamštis monetų išdavimo įtaise\n\nIšvalykite kamštį monetų išdavimo įtaise.
ScotApp_152,152unused
ScotApp_1310,"* Išimkite banknotų priėmimo įtaisą.\n* Įstatykite banknotų priėmimo įtaisą atgal taip, kad jis užsifiksuotų.\n* Patikrinkite, ar įsijungia banknotų priėmimo įtaiso variklis ir ar LED rodiklis šviečia žaliai."
ScotApp_661,(Std.)
ScotApp_952,Pridėti nulinį svorį
ScotApp_852,Trys prekės
ScotApp_1527,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1838,Patikrinti prekę
ScotApp_731,Suvestinė
ScotApp_631,Savininko vardas:
ScotApp_531,\nParašo fiksavimo įtaiso gedimas
ScotApp_331,Nuimkite prekes nuo apsauginių svarstyklių. Klaviatūra užblokuota.
ScotApp_231,231unused
ScotApp_131,Nuskenuoti kuponus
ScotApp_1736,"Prašome padėti savo maišus pakavimo zonoje. Baigę palieskite ""Atlikta""."
ScotApp_1250,PIP KREDITAS
ScotApp_831,831unused
ScotApp_300,300unused
ScotApp_1306,%s grąžos išduota
ScotApp_710,710unused
ScotApp_610,Prekės svoris:
ScotApp_510,Pasirašyti dar kartą
ScotApp_310,dėžė greitai bus tuščia
ScotApp_210,210unused
ScotApp_110,Sverti prekę
ScotApp_1526,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1126,"Monetų išdavimo įtaiso gedimas.\n\nPatikrinkite įjungimo/išjungimo jungiklį, jei ant išdavimo įtaiso jis yra.                         "
ScotApp_1040,Parašas
ScotApp_810,mokymo režimu
ScotApp_1735,Padėkite savo maišus
ScotApp_1257,PIP MAISTO TALONAI
ScotApp_704,Įvestis PIN klaviatūra
ScotApp_604,Nuskenuokite prekę.
ScotApp_504,504unused
ScotApp_404,404unused
ScotApp_304,Pasirinkti pakuotę
ScotApp_204,Byla kopijuojama į serverį...
ScotApp_104,104unused
ScotApp_1269,USERDEFINED11
ScotApp_904,Prekės svorio patvirtinimas
ScotApp_804,804unused
ScotApp_1047,"Reikalingas pripažinimas. Palaukite, kol operatorius suteiks pagalbą."
ScotApp_1478,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1134,Banknotų kasetė užpildyta.
ScotApp_1734,Atsinešiau savo maišą
ScotApp_1256,PIP EBT
ScotApp_1512,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1465,Grynųjų grąžinimo įtaiso klaida
ScotApp_1721,Operacija mokymosi režimu
ScotApp_1890,Ppdorojama...
ScotApp_1243,LOJALUMAS
ScotApp_1544,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_63,Ne
ScotApp_53,53unused
ScotApp_43,43unused
ScotApp_33,Problemą ištaisiau
ScotApp_1255,PIP TIKRINAMA DEBETO KORTELĖ
ScotApp_13,  %ss @ %s/%s
ScotApp_1511,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_93,Skenuoti ir pakuoti
ScotApp_83,83unused
ScotApp_1464,Įrenginio Nr.
ScotApp_1189,ĮVESTA PREKĖ
ScotApp_1720,AS:
ScotApp_1045,Mokėkite naudodami: %s
ScotApp_672,*** OPERACIJA MOKYMOSI REŽIMU ***
ScotApp_572,"Įveskite prekės kodą ir palieskite ""Įvesti""."
ScotApp_472,Reikalinga pagalba
ScotApp_372,Ryšio su spausdintuvu klaida (šon.)
ScotApp_272,Patikrinti panaudotus kuponus
ScotApp_172,Nuskenuokite nepageidaujamą prekę arba susiraskite prekę kvito sąraše.
ScotApp_1510,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1701,Nepavyko išduoti: %s.
ScotApp_972,972unused
ScotApp_872,Panaikinti laikiną sustabdymą
ScotApp_1188,ĮVESTAS KIEKIS
ScotApp_1727,Prekės paieška
ScotApp_751,Šiandien pavalandžiui
ScotApp_651,Standartas
ScotApp_551,551unused
ScotApp_451,Monetų priėmimo įtaiso būklė: kamštis
ScotApp_351,Grynųjų / popieriaus būklė
ScotApp_251,251unused
ScotApp_151,Prašome paimti grynuosius
ScotApp_951,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s pašalinta;LSWND3=%s;
ScotApp_851,Dvi prekės
ScotApp_730,730unused
ScotApp_630,Kredito kortelės Nr.:
ScotApp_430,Neveikia
ScotApp_330,Pagalbos režimas
ScotApp_230,Grynųjų priėmimo įtaiso būklė: atmesta
ScotApp_130,Nuskenuokite savo kuponus.
ScotApp_1726,Paieška baigta
ScotApp_930,Patikrinkite ryšį.
ScotApp_830,Prekę arba maišą pašalinau
ScotApp_193,193unused
ScotApp_1457,Banknotų kiekis didelis
ScotApp_1283,1283unused
ScotApp_724,724unused
ScotApp_624,Įvestas netinkamas nuokrypis
ScotApp_424,Įveskite sumą
ScotApp_324,Datos nereikia
ScotApp_224,Kortelių skaitytuvo paėmimo dėžė išimta
ScotApp_124,124unused
ScotApp_1469,"Išduoti %s klientui nepavyko. %s\n* Patikrinkite monetų ir banknotų išdavimo įtaisus.\n* Palieskite ""Grynųjų / popieriaus būklė"", kad papildytumėte arba pašalintumėte kamštį."
ScotApp_924,924unused
ScotApp_824,Laikino sustabdymo patvirtinimas
ScotApp_576,Pradėti mokėjimą kortele.
ScotApp_1247,MAISTO TALONAI
ScotApp_1678,Banknotų grąžinimo į apyvartą įtaiso klaida
ScotApp_1503,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1756,"Pasirinkite iš paieškos rezultatų arba ""Grįžti atgal"". "
ScotApp_1456,Neteisingas kasininko numeris ir slaptažodis. \nPrašome pamėginti dar kartą
ScotApp_1502,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1712,Laikinas sustabdymas atmestas
ScotApp_1468,Grynųjų grąžinimo įtaiso būklė: tuščias
ScotApp_1246,EBT
ScotApp_75,Atlikta
ScotApp_65,65unused
ScotApp_55,Panaikinti viską
ScotApp_45,45unused
ScotApp_35,Išmokėti grąžos:
ScotApp_1258,PIP DOVANŲ KORTELĖ
ScotApp_15,Prekės kodas:
ScotApp_1711,Laikinas sustabdymas atmestas
ScotApp_1683,"Neištaisoma klaida.  Prašome uždaryti kasos takelį.  Susisiekite su ""Gunnebo"" ir pateikite informaciją apie klaidą, kuri nurodyta toliau.\n\n""SafePay"" klaida: %s"
ScotApp_95,Skenuoti kuponus
ScotApp_85,85unused
ScotApp_1058,Mokėjimas kai jums padedama
ScotApp_1664,Banknotų kamštis
ScotApp_797,"Nepavyko išduoti %s.\n* Patikrinkite banknotus kasetėse ir ar neužstrigęs banknotų išdavimo įtaisas.\n* Patikrinkite, ar banknotų kasetės ir valymo dėžė yra užfiksuotos.\n* Uždarykite seifo dureles."
ScotApp_697,697unused
ScotApp_597,"Programa ""NCR SelfServ Checkout Forms"" įkeliama %d forma..."
ScotApp_497,Mokėtina suma:
ScotApp_297,297unused
ScotApp_197,"Programa ""Presentation Services"" įkelta."
ScotApp_997,Įvesti kainą
ScotApp_897,Programa WTINFO įkelta.
ScotApp_1454,"Įveskite slaptažodį ir palieskite ""Įvesti""."
ScotApp_1710,Paimkite grąžintus pinigus
ScotApp_1741,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s tik.;LSWND3=%s %s nust.
ScotApp_1388,Mokymo programa
ScotApp_771,Panaikinti laikiną sustabdymą
ScotApp_671,Išeiti iš mokymosi režimo
ScotApp_571,"Įveskite kiekį ir palieskite ""Įvesti""."
ScotApp_471,   Vizualinis patvirtinimas
ScotApp_371,Pakeiskite spausdintuvo galvutę
ScotApp_271,Patvirtinti panaudotus kuponus
ScotApp_971,971unused
ScotApp_871,Patvirtinti laikiną sustabdymą
ScotApp_1840,Parduotuvės Nr.:
ScotApp_750,Šiandienos suvestinė
ScotApp_650,Įprastinis produktas
ScotApp_550,550unused
ScotApp_450,450unused
ScotApp_350,Grynųjų / popieriaus būklė
ScotApp_250,250unused
ScotApp_150,Pasirinkite pageidaujamą išmokėti grynųjų pinigų sumą
ScotApp_1773,"Palieskite ""Patvirtinti kuponą"", kad patvirtintumėte kuponą, arba pereikite į pagalbos teikimo režimą, kad jį anuliuotumėte."
ScotApp_950,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s pridėta;LSWND3=%s;
ScotApp_850,Viena prekė
ScotApp_1405,"POS sinchronizacija nutrūko. Kad vėl sinchronizuotumėte, prašome pereiti į pagalbos teikimo režimą."
ScotApp_1513,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1657,Netinkamas skyrius
ScotApp_1225,NEŽINOMA PREKĖ
ScotApp_644,-------------------------------------------------------------------
ScotApp_544,Slaptažodis negali būti didesnis nei %d skaitmenys.
ScotApp_444,Maisto talonai
ScotApp_344,344unused
ScotApp_244,244unused
ScotApp_144,Palyginkite parašą
ScotApp_1590,DĖŽĖJE %s MONETOS ĮSTRIGO
ScotApp_1669,Monetų/banknotų grąžinimo į apyvartą įtaiso klaida
ScotApp_944,Per daug užklausų pakuoti į maišus/dėžes.  Maks. = %d.
ScotApp_844,844unused
ScotApp_1729,Prekių paieška:
ScotApp_1447,Išimti grynuosius
ScotApp_1703,(+)
ScotApp_1656,"Įveskite skyriaus kodą ir palieskite ""Įvesti""."
ScotApp_915,Per daug užklausų praleisti juostą.  Maks. = %d.
ScotApp_1668,"Parodytoje vietoje gali būti susidaręs banknotų kamštis. Atidarykite banknotų grąžinimo į apyvartą įtaiso viršutinį dangtį. Jei yra įstrigusių banknotų, išimkite juos visus.  Uždarykite įrenginį ir uždėkite banknotų grąžinimo į apyvartą įtaiso dangtį atgal.  Tęskite operaciją."
ScotApp_1542,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1139,Banknotų išdavimo įtaiso durelės atidarytos.
ScotApp_1254,PIP DEBETU SUTAUPYTA
ScotApp_1249,PIP BENDRAS
ScotApp_77,Kreditas
ScotApp_67,Grįžti atgal
ScotApp_57,Baigti ir sumokėti
ScotApp_47,Pradžia
ScotApp_37,37unused
ScotApp_1458,NCR SelfServ Checkout ataskaita
ScotApp_17,Kuponas
ScotApp_1752,Svoris ant svarstykliø virðija gebà.
ScotApp_1643,Banknotų grąžinimo į apyvartą įtaiso klaida
ScotApp_97,Pasirinkti pakuotę iš sąrašo
ScotApp_87,87unused
ScotApp_1665,Atrakinkite ir išimkite kasetę.  Pašalinkite įstrigusį banknotą.  Vėl įdėkite kasetę. Uždarykite grąžinimo į apyvartą įrenginį. Tęskite operaciją.
ScotApp_1138,Nepavyko išduoti: %s.
ScotApp_1589,MONETOS BAIGĖSI
ScotApp_1445,Kiekio pokytis
ScotApp_1318,Nuskenuoti vaučerius
ScotApp_1654,Kiekis viršija talpą. Didžiausias reikiamas įkrovimo kiekis yra %d. Kiekis %d įvedamas automatiškai.
ScotApp_796,"Liko mažai monetų arba monetų išdavimo įtaisas neveikia/nustatyta klaida.\n* Įjunkite monetų išdavimo įtaisą, ARBA\n* pripildykite, išjunkite monetų išdavimo įtaisą, tada kasos ekrane palieskite ""Monetų išdavimo įtaisas pripildytas""."
ScotApp_696,696unused
ScotApp_596,"Programa ""NCR SelfServ Checkout AuxDisp"" įkelta."
ScotApp_1391,"Palieskite ""Problemą ištaisiau"".\nJei klaida išlieka, galinį įrenginį išjunkite ir paleiskite iš naujo."
ScotApp_396,Parduotuvės darbuotojo pagalbos prašo:
ScotApp_296,296unused
ScotApp_196,"Įkeliama programa ""Presentation Services""..."
ScotApp_1588,"Visos dėžės turi būti ištuštintos iki tol, kol bus leista pasirinkti mygtuką ""Išėmimas iš priėmimo įtaiso"".  Ištuštinkite visas monetų piltuvų dėžes, tada palieskite ""Išėmimas iš priėmimo įtaiso""."
ScotApp_996,Kainos įvestis
ScotApp_896,Programa WTINFO įkeliama...
ScotApp_574,"Įveskite slaptažodį ir palieskite ""Įvesti""."
ScotApp_1093,Spausdinti paskutinį kvitą
ScotApp_1641,"Vėl pripildykite monetų piltuvą ir tęskite toliau.  Jei monetos neišduodamos, gali būti, jog piltuvas užrakintas.  Prašome kreiptis dėl techninės priežiūros\n\n""SafePay"" klaida: %s"
ScotApp_1781,PADĖKOS GALIOJIMAS BAIGĖSI
ScotApp_562,Kuponus parduoti reikia pagalbos režimu
ScotApp_874,"Įveskite D.L. arba I.D. numerį ir palieskite ""Įvesti""."
ScotApp_1124,1124unused
ScotApp_770,Patvirtinti laikiną sustabdymą
ScotApp_670,Įjungti mokymosi režimą
ScotApp_570,570unused
ScotApp_470,   Apribotas amžius
ScotApp_370,Spausdintuvas atidarytas
ScotApp_270,Patvirtinti kuponus
ScotApp_170,"Nuimkite prekę nuo svarstyklių ir paspauskite mygtuką ""Scale Zero"", esantį ant skenerio."
ScotApp_1640,Piltuvo klaida
ScotApp_870,Įspėjimai:
ScotApp_1733,"Jei norite tęsti, pasirinkite ""Grįžti atgal""."
ScotApp_1553,Didelio grynųjų kiekio būklė:
ScotApp_664,Skenuokite savo prekes arba pasirinkite kalbą.
ScotApp_564,564unused
ScotApp_464,%s               %s
ScotApp_364,364unused
ScotApp_264,264unused
ScotApp_964,"Nuimkite prekę nuo svarstyklių ir palieskite ""Apsaugos išjungimas"" arba palieskite ""Patvirtinti ir atnaujinti svorį""."
ScotApp_864,Patvirtinimas:
ScotApp_1647,(mmddMMMM)
ScotApp_1119,"Atidarius prieigos dureles banknotų išdavimo įtaisas neveiks.\n\nUždarykite ir užfiksuokite išdavimo įtaiso arba seifo dureles.\n\nJei klaida vėl įvyksta, sugeneruokite diagnostikos failą ir kreipkitės dėl techninės priežiūros."
ScotApp_1659,Atspausdinti kvitą
ScotApp_819,Patvirtinkite laikiną sustabdymą panaikintai prekei.
ScotApp_1339,Įkrauti visą sistemą iš naujo
ScotApp_1582,Priemonių būklė
ScotApp_1154,Skenerio klaida
ScotApp_1117,"%s banknotų išdavimo įtaiso kasetė išimta arba neįstatyta iki galo.\n\nĮdėkite arba iš naujo įstatykite %s banknotų kasetę, kad ji užsifiksuotų."
ScotApp_1294,Q - S
ScotApp_1030,Įdėkite savo kuponą.
ScotApp_1658,"Patikrinkite, ar kliento gautos grąžos suma yra teisinga"
ScotApp_1421,Pagalbos režimas
ScotApp_709,709unused
ScotApp_1129,Atitaisomasis veiksmas nebuvo atliktas tinkamai.\n\nPamėginkite dar kartą.
ScotApp_509,509unused
ScotApp_409,Sistemos pranešimas
ScotApp_309,Euro
ScotApp_209,Sustabdyti programą
ScotApp_109,Tęsti?
ScotApp_1338,Gauti diag. failus
ScotApp_909,Neteisingas svoris ant apsauginių svarstyklių.
ScotApp_809,POS pranešimas:
ScotApp_1645,"Patikrinkite, ar banknotų gaubtas gerai pritvirtintas."
ScotApp_1116,"Banknotų išdavimo įtaisas neveikia, jei banknotų atmetimo dėžės nėra arba ji nėra gerai pritvirtinta savo vietoje.\n\nĮdėkite banknotų atmetimo dėžę ir patikrinkite, ar ji visiškai užfiksuota."
ScotApp_1128,%s\n
ScotApp_1452,"Įveskite ID ir palieskite ""Įvesti""."
ScotApp_183,183unused
ScotApp_1450,Užrakinama dėžė
ScotApp_1293,P
