AmountSaved,Gespart
XM_TopOffCashPrintStatusV6HW,Geld Auffüllen oder Status Drucken
XM_TransferOperationPreemptiveV6HW,Geldschein-Übertragung wird ausgeführt... Bitte warten.\n\n SCHEINBOX oder andere Geräte NICHT ENTFERNEN \n bis Transaktion beendet ist.
XM_TransferOperationInstructionV6HW,Übertragung Vollständig.\nAlle Scheine aus der Scheinbox nehmen und Scheinbox auf Null Zurücksetzen.
XM_PendingDispenseV6HW,Warten auf Ausgabe %d-%s
XM_PendingTransferV6HW,Warten auf Übertragung %d-%s
XM_PendingResetV6HW,Warten auf Zurücksetzen %d-%s
XM_ConfirmResetNoteBoxV6HW,Scheinkassetten Anzahl/Wert zurücksetzen\n\nBetrag zum zurücksetzen: %s\nAnzahl zum Zurücksetzen: %d\n\nBetrag nach Zurücksetzen der Scheinkassette: 0 €\nAnzahl nach Zurücksetzen von Scheinkassette: 0
XM_PendingCashRemoveV6HW,"Sicherheitstür öffnen, Scheinkassette und alle Geldscheine herausnehmen.\nLeere Scheinkassette einsetzen.\n\nNach Beendigung, ""OK"" berühren."
XM_LeadThruResetNoteBoxFunctionV6HW,"Reset Funktionen\n•   Scheinkassetten-Anzahl auf null setzen.\n•   Am Ende, ""Änderung übernehmen""."
XM_AllV6HW,Alle
XM_LeadThruTransferNotesToNoteBoxFunctionV6HW,"Übertragungen von Scheinkassette\n•   Um Scheine zu übertragen, ""Änderung übernehmen""\n     berühren.\n•   Zum Abbrechen, ""Änderungen verwerfen"" berühren."
XM_ReplenishNotesFromLoaderToRecyclersPreemptiveV6HW,Ladungsvorgang.... Bitte warten.
XM_SetupLoaderAlertConfirmationV6HW,"Lader-Setup\n\nSicherstellen, dass der Lader den richtigen Wert hat und richtig eingesetzt ist, dann ""OK"" berühren um Scheine zu laden."
XM_SetupLoaderAlertConfirmation1V6HW,"Lader-Setup\n\nGeldscheine in den Lader geben, sicherstellen, dass der Lader eingesetzt ist, dann ""OK"" berühren, um die Geldscheine zu laden."
XM_SetupLoaderConfirmationV6HW,"Lader-Setup\n\n%s Geldschein-Status in Lader:\n\nAnfangs-/Startbetrag: %s\nAnfangs-/Startanzahl: %d\nLader auffüllen mit Betrag: %s\nLader auffüllen mit Anzahl: %d\n\nGeldscheine mit einem höheren Wert, die sich unten im \nLader befinden, werden automatisch geladen und gezählt.\n\nDer Ladeprozess kann mehrere Minuten andauern."
XM_SetupLoaderConfirmation1V6HW,Lader-Setup\n\nAlle Geldscheine im Lader werden automatisch \ngeladen und gezählt.\n\nDer Ladeprozess kann mehrere Minuten andauern.
XM_PendingNotesAddedV6HW,Standardmäßige Geldscheine hinzugefügt %d-%s
XM_ProcessingCashV6HW,Geld wird verarbeitet
XM_ProcessingCashLeadThruV6HW,•   Münzen in Münzannahme geben.\n•   Geldschein in Scheinannahme geben.
XM_SetupLoaderLeadThru1V6HW,"•   Um Geldscheine in den Lader zu geben, ""Änderung übernehmen"" berühren.\n•   Zum Abbrechen, ""Änderungen verwerfen"" berühren."
XM_LeadThruDispenseFunctionV6HW,Ausgabe-Funktionen\n•   Betrag/Anzahl der %s Geldscheine über die Tastatur\n     eingeben.
XM_LeadThruDispenseFunction1V6HW,"Ausgabe-Funktionen\n•   Um Münzen auszugeben, ""Änderung übernehmen"" berühren.\n•   Zum Abbrechen, ""Änderungen verwerfen"" berühren."
XM_ConfirmCoinDispenseAllV6HW,Alle Münzen ausgeben\n\nAuszugebender Betrag: %s\nAuszugebende Anzahl: %d
XM_DispenseOperationPreemptiveV6HW,"Ausgabe der Münzen wird bearbeitet.\n\nWenn die Münzschüssel voll ist, alle Münzen entfernen und ""OK"" berühren."
XM_ConfirmCoinDispenseToBaseLevelV6HW,Münzen bis Basislevel ausgeben\n\nAuszugebender Betrag: %s\nAuszugebende Anzahl: %d
XM_LeadThruResetCoinHopperFunctionV6HW,"Reset Funktionen\n•   Münzbehälter-Zähler auf null zurücksetzen.\n•   Am Ende, ""Änderung übernehmen""."
XM_ResetCoinHopperLeadThruV6HW,"Münzen aus den Münzbehältern entfernen. Ersetzen\nMünzbehälter leeren.\n\nNach Beendigung, ""OK"" berühren."
XM_LoaderCountEnteredExceededCapacityV6HW,Der eingegebene Laderbetrag übersteigt die Kapazität.\nMaximale Anzahl für Lader beträgt %d.
XM_CoinHopperPendingResetV6HW,Warten auf Zurücksetzen %d-%s
XM_ConfirmResetCoinHopperV6HW,Wert der Münzbehälterzähler auf Null zurücksetzen\n
XM_ConfirmResetCoinHopper1V6HW,\n%s\n Betrag zurücksetzen: %s Zähler: %d\n
XM_ConfirmResetCoinHopper2V6HW,\nNach Zurücksetzen:\nMünzen im Behälter: %s Zähler: %d\n\nMünzen in Münzbox: %s Zähler: %d
XM_CannotCompleteTransferV6HW,"  Übertragung kann nicht beendet werden.  In der Scheinkassette ist nicht genug Platz. Bitte entleeren Sie die Scheinkassette, bevor Sie diesen Vorgang durchführen."
XM_CashStatusLeadthruV6HW,"•   Geld Status Drucken.\n•   Münzen in Münzannahme geben.\n•   Geldschein in Scheinannahme geben.\n•   Am Ende, ""Beenden"" berühren."
XM_NonDispensableCoinsV6HW,Nicht entbehrlich Münzen
XM_DispensableCoinsV6HW,Entbehrlich Münzen
XM_ConfirmNoteDispenseV6HW,Scheine ausgeben\n\nAuszugebender Betrag: %s\nAuszugebende Anzahl: %d
XM_DispenseNoteFullPreemptiveV6HW,"Bitte Geldscheine nehmen\n\nGeldschein werden in Bündeln von %d ausgegeben. Ausgabe\nwird angehalten, bis alle Geldscheine genommen wurden."
XM_NoteBoxV6HW,Scheinbox
XM_NoteRecyclerV6HW,Scheinrückführung
XM_DispenseCoinsToBaseLevelV6HW,Münzen bis Basislevel ausgeben
XM_TransferNotesToBaseLevelV6HW,Scheine auf Basisstand zurücksetzen
XM_TransferAllNotesV6HW,Alle Scheine Übertragen
XM_LeadThruNoteBoxTransferV6HW,"Übertragungen von Scheinkassette\n•   Die gewünschte Übertragungs-Funktion auswählen.\n•   Am Ende, ""Änderung übernehmen""."
XM_LeadThruResetFunctionV6HW,"Reset Funktionen\n•   Gewünschte Reset-Funktion auswählen.\n•   Am Ende, ""Änderung übernehmen""."
XM_LeadThruDispenseFunction2V6HW,"Ausgabe-Funktionen\n•   Wert des Geldscheins berühren und Betrag/Zahl eingeben oder\n     Funktion auswählen.\n•   Am Ende, ""Änderung übernehmen""."
XM_SignSigTouchDisplayV6HW,Bitte unterschreiben Sie auf dem Touch Display.
XM_LeadThruCashManagementErrorV6HW,Fehler beim Geldmanagement
XM_LoanPickupUpdateFailureV6HW,Geldmanagement-Update fehlgeschlagen
XM_LoanPickupUpdateNoResponseV6HW,"Keine Antwort von POS, während Status-Update von Geldmanagement"
XM_LoanPickupUpdateFailureInstructionV6HW,"\n•   Für Update, ""Nochmal versuchen"" berühren.\n•   Wenn Fehler erneut auftritt,  Ladenmanagement kontaktieren.\n•   Dieser Fehler kann nicht behoben werden, bis ein erfolgreiches Update ausgeführt wurde."
XM_LoanPickupUpdateNoResponseInstructionV6HW,•   Diesen Fehler sofort beim Ladenmanagement melden.\n•   Update des Geldmanagement-Status möglicherweise nicht durchgeführt.\n•   Dienstprogramm-Bildschirm öffnen.
XM_LoanPickupUpdateNoResponseInstruction1V6HW,"•   ""Diagnose-Protokolldateien generieren"" berühren und dann ""Ganzes System herunterfahren"" berühren.\n•   System wieder hochfahren.\n•   Wenn Fehler erneut auftritt, eine weitere Diagnose-Protokolldatei generieren und Service rufen.\n"
XM_CashManagementErrorRetryButtonV6HW,Nochmals versuchen
XM_DispenseThresholdV6HW,Eingegebene Zahl übersteigt die zur Ausgabe verfügbare\nMenge. Höchstbetrag wurde eingegeben: %d
ScotApp_1742,UNGÜLTIGE TASCHE
ScotApp_71,71unused
ScotApp_61,61unused
ScotApp_51,Coupon nicht lesbar
ScotApp_41,Jugendschutz-Artikel
ScotApp_31,Coupons
ScotApp_1055,1055unused
ScotApp_11,11unused
ScotApp_789,Lesen Sie Ihre Karte. Prüfen Sie Ihren Warenkorb nach zustätzlichen Artikeln.
ScotApp_689,  Umsatz:         %d
ScotApp_589,Device Factory loaded.
ScotApp_389,Kartenbuchung in Arbeit
ScotApp_289,289unused
ScotApp_189,Optionen geladen.
ScotApp_91,91unused
ScotApp_773,Gespart:
ScotApp_673,Bitte geben Sie an Kunden %s Rückgeld aus.
ScotApp_1264,USERDEFINED6
ScotApp_473,Bitte nachfüllen.
ScotApp_373,Bon-Auswurf-Stau
ScotApp_989,989unused
ScotApp_889,%s\nTatsächliches Gewicht(%s): %s\nErwartetes Gewicht(%s): %s
ScotApp_1520,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1042,"BESTÄTIGUNGSZETTEL:\nDIESER ZETTEL WURDE GEDRUCKT, DA\nEIN DOKUMENT NICHT BESTÄTIGT WERDEN KONNTE.  BITTE FÜGEN SIE\nDIESEN ZETTEL DEM ENTSPRECHENDEN DOKUMENT HINZU.\n----------------------------------------\n"
ScotApp_973,973unused
ScotApp_873,D.L. / I.D. Number Entry:
ScotApp_1737,Eigene Tasche
ScotApp_752,Vortags-Übersicht
ScotApp_652,**Artikel nicht in GDB eingetragen.
ScotApp_1054,1054unused
ScotApp_452,Kabelanschluss an der Seite des Münzenannahmemoduls überprüfen.
ScotApp_352,Aktualisieren
ScotApp_252,Münz-Ausgabe Stau\nMünzstau entfernen.
ScotApp_152,152unused
ScotApp_1310,"* Geldscheinannahmemodul herausnehmen\n* und neu hineinschieben, bis es einrastet.\n* Bitte prüfen, ob Geldscheinannahmemodul läuft und die LED grün leuchtet."
ScotApp_661,(Def)
ScotApp_952,Nullgewicht hinzufügen
ScotApp_852,Drei Artikel
ScotApp_1527,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1838,Artkl. prüfen
ScotApp_731,Zusammenfassung
ScotApp_631,Inhaber-Name:
ScotApp_531,\nFehler Unterschrift-Aufzeichnung
ScotApp_331,Artikel entnehmen. Eingabe gesperrt.
ScotApp_231,231unused
ScotApp_131,abgelegte Coupons
ScotApp_1736,"Bitte stellen Sie Ihre Taschen in den Taschenbereich und drücken Sie dann auf ""Fertig""."
ScotApp_1250,PIP KREDITKARTE
ScotApp_831,831unused
ScotApp_300,300unused
ScotApp_1306,%s Wechselgeld zurückgegeben
ScotApp_710,710unused
ScotApp_610,Artikel-Gewicht:
ScotApp_510,Unterscheiben
ScotApp_310,Behälter nahezu leer
ScotApp_210,210unused
ScotApp_110,Gewichtsartikel
ScotApp_1526,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1126,"Fehler: Münzenausgabemodul.\n\n Ein/Aus-Schalter überprüfen, falls vorhanden."
ScotApp_1040,Unterschrift
ScotApp_810,Trainingsmodus
ScotApp_1735,Stellen Sie Ihre Taschen hin
ScotApp_1257,PIP LEBENSMITTEL-MARKEN
ScotApp_704,Eingabe PIN-Tastatur
ScotApp_604,Scannen Sie einen Artikel.
ScotApp_504,504unused
ScotApp_404,404unused
ScotApp_304,Wähle Behälter
ScotApp_204,Kopiert Datei zum Server...
ScotApp_104,104unused
ScotApp_1269,USERDEFINED11
ScotApp_904,Gewichtsgenehmigung
ScotApp_804,804unused
ScotApp_1047,Bestätigung erforderlich. Bitte warten Sie auf Hilfe vom Personal.
ScotApp_1478,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1134,Geldscheinkassette ist voll.
ScotApp_1734,Ich verwende meine eigene Tasche
ScotApp_1256,PIP EBT
ScotApp_1512,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1465,Gerätefehler im Geldrecycler
ScotApp_1721,Transaktion im Trainings-Modus
ScotApp_1890,in Arbeit...
ScotApp_1243,KUNDENKARTE
ScotApp_1544,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_63,Nein
ScotApp_53,53unused
ScotApp_43,43unused
ScotApp_33,Problem gelöst
ScotApp_1255,PIP DEBITKARTE GIROKONTO
ScotApp_13,  %ss @ %s/%s
ScotApp_1511,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_93,Scannen & Einpacken
ScotApp_83,83unused
ScotApp_1464,Kassennummer
ScotApp_1189,EINGEGEBENER ARTIKEL
ScotApp_1720,GE:
ScotApp_1045,Zahlung mit %s
ScotApp_672,*** Schulungs-Vorgang ***
ScotApp_572,Artikel-Nummer eingeben und Eingabe tippen.
ScotApp_472,Brauche Hilfe
ScotApp_372,Seitwartskommun.-Fehler beim Drucker
ScotApp_272,Prüfe benutzte Coupons
ScotApp_172,Scannen Sie nicht gewünschten Artikel oder wählen Sie den Artikel auf dem Bon.
ScotApp_1510,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1701,%s konnte(n) nicht herausgegeben werden.
ScotApp_972,972unused
ScotApp_872,Unterbrechung abbrechen
ScotApp_1188,EINGEGEBENE MENGE
ScotApp_1727,Artikelsuche
ScotApp_751,Heute stündlich
ScotApp_651,Standard
ScotApp_551,551unused
ScotApp_451,Münzannahme Status Stau
ScotApp_351,Status Bargeld / Papier
ScotApp_251,251unused
ScotApp_151,Bitte nehmen Sie Bargeld
ScotApp_951,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s entnommen;LSWND3=%s;
ScotApp_851,Zwei Artikel
ScotApp_730,730unused
ScotApp_630,Kreditkarten #:
ScotApp_430,Geschlossen
ScotApp_330,Assistenz-Modus
ScotApp_230,Bargeldannahme - Status Rückweisung
ScotApp_130,Bitte legen Sie Ihre Coupons ab.
ScotApp_1726,Suche beendet
ScotApp_930,Prüfen Sie die Kommunikation.
ScotApp_830,Ich habe den Artikel oder die Tasche entnommen
ScotApp_193,193unused
ScotApp_1457,Geldkassetten sind fast voll
ScotApp_1283,1283unused
ScotApp_724,724unused
ScotApp_624,Ungültige Toleranz eingeben
ScotApp_424,Betragseingabe
ScotApp_324,Datum nicht erforderlich
ScotApp_224,Behälter des Kartenlesers herausgenommen
ScotApp_124,124unused
ScotApp_1469,"Ausgabe von %s an Kunden fehlgeschlagen. %s\n* Münz- und Scheinausgabe prüfen.\n* ""Status Bargeld / Papier"" drücken, um aufzufüllen oder Stau zu beseitigen."
ScotApp_924,924unused
ScotApp_824,Unterbrechungsbestätigung
ScotApp_576,Anfang Kartenzahlung.
ScotApp_1247,LEBENSMITTELMARKEN
ScotApp_1678,Fehler: Geldscheinrecycler
ScotApp_1503,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1756,"Wählen Sie aus den Suchergebnissen oder drücken Sie ""Zurück""."
ScotApp_1456,Falsche Kassierer-Nummer und falsches Passwort. Bitte versuchen Sie es noch einmal.
ScotApp_1502,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1712,Abbruch verweigert
ScotApp_1468,Geldrecycler ist leer
ScotApp_1246,EBT
ScotApp_75,Fertig
ScotApp_65,65unused
ScotApp_55,Lösche alle
ScotApp_45,45unused
ScotApp_35,Rückgeld:
ScotApp_1258,PIP GESCHENKGUTSCHEIN
ScotApp_15,Artikel:
ScotApp_1711,Abbruch abgelehnt
ScotApp_1683,Nicht behebbarer Fehler.  Bitte schließen Sie die Kasse.  Rufen Sie Gunnebo an und geben Sie die unten angezeigten Fehlerinformationen durch.\n\nSafePay-Fehler: %s
ScotApp_95,Coupons scannen
ScotApp_85,85unused
ScotApp_1058,Zahlungart benötigt Genehmigung
ScotApp_1664,Geldscheinstau
ScotApp_797,"%s konnte(n) nicht herausgegeben werden.\n* Geldscheinausgabemodul und Kassetten auf Geldscheinstau überprüfen.\n* Sicherstellen, dass Kassetten und Ausgabebehälter verriegelt sind.\n* Sicherheitsklappe schließen."
ScotApp_697,697unused
ScotApp_597,NCR SelfServ Checkout Forms loading %d...
ScotApp_497,Zu zahlender Betrag:
ScotApp_297,297unused
ScotApp_197,Presentation Services geladen.
ScotApp_997,Preis eingeben
ScotApp_897,WTINFO geladen
ScotApp_1454,"Passwort eingeben und ""Eingabe"" berühren."
ScotApp_1710,Entnehmen Sie Ihr Rückgeld.
ScotApp_1741,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s erw;LSWND3=%s %s gem
ScotApp_1388,Schulungsprogramm
ScotApp_771,Lösche Zurückstellung
ScotApp_671,Ende Schulungs Modus
ScotApp_571,Menge eingeben und Eingabe tippen.
ScotApp_471,  Sichtprüfung
ScotApp_371,Drucker Austausch Druck-Kopf
ScotApp_271,genehmige Coupons
ScotApp_971,971unused
ScotApp_871,Unterbrechung bestätigen
ScotApp_1840,Laden #:
ScotApp_750,Tages-Übersicht
ScotApp_650,Reguläres Produkt
ScotApp_550,550unused
ScotApp_450,450unused
ScotApp_350,Status Bargeld / Papier
ScotApp_250,250unused
ScotApp_150,Wählen Sie den Rückgeldbetrag
ScotApp_1773,"""Coupon annehmen"" drücken, um den Coupon zu akzeptieren, oder in Assistenzmodus wechseln, um ihn abzulehnen."
ScotApp_950,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s hinzugefügt;LSWND3=%s;
ScotApp_850,Ein Artikel
ScotApp_1405,"Der POS-Server läuft nicht synchron. Benutzen Sie den Hilfemodus, um ihn neu zu synchronisieren."
ScotApp_1513,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1657,Ungültige Abt.
ScotApp_1225,UNBEKANNTER ARTIKEL
ScotApp_644,-------------------------------------------------------------------
ScotApp_544,Passwort nicht größer als %d Stellen.
ScotApp_444,Lebensmittelmarken
ScotApp_344,344unused
ScotApp_244,244unused
ScotApp_144,Unterschrift vergleichen
ScotApp_1590,Stecken gebliebene Münzen in Behälter %s.
ScotApp_1669,Fehler: Münzen-/Geldscheinrecycler
ScotApp_944,Zu viele Abfragen zum Einpacken in Tüte/Karton.  Max = %d.
ScotApp_844,844unused
ScotApp_1729,Suchartikel:
ScotApp_1447,Kassette(n) leeren
ScotApp_1703,(+)
ScotApp_1656,"Abt.-Nr. eingeben und ""Eingabe"" berühren"
ScotApp_915,"Zu viele Abfragen, um das Laufband zu umgehen. Max = %d"
ScotApp_1668,Eventuell klemmt ein Geldschein an der angezeigten Position. Abdeckung des Geldscheinrecyclers öffnen.  Stecken gebliebene Geldscheine herausnehmen. Einheit und Abdeckung des Geldscheinrecyclers schließen. Transaktion fortsetzen.
ScotApp_1542,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1139,Klappe des Geldscheinausgabemoduls ist offen.
ScotApp_1254,PIP DEBITKARTE SPARKONTO
ScotApp_1249,PIP GENERISCH
ScotApp_77,Gutschrift
ScotApp_67,Zurück
ScotApp_57,Abschluss & Zahlung
ScotApp_47,Anfang
ScotApp_37,37unused
ScotApp_1458,NCR SelfServ Checkout-Bericht
ScotApp_17,Coupon
ScotApp_1752,Gewicht auf der Waage überschreitet die Kapazität.
ScotApp_1643,Fehler: Geldscheinrecycler
ScotApp_97,Auswählen Behälter von Liste
ScotApp_87,87unused
ScotApp_1665,Geldscheinkassette aufschließen und herausziehen. Stecken gebliebene Geldscheine herausnehmen. Kassette in die Einheit schieben. Recyclereinheit schließen. Transaktion fortsetzen.
ScotApp_1138,%s konnte(n) nicht herausgegeben werden.
ScotApp_1589,MÜNZEN SIND ALLE
ScotApp_1445,Änderung der Stückzahl
ScotApp_1318,Coupons scannen
ScotApp_1654,Anzahl übersteigt Kapazität. Erforderliche Höchstzahl ist %d. Anzahl %d automatisch eingegeben.
ScotApp_796,"Keine Münzen oder Münzenausgabemodul defekt/ausgeschaltet.\n* Münzenausgabemodul einschalten ODER\n* Auffüllen, Münzenausgabemodul aus-/einschalten, ""Münzen nachgefüllt"" drücken (Kassenstatusanzeige)."
ScotApp_696,696unused
ScotApp_596,NCR SelfServ Checkout AuxDisp loaded.
ScotApp_1391,"""Problem gelöst"" berühren.\nSollte der Fehler immer noch auftreten, Kasse herunterfahren und neu starten. "
ScotApp_396,Aufsicht wurde gerufen für:
ScotApp_296,296unused
ScotApp_196,Presentation Services werden geladen...
ScotApp_1588,"Jeder Behälter muss erst geleert werden, bevor ""Ausgabemodul leeren"" gewählt werden kann.  Erst jeden Münzenschachtbehälter leeren, dann ""Ausgabemodul leeren"" berühren."
ScotApp_996,Preiseingabe
ScotApp_896,WTINFO wird geladen...
ScotApp_574,Passwort und Eingabe tippen.
ScotApp_1093,Letzten Bon drucken
ScotApp_1641,"Münzen-Hopper auffüllen und fortfahren. Wenn keine Münzen ausgegeben werden, ist der Hopper möglicherweise gesperrt. Wartungsdienst anrufen.\n\nSafePay-Fehler: %s"
ScotApp_1781,VIELEN DANK ABGELAUFEN
ScotApp_562,Coupons können nur im Assistenz-Modus verkauft werden.
ScotApp_874,"Key in the D.L. or I.D. # and press ""Enter""."
ScotApp_1124,1124unused
ScotApp_770,Bestätige Zurückstellung
ScotApp_670,Anfang Schulungs Modus
ScotApp_570,570unused
ScotApp_470,  Alter limitiert
ScotApp_370,Drucker geöffnet
ScotApp_270,genehmige Coupons
ScotApp_170,Ladenpersonal rufen
ScotApp_1640,Magazinfehler
ScotApp_870,Warnhinweise:
ScotApp_1733,"Wählen Sie ""Zurück"", um fortzufahren."
ScotApp_1553,Geldkassetten sind fast voll - Status:
ScotApp_664,Scannen Sie Ihre Artikel oder wählen Sie eine Sprache.
ScotApp_564,564unused
ScotApp_464,%s               %s
ScotApp_364,364unused
ScotApp_264,264unused
ScotApp_964,"Artikel entnehmen und ""Sicherheitsproblem beheben"", oder ""Genehmigen & Gewicht aktualisieren"" berühren."
ScotApp_864,BIC Approval:
ScotApp_1647,(MMTTJJJJ)
ScotApp_1119,"Geldscheinausgabemodul funktioniert nicht bei offener Zugangsklappe.\n\nModul- oder Sicherungsklappe schließen und verriegeln.\n\nWenn der Fehler erneut auftritt, Service rufen."
ScotApp_1659,Kassenbon drucken
ScotApp_819,Bitte bestätigen Sie die Unterbrechung für den stornierten Artikel.
ScotApp_1339,System neu starten
ScotApp_1582,Status Systemmedien
ScotApp_1154,Scannerfehler
ScotApp_1117,"%s-Scheinausgabekassette entnommen, nicht vollständig eingesetzt oder in falscher Position.\n\n%s-Scheinkassette neu einsetzen, bis Verriegelung einrastet."
ScotApp_1294,Q - S
ScotApp_1030,Stecken Sie Ihren Coupon hinein.
ScotApp_1658,"Bitte prüfen Sie, ob der Kunde das richtige Wechselgeld erhalten hat."
ScotApp_1421,Hilfemodus
ScotApp_709,709unused
ScotApp_1129,Korrekturaktion wurde falsch durchgeführt.\n\nBitte noch einmal versuchen.
ScotApp_509,509unused
ScotApp_409,System-Nachricht
ScotApp_309,Euro
ScotApp_209,Stop Program
ScotApp_109,Weitermachen?
ScotApp_1338,Diagnosedateien abrufen
ScotApp_909,Falsches Gewicht auf Sicherheitswaage.
ScotApp_809,POS-Meldung:
ScotApp_1645,"Sicherstellen, dass die Geldscheinrecyclerabdeckung fest verriegelt ist."
ScotApp_1116,"Geldscheinausgabemodul funktioniert nicht, wenn der Behälter für abgelehnte Geldscheine fehlt oder nicht richtig eingerastet ist.\n\nBehälter für abgelehnte Geldscheine einlegen und sicherstellen, dass er richtig eingerastet ist."
ScotApp_1128,%s\n
ScotApp_1452,"ID eingeben und ""Eingabe"" berühren."
ScotApp_183,183unused
ScotApp_1450,Sammelschließfach
ScotApp_1293,P
ScotApp_1644,Geldscheinrecyclerabdeckung offen
ScotApp_1115,Berichtsfunktion OFFLINE
ScotApp_795,Für besseren Service werden die gekauften Artikel angezeigt.
ScotApp_695,695unused
ScotApp_595,NCR SelfServ Checkout AuxDisp loading...
ScotApp_395,Artikel nicht freigegeben
ScotApp_295,295unused
ScotApp_195,Device Manager geladen.
ScotApp_566,566unused
ScotApp_1324,Gewicht wird nach der\nTransaktion immer noch angezeigt.
ScotApp_995,"Bitte zur Kasse gehen und Kasse im ""Geschäftsmodus"" öffnen."
ScotApp_895,DBM wird beendet...
ScotApp_1102,Nächsten
ScotApp_1383,(Exc)
ScotApp_1402, Jumperanschluss des Behälters für abgelehnte Geldscheine ist ausgeschaltet
ScotApp_1292,N - O
ScotApp_1114,Ende des Berichtszeitraums: Aktualisierung war erfolgreich
ScotApp_1222,AUSSER BETRIEB
ScotApp_1101,%s\t%s
ScotApp_1159,PIN-Tastatur / EFT reagiert nicht.
ScotApp_1100,%s
ScotApp_1539,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1649,(TTMMJJJJ)
ScotApp_1317,Zahlung per Coupon(s)
ScotApp_1883,"Taschenwaage und Einkaufswagen auf zusätzliche Artikel überprüfen und ""Beheben"" berühren."
ScotApp_729,729unused
ScotApp_629,Summe Kredit:
ScotApp_429,Rot
ScotApp_329,  %ss @ %d %s/%s
ScotApp_229,229unused
ScotApp_129,Prüfe ob stornierte Artikel separiert wurden.
ScotApp_1107,%s\t%s\tMenge %s @ %s/%s\t%s
ScotApp_1538,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_929,WLDB-Kommunikationsfehler.
ScotApp_829,829unused
ScotApp_1316,* Druckerabdeckung öffnen und gezeigten Druckerbereich auf Papierstau überprüfen.\n *Abdeckung wieder schließen und Papierrolle einlegen.
ScotApp_81,Weiter
ScotApp_1882,Smart-Assist Warnung - Artikel nicht gescannt.
ScotApp_1673,Münzenstau
ScotApp_1135,Geldscheinausgabefehler
ScotApp_1705,Kommunikationsfehler
ScotApp_1894,Set item aside and continue with your purchase.
ScotApp_787,"Eingegebenes Geburtsdatum: %s, %d Jahre alt"
ScotApp_1398, Aufs\Schul
ScotApp_1106,%s\t%s\tMenge %s @ %s/für alle\t%s
ScotApp_1525,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1493,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1490,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1315,* Druckerabdeckung öffnen und Drucker auf Papierstau überprüfen.\n *Abdeckung wieder schließen und Papierrolle einlegen.
ScotApp_1881,"Taschenwaage überprüfen, überflüssige Objekte entfernen und ""Beheben"" berühren."
ScotApp_1173,STORNIERTER ARTIKEL GENEHMIGT
ScotApp_1524,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_505,Falsche Nummer
ScotApp_1302,Schließen
ScotApp_905, (Mehr Info über Bon...)
ScotApp_1164,Drucker ist nicht richtig positioniert.
ScotApp_1492,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1314,* Druckerabdeckung öffnen und Papier entfernen.\n* Abdeckung schließen.\n* Neue Papierrolle einlegen.\n* Papier oben von der Rolle in den Drucker einziehen.
ScotApp_1817,"* Nehmen Sie die Münzrückführung heraus.\n* Öffnen Sie die runden Seitentüren und entfernen Sie alle Münzen von den Bändern.\n* Sicherstellen, dass alle Türen richtig geschlossen und verschlossen sind.\n* Münzen dem Kunden zurückgeben. Wenn Fehler erneut auftritt, Service rufen.	"
ScotApp_1442,"Geldscheinkassette(n) bestücken oder ""Kassette(n) leeren""."
ScotApp_1880,Unerwartetes Objekt auf Taschenwaage
ScotApp_1172,UNTERBRECHUNG BESTÄTIGT
ScotApp_1415,1415unused
ScotApp_788,Zulässiges Alter: %s
ScotApp_688,688unused
ScotApp_588,Device Factory loading...
ScotApp_488,Legen Sie den Artikel auf die Waage: %s
ScotApp_388,in Arbeit...
