AmountSaved,Kazanılan Tutar
ScotApp_1310,"* Dönüştürücüyü yuvasından çıkarın. \n* Tüm kapakların kapandığından emin olun. Sarı kol yukarıda yerine yerleştirilmiş ve anahtar kilidi  ‘kilitli’  konumda olsun. \n* Dönüştürücüyü yuvasına geri itin. \n* ""Sorunu çözdüm"" a basın. Hata tekrar ederse servisi arayın."
ScotApp_661,(Tan)
ScotApp_952,Sıfır Ağırlık Ekle
ScotApp_852,Üç Ürün
ScotApp_1527,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1838,Ürünü Onayla
ScotApp_731,Özet
ScotApp_631,Kart Sahibinin Adı:
ScotApp_531,\nElektronik İmza Alma Aygıtı Hatası
ScotApp_331,Ürünleri paket tartısından kaldırın. Tuş takımı devre dışı.
ScotApp_231,"*Dönüştürücüyü kabinden çıkarın. \n* Kapakları sırayla açın. \n* Tüm alanlarda nakit sıkışması olup olmadığını kontrol edin ve varsa çıkartın. \n* 2 veya 3. bölümlerde banknot varsa müşteriye iade edin. 1. bölümde banknot varsa Nakit Ofisi için saklayın. \n* Kapakları ters sırada kapatın. \n* Dönüştürücüyü kabine geri itin. \n* ""Sorunu çözdüm"" a basın. Hata tekrar ederse Nakit Ofisini arayın."
ScotApp_131,Kuponları Okut
ScotApp_1736,"Lütfen paketlerinizi paketleme alanına yerleştirin ve ""Bitti"" düğmesine basın."
ScotApp_1250,PIP KREDİSİ
ScotApp_831,831unused
ScotApp_300,300unused
ScotApp_1306,%s Para üstü verildi
ScotApp_710,710unused
ScotApp_610,Ürün Ağırlığı:
ScotApp_510,Tekrar İmzala
ScotApp_310,kutunun seviyesi düşük
ScotApp_210,210unused
ScotApp_110,Ürünü Tart
ScotApp_1526,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1126,Madeni para vericisi hatası.\n\nVericide varsa Açma/Kapama düğmesini kontrol edin.
ScotApp_1040,İmza
ScotApp_810, Eğitim Modu
ScotApp_1735,Paketlerinizi Yerleştirin
ScotApp_1257,PIP YEMEK FİŞLERİ
ScotApp_704,PinPad Girişi
ScotApp_604,Bir ürün tara.
ScotApp_504,504unused
ScotApp_404,404unused
ScotApp_304,Ambalaj seç
ScotApp_204,Dosya sunucuya kopyalanıyor...
ScotApp_104,104unused
ScotApp_1269,USERDEFINED11
ScotApp_904,Ürün ağırlık onayı
ScotApp_804,804unused
ScotApp_1047,Kabul Gerekiyor. Lütfen operatör yardımı için bekleyin.
ScotApp_1478,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1134,Fatura kaseti dolu.
ScotApp_1734,Kendi paketimi getirdim
ScotApp_1256,PIP EBT
ScotApp_1512,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1465,Nakit Geri Dönüştürücü Aygıtı Hatası
ScotApp_1721,Eğitim Modunda İşlem
ScotApp_1890,İşlem gerçekleştiriliyor...
ScotApp_1243,MÜŞTERİ KARTI
ScotApp_1544,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_63,Hayır
ScotApp_53,53unused
ScotApp_43,43unused
ScotApp_33,Sorunu çözdüm
ScotApp_1255,PIP BORCU KONTROLÜ
ScotApp_13,  %ss @ %s/%s
ScotApp_1511,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_93,Tara ve Paketle
ScotApp_83,83unused
ScotApp_1464,Terminal Numarası
ScotApp_1189,GİRİLEN ÜRÜN
ScotApp_1720,KA:
ScotApp_1045,%s ile öde
ScotApp_672,*** EĞİTİM MODU İŞLEMİ ***
ScotApp_572,"Ürün kodunu tuşlayın ve ""Giriş"" e basın."
ScotApp_472,Yardım Gerekiyor
ScotApp_372,Yazıcı yan kısım bağlantı hatası
ScotApp_272,Kullanılmış kuponları kontrol et
ScotApp_172,İstenmeyen ürünü taratın veya fiş üzerinde ürünü seçin.
ScotApp_1510,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1701,%s verme hatası.
ScotApp_972,972unused
ScotApp_872,Askıya Almayı İptal Et
ScotApp_1188,GİRİLEN MİKTAR
ScotApp_1727,Ürün Arama
ScotApp_751,Bugün Saatlik
ScotApp_651,Varsayılan
ScotApp_551,551unused
ScotApp_451,Madeni para alıcısı durumu sıkışma
ScotApp_351,Nakit / Kağıt Durumu
ScotApp_251,251unused
ScotApp_151,Lütfen Nakdi Alın
ScotApp_951,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s kaldırıldı;LSWND3=%s;
ScotApp_851,İki Ürün
ScotApp_730,730unused
ScotApp_630,Kredi Kartı #:
ScotApp_430,Servis Dışı
ScotApp_330,Yardım Modu
ScotApp_230,Nakit alıcısı açık konumda
ScotApp_130,Lütfen kuponlarınızı okutun.
ScotApp_1726,Arama Bitti
ScotApp_930,Bağlantıyı kontrol edin.
ScotApp_830,Ürün Kaldırıldı
ScotApp_193,193unused
ScotApp_1457,Para seviyesi yüksek
ScotApp_1283,1283unused
ScotApp_724,724unused
ScotApp_624,Geçersiz Tolerans Girildi
ScotApp_424,Tutar Girin
ScotApp_324,Tarihe gerek yok
ScotApp_224,Kart okuyucu toplama kutusu kaldırıldı
ScotApp_124,124unused
ScotApp_1469,"Müşteriye %s verme başarısız. %s\n* Bozuk ve kağıt para vericilerini kontrol edin.\n* Tekrar dolum yapmak veya sıkışmayı gidermek için ""Nakit / Kağıt Durumu"" na basın. "
ScotApp_924,924unused
ScotApp_824,Onayı Askıya Al
ScotApp_576,Karttan Ödemeyi Başlat.
ScotApp_1247,YEMEK FİŞLERİ
ScotApp_1678,Kağıt Para Dönüştürücü Hatası
ScotApp_1503,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1756,"Arama sonuçlarından seç veya ""Geri Git"""
ScotApp_1456,Hatalı Kasiyer numarası ve şifre.\nLütfen tekrar deneyin.
ScotApp_1502,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1712,Askıya Alma Reddedildi
ScotApp_1468,Nakit Geri Dönüştürücü Durumu Boş
ScotApp_1246,EBT
ScotApp_75,Bitti
ScotApp_65,65unused
ScotApp_55,Tümünü İptal Et
ScotApp_45,45unused
ScotApp_35,Kalan Para Üstü:
ScotApp_1258,PIP HEDİYE KARTI
ScotApp_15,Ürün Kodu:
ScotApp_1711,Askıya Alma Reddedildi
ScotApp_1683,Unrecoverable Error.  Please close the Lane.  Call Gunnebo and provide the error information shown below.\n\nSafePay Error: %s
ScotApp_95,Kuponları Tara
ScotApp_85,85unused
ScotApp_1058,Yardımlı Ödeme
ScotApp_1664,Kağıt Para Sıkışması
ScotApp_797,%s verme başarısız.\n* Kasetlerdeki ve fatura vericisindeki faturalarda sıkışma olup olmadığını kontrol edin.\n* Fatura kasetleri ve temizleme kutusunun takılı olduğundan emin olun.\n* Güvenlik kapısını kapatın.
ScotApp_697,697unused
ScotApp_597,NCR SelfServ Checkout Formları yükleniyor %d...
ScotApp_497,Ödenecek Tutar:
ScotApp_297,297unused
ScotApp_197,Sunum Hizmetleri yüklendi.
ScotApp_997,Fiyat Gir
ScotApp_897,AĞRBİLG yüklendi.
ScotApp_1454,"Şifrenizi girin ve ""Giriş"" e basın."
ScotApp_1710,İade Edilen Paranızı Alın
ScotApp_1741,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s Bekl;LSWND3=%s %s Gözl
ScotApp_1388,Eğitim Programı
ScotApp_771,Askıya Almayı İptal Et
ScotApp_671,Eğitim Modundan Çık
ScotApp_571,"Miktarı tuşlayın ve ""Giriş"" e basın."
ScotApp_471,   Görsel Doğrulama
ScotApp_371,Yazıcı başlığı değiştirin
ScotApp_271,Kullanılmış Kuponları Onayla
ScotApp_971,971unused
ScotApp_871,Askıya Almayı Onayla
ScotApp_1840,Mağaza No:
ScotApp_750,Bugünün Özeti
ScotApp_650,Normal Ürün
ScotApp_550,550unused
ScotApp_450,450unused
ScotApp_350,Nakit / Kağıt Durumu
ScotApp_250,250unused
ScotApp_150,Para Üstü Tutarını Seç
ScotApp_1773,"Kuponu kabul etmek için ""Kuponu Onayla""ya basın, onaylamayacaksanız Yardım Modu’na geçin."
ScotApp_950,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s eklendi;LSWND3=%s;
ScotApp_850,Bir Ürün
ScotApp_1405,"POS senkronsuz, tekrar senkronize etmek için lütfen Yardım Moduna geçin."
ScotApp_1513,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1657,Geçersiz Dprtmn
ScotApp_1225,BİLİNMEYEN ÜRÜN
ScotApp_644,-------------------------------------------------------------------
ScotApp_544,Şifre %d rakamdan büyük olamaz.
ScotApp_444,Yemek Fişleri
ScotApp_344,344unused
ScotApp_244,244unused
ScotApp_144,İmzayı Karşılaştır
ScotApp_1590,KUTU %s MADENI PARA SIKIŞMIŞ
ScotApp_1669,Bozuk/Kağıt Para Dönüştürücü Hatası
ScotApp_944,Çok faza Poşet/Kutu Talebi Maks=%d
ScotApp_844,844unused
ScotApp_1729,Ürünleri Ara:
ScotApp_1447,Nakdi Çıkar
ScotApp_1703,(+)
ScotApp_1656,"Dprtmn kodunu girin ve ""Giriş""e basın"
ScotApp_915,Bandı atlamak için aşırı talep. Maks = %d
ScotApp_1668,A note jam may be present in the location shown. Open top cover to note recycler. Remove any jammed notes that may be present.  Close unit and replace top cover to note recycler.  Continue transaction.
ScotApp_1542,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1139,Fatura vericisinin kapısı açık.
ScotApp_1254,PIP BORCU İNDİRİMLERİ
ScotApp_1249,PIP JENERİĞİ
ScotApp_77,Kredi
ScotApp_67,Geri Git
ScotApp_57,Bitir ve Öde
ScotApp_47,Başlat
ScotApp_37,37unused
ScotApp_1458,NCR SelfServ Checkout Raporu
ScotApp_17,Kupon
ScotApp_1752,Tartıdaki ağırlık kapasitenin üstünde.
ScotApp_1643,Kağıt Para Dönüştürücü Hatası
ScotApp_97,Listeden Ambalaj Seç
ScotApp_87,87unused
ScotApp_1665,Unlock and remove cassette.  Remove jammed note.  Re-insert cassette. Close recycler unit. Continue transaction.
ScotApp_1138,%s verme hatası.
ScotApp_1589,MADENI PARALAR DIŞARIDA
ScotApp_1445,Bozukluk Sayısı
ScotApp_1318,Makbuzları Tarat
ScotApp_1654,Sayı kapasiteyi aşıyor. Gereken yük sayısı %d. %d sayısı otomatik olarak girildi. 
ScotApp_796,"Düşük madeni para seviyesi veya madeni para vericisi hatası/kapalı.\n* Madeni para vericisini açın, VEYA\n* Madeni para vericisini yeniden doldurun, kapatın ve açın, ardından ""Madeni Para Vericisi Dolduruldu""ya basın - Kasa Durumu Ekranı."
ScotApp_696,696unused
ScotApp_596,NCR SelfServ Checkout AuxDisp yüklendi.
ScotApp_1391,"""Sorunu çözdüm"" e basın.\nHata devam ederse terminali kapatıp yeniden başlatın."
ScotApp_396,...için mağaza yardımı gerekliydi
ScotApp_296,296unused
ScotApp_196,Sunum Hizmetleri yükleniyor...
ScotApp_1588,"""Verici Toplama"" düğmesinin seçilebilmesi için her kutu boşaltılmış olmalıdır. Tüm madeni para haznelerini boşaltın ve ""Verici Toplama"" ya basın."
ScotApp_996,Fiyat Girişi
ScotApp_896,AĞRBİLG yükleniyor...
ScotApp_574,"Şifrenizi girin ve ""Giriş"" e basın."
ScotApp_1093,Son Fişi Yazdır
ScotApp_1641,Bozuk para haznesini tekrar doldurun ve devam edin. Bozuk para gelmiyorsa Hazne kilitlenmiş olabilir. Servisi arayın.\n\nSafePay Error: %s
ScotApp_1781,TEŞEKKÜRLER ZAMAN AŞIMI
ScotApp_562,Kuponların Yardım Modunda satılmaları gerekiyor
ScotApp_874,"D.L. veya Kimlik Numarasını girin ve ""Giriş"" e basın."
ScotApp_1124,1124unused
ScotApp_770,Askıya Almayı Onayla
ScotApp_670,Eğitim Moduna Gir
ScotApp_570,570unused
ScotApp_470,   Yaş Sınırlamalı
ScotApp_370,Yazıcı yazıcı açık
ScotApp_270,Kuponları Onayla
ScotApp_170,"Ürünü tartıdan kaldırın ve tarayıcıda ""Tartıyı Sıfırla"" tuşuna basın."
ScotApp_1640,Hazne Hatası
ScotApp_870,Uyarılar:
ScotApp_1733,"Devam etmek için ""Geri Git"" e basın"
ScotApp_1553,Para seviyesi Yüksek Durumu:
ScotApp_664,Ürünlerinizi taratın veya dil seçimi yapın.
ScotApp_564,564unused
ScotApp_464,%s               %s
ScotApp_364,364unused
ScotApp_264,264unused
ScotApp_964,"Ürünü kaldırın ve ""Güvenliği Kaldır"" veya ""Ağırlığı Onayla ve Güncelle"" ye basın."
ScotApp_864,Onay:
ScotApp_1647,(aaggyyyy)
ScotApp_1119,Erişim kapısı açık durumdayken fatura vericisi çalışmayacaktır.\n\nVerici kapısını veya güvenlik kapısını kapatın ve mandallayın.\n\nHata tekrarlanırsa tanı dosyası oluşturun ve servisi arayın.
ScotApp_1659,Fişi Yazdır
ScotApp_819,İptal edilen ürün için askıya almayı onaylayın.
ScotApp_1339,Tüm Sistemi Yeniden Yükle
ScotApp_1582,Malzeme Durumu
ScotApp_1154,Tarayıcı Hatası
ScotApp_1117,%s fatura vericisi kaseti çıkmış veya tam olarak yerleştirilmemiş.\n\n %s fatura kasetini yerine tam oturana kadar yerleştirin veya yerine yeniden oturtun.
ScotApp_1294,Q - S
ScotApp_1030,Kuponunuzu yerleştirin.
ScotApp_1658,Müşterinin para üstünü doğru olarak aldığını onaylayın.
ScotApp_1421,Yardım Modu
ScotApp_709,709unused
ScotApp_1129,Düzeltme eylemi uygun şekilde yapılmadı.\n\nLütfen tekrar deneyin.
ScotApp_509,509unused
ScotApp_409,Sistem mesajı
ScotApp_309,dolar
ScotApp_209,Programı Durdur
ScotApp_109,Devam edilsin mi?
ScotApp_1338,Tanı Dosyalarını Al
ScotApp_909,Güvenlik tartısında hatalı ağırlık.
ScotApp_809,POS Mesajı:
ScotApp_1645,Check that the note cover is securely fastened.
ScotApp_1116,Fatura reddetme kutusu mevcut değilse veya yerine tam olarak oturmamışsa fatura vericisi çalışmayacaktır.\n\nFatura reddetme kutusunu yerleştirin ve yerine tam olarak oturduğundan emin olun.
ScotApp_1128,%s\n
ScotApp_1452,"Kullanıcı Kimliği girin ve ""Giriş"" e basın."
ScotApp_183,183unused
ScotApp_1450,Kilit Kutusu
ScotApp_1293,P
ScotApp_1644,Kağıt Para Dönüştürücü Kapağı Kapalı
ScotApp_1115,ÇEVRİMDIŞI BİLDİRİYOR
ScotApp_795,Satın alma işlemleri daha iyi hizmet için görüntülenmişlerdir.
ScotApp_695,695unused
ScotApp_595,NCR SelfServ Checkout AuxDisp yükleniyor...
ScotApp_395,İzne Tabi Ürünlere İzin Verilmiyor
ScotApp_295,295unused
ScotApp_195,Aygıt Yöneticisi yüklendi.
ScotApp_566,566unused
ScotApp_1324,İşlem sonrasında \ntartıda ağırlık kaldı.
ScotApp_995,Kasaya gidin ve kasayı açmak için Mağaza Modunda oturum açın.
ScotApp_895,DBM sonlandırılıyor...
ScotApp_1102,Sonraki
ScotApp_1383,(Özel)
ScotApp_1402,FATURA REDDETME KUTUSU FİŞİ TAKILI DEĞİL.
ScotApp_1292,N - O
ScotApp_1114,"""Rapor Periyodunu Sonlandır"" güncelleme başarılı"
ScotApp_1222,HİZMET DIŞI
ScotApp_1101,%s\t%s
ScotApp_1159,PinPad/ EFT cevap vermiyor.
ScotApp_1100,%s
ScotApp_1539,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1649,(ggaayyyy)
ScotApp_1317,Makbuz Ödeme
ScotApp_1883,"Poşette ve alışveriş arabasında fazla ürün olup olmadığını kontrol edin ve ""Güvenliği Onayla"" ya basın."
ScotApp_729,729unused
ScotApp_629,Toplam Ücret:
ScotApp_429,Kırmızı
ScotApp_329,  %ss @ %d %s/%s
ScotApp_229,229unused
ScotApp_129,İptal edilip çıkarılan ürünleri doğrulayın.
ScotApp_1107,%s\t%s\tMikt %s @ %s/%s\t%s
ScotApp_1538,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_929,WLDB doğru şekilde iletişim kuramıyor.
ScotApp_829,829unused
ScotApp_1316,* Yazıcı kapağını açın ve gösterilen bölgede kağıt  sıkışması olup olmadığını kontrol edin.\n* Yazıcı kapağını kapatın ve tekrar kağıt yerleştirin.
ScotApp_81,Devam Et
ScotApp_1882,Smart Assist uyarısı - ürün taranmadı.
ScotApp_1673,Bozuk Para Sıkışması
ScotApp_1135,Fatura Vericisi Hatası
ScotApp_1705,İletişim hatası.
ScotApp_1894,Set item aside and continue with your purchase.
ScotApp_787,"Girilen Doğum Tarihi: %s, %d yaşında"
ScotApp_1398, Çalışm./Eğt.
ScotApp_1106,%s\t%s\tMikt %s @ %s/her biri\t%s
ScotApp_1525,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1493,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1490,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1315,* Yazıcı kapağını açın ve kağıt sıkışması olup olmadığını kontrol edin.\n* Yazıcı kapağını kapatın ve tekrar kağıt yerleştirin.
ScotApp_1881,"Poşet Tartısını kontrol edin, fazla ürünleri çıkarın ve ""Güvenliği Onayla"" ya basın."
ScotApp_1173,ONAYLANMIŞ İPTAL EDİLEN ÜRÜN
ScotApp_1524,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_505,Hatalı Sayı
ScotApp_1302,Kapat
ScotApp_905, (Daha fazla bilgi için makbuza bakın...)
ScotApp_1164,Yazıcı doğru şekilde konumlandırılmamış.
ScotApp_1492,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1314,* Yazıcı kapağını açın ve kağıt parçası varsa temizleyin.\n* Kapağı kapatın.\n* Yeni kağıt rulosu yerleştirin.\n* Kağıdı yazıcıya rulonun tepesinden yerleştirin.
ScotApp_1817,"* Madeni para geri dönüstürücüsünü çikarin.\n* Yuvarlak kenar kapilarini açin ve bantlarin üzerindeki madeni paralari temizleyin.\n* Bütün kapilarin uygun sekilde kapatilip kilitlendiginden emin olun.\n* Madeni Paralari müsteriye iade edin. Eğer hata tekrar ederse, servisi arayın."
ScotApp_1442,"Yeniden yüklemek için Nakit Yerleştirin veya boşaltmak için ""Nakdi Çıkar"" a basın."
ScotApp_1880,Poşet Tartısında olmaması gereken ürün.
ScotApp_1172,ONAYLANMIŞ ASKIYA ALMA
ScotApp_1415,1415unused
ScotApp_788,Geçerli Doğum Tarihi:%s
ScotApp_688,688unused
ScotApp_588,Aygıt Merkezi yükleniyor...
ScotApp_488,Ürünü Tartıya Koyun: %s
ScotApp_388,İşlem gerçekleştiriliyor...
ScotApp_288,"""Sorunu çözdüm"" e basın.\nHata sürüyorsa terminali yeniden yükleyin:\nYönetici kilidini 'S' e getirin -VEYA- Yönetici tuşuna basın.\n""Tüm Sistemi Kapat"" ı seçin.\nEkran kararınca terminali UPS veya güç kaynağından kapatın.\nTerminali açın. Hata tekrarlanırsa tanı dosyası oluşturun ve servisi arayın."
ScotApp_188,Seçenekler yükleniyor...
ScotApp_988,Bantta beklenmeyen ürün. Ürünü kaldırın.
ScotApp_888,Paketleme alanında beklenmeyen ürün. Ürünü kaldırın.
ScotApp_1887,İşlemi gözden geçirin
ScotApp_1171,BEKLENMEYEN ARTIŞ
ScotApp_1199,GİRİLEN SON KULLANMA TARİHİ
ScotApp_1300,İşlemi Başlat
ScotApp_1326,Kuponu Yerleştirme Süresi Doldu
ScotApp_1291,K - M
ScotApp_1517,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1886,Fazla ürün olup olmadığını kontrol edin.
ScotApp_749,749unused
ScotApp_1529,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_549,549unused
ScotApp_449,Madeni para alıcısı durumu reddedildi.
ScotApp_349,349unused
ScotApp_249,249unused
ScotApp_149,PIN Numarasını Gir
ScotApp_1307,Fiş yazıdırılıyor
ScotApp_1738,Görevli Paketlerinizi Onaylayacak
ScotApp_949,949unused
ScotApp_717,717unused
ScotApp_617,Ağırlık karşılaştırması ayarlarını seçin. (Ürün ağırlığını mevcut girişlerle karşılaştır.)
ScotApp_517,Diğer Ödeme talep edildi.
ScotApp_417,Hard Totals yüklendi.
ScotApp_317,317unused
ScotApp_217,217unused
ScotApp_117,Ürünleri Kenara Koy
ScotApp_1516,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1885,Ürün taranmadı
ScotApp_917,Ürünlerin paketleme alanından kaldırılması için aşırı talep. Maks = %d.
ScotApp_817,Yardım Gerekiyor
ScotApp_1177,ÜRÜN PAKETLEME SÜRESİ DOLDU
ScotApp_1528,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1175,PAKETLEMEYİN PAKET EŞİĞİ AŞILDI
ScotApp_1109,%s\t%s\t%s @ %s/%s\t%s
ScotApp_1453,Kasiyer Şifresi
ScotApp_1693,Madeni Para Değişikliği
ScotApp_1515,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_7,7unused
ScotApp_6,6unused
ScotApp_5,5unused
ScotApp_4,4unused
ScotApp_3,3unused
ScotApp_2,Kg
ScotApp_1,lb
ScotApp_1176,YENİ ÜRÜN GİRİLDİ
ScotApp_1724,EĞİTİM MODU İŞLEMİ
ScotApp_1019,Bant Üzerine Yerleştirin.
ScotApp_9,9unused
ScotApp_8,8unused
ScotApp_609,Ağırlık Toleransını Düzenle
ScotApp_1305,%s yerleştirildi
ScotApp_1893,Geçersiz Barkod
ScotApp_1409,Yardım Menüsü
ScotApp_1692,Supervisor Login
ScotApp_1163,"""Sorunu çözdüm"" e basın.\n\nHata düzelmiyorsa terminali yeniden yükleyin:\nYönetici tuş kilidini ‘S’e getirin -VEYA Yönetici düğmesine basın.\n""Tüm Sistemi Kapat""ı seçin.\nEkran karardıktan sonra terminali UPS’ten veya güç kaynağından kapatın.\nTerminali açın. Eğer hata tekrar ederse, servisi arayın."
ScotApp_1514,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1372,Madeni Para Alıcısı
ScotApp_1048,1048unused
ScotApp_967,967unused
ScotApp_1304,Müşteri kartı kabul edildi.
ScotApp_1162,Aygıt çevrimdışı.
ScotApp_1833,Exc_TB
ScotApp_1818,* Sikisikligi gidermek için hazne tablasini açin ve çikarin (I). \n* Sikisan bozuk paralari uygun hazne kutularina yerlestirin. Hazne tablasini tekrar yerine yerlestirerek kilitleyin. \n* Bozuk para dönüstürücüsünü çekin. Kapagini açin ve çikarin. \n* Gösterilen kablonun baglantisini kesin (II) \n* Alicinin sag tarafindaki kirmizi kolu açarak öne dogru çekin ve gösterilen bölgelerdeki sikisikliklari gidermek için ters çevirin (III). \n* Aliciyi yerine yerlestirin ve kabloyu tekrar baglayin. \n* Kapagi yerlestirip kapatin. Hata tekrar ederse servisi arayin.
ScotApp_1174,UYUMSUZ AĞIRLIK
ScotApp_1500,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1366,Tartı
ScotApp_1161,Çağrı Cihazı Hatası
ScotApp_1717,GA:
ScotApp_1832,Exc_BORÇ
ScotApp_1370,Şifreleyici
ScotApp_669,İmza Yazdırma Başarısız. Hatalar Oluştu.
ScotApp_569,Kodu Tuşla
ScotApp_469,469unused
ScotApp_369,Yazıcı bağlantı hatası
ScotApp_269,Yardım Modu
ScotApp_1507,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_969,969unused
ScotApp_737,737unused
ScotApp_637,"Güvenlik çevrimdışı, son işlem iptal edildi."
ScotApp_537,537unused
ScotApp_437,Yetersiz Bakiye
ScotApp_337,"Ürününüzü okutun veya kodunu girerek ""OK"" e basın."
ScotApp_237,Kaseti yerine oturuncaya kadar takın.\n\nMandalın kaseti yerinde tuttuğundan emin olmak için kaset kolunu çekin.
ScotApp_137,Para Üstü Al
ScotApp_931,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s beklenen; LSWND3=%s %s gözlenen;
ScotApp_1519,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1831,Int
ScotApp_937,Ürünleri Sınırla\Kaldır
ScotApp_837,Ek Ücretler
ScotApp_1702,***FİŞ KOPYASI***
ScotApp_1377,miktar
ScotApp_1728,Popüler ürünler listesinden seçim yapın veya alfabetik olarak arayın.
ScotApp_1395,Görevli Moduna Gir
ScotApp_716,716unused
ScotApp_616,Ağırlık Karşılaştırması
ScotApp_516,Diğer Ödeme
ScotApp_416,Hard Totals yükleniyor
ScotApp_316,316unused
ScotApp_216,* Yazıcı kabin kapağını açın.\n* Sıkışma olup olmadığını kontrol etmek için yazıcı kapağını açın.\n* Yazıcının kapağını kapatın ve tekrar kağıt yükleyin.\n* Mutlu Yüz resmi olan bir fiş basılmalı.\n*Yazıcı kabin kapısını kapatın ve kilitleyin.
ScotApp_116,Tüm Ürünleri İptal Et
ScotApp_1522,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1506,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1879,"Poşet Tartısını kontrol edin ve ""Güvenliği Onayla"" ya basın."
ScotApp_916,"Kasadaki ürünleri kontrol edin ve ""Güvenliği Kaldır"" a basın."
ScotApp_816,816unused
ScotApp_1167,* Yazıcı kabin kapısını açın.\n* Mandalı açın ve yazıcıyı geri itin.\n* Sıkışma olup olmadığını kontrol etmek için yazıcı kapağını açın.\n* Yazıcı kapağını kapatın ve yeniden kağıt yerleştirin.\n* Yerine oturana kadar yazıcıyı dikkatli bir şekilde öne doğru çekin.
ScotApp_1518,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1830, Girişler Onaylandı
ScotApp_1376,", %s"
ScotApp_783,783unused
ScotApp_683,683unused
ScotApp_583,Kart Reddedildi.
ScotApp_483,Lütfen kalemi kullanarak imzanızı atın.
ScotApp_383,383unused
ScotApp_283,Şifre Gir
ScotApp_1505,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_983,Paket Servisi Bandı yükleniyor...
ScotApp_883,Askıya Almayı Onayla
ScotApp_1363,Hat Görüntüleme
ScotApp_1714,ASKIYA ALMA İPTALİ ONAYLANDI
ScotApp_1837,"İşleme devam etmek için ""Onayla"" ya basın."
ScotApp_1449,Fatura Durumu
ScotApp_1375,Otomatik Ürün Değişikliği:\n%s
ScotApp_1248,HEDİYE KARTI
ScotApp_1153,Kağıt sıkışması.
ScotApp_1504,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1362,Tuş Kilidi
ScotApp_1836,GEÇERSİZ BARKOD
ScotApp_1571,Değişikliği Yok Saymayı Onayla
ScotApp_1215,AYGIT HATASI
ScotApp_1858,Discrepancy error occurred in the recycler.
ScotApp_1152,Kağıt yok.
ScotApp_1700,"%s verilemedi. %s madeni para ve fatura vericilerini kontrol edin.\n* Boş ise yeniden doldurun.\n* Boş değil ise sıkışıklığı giderin.\n* ""Durum Düzeltildi"" ye Basın."
ScotApp_1823,Dijital Makbuz başarıyla oluşturuldu.
ScotApp_1605,     Kart Vericisi Haznesi boş
ScotApp_1361,Para Bozma Makinesi
