AmountSaved,Заощаджено
ScotApp_798,798unused
ScotApp_799,Перевірте кошик
ScotApp_801,Купити ящик
ScotApp_802,\nКупити весь ящик товару\n %s?\n\nВиберіть “Так” чи “Ні”.
ScotApp_803,803unused
ScotApp_804,804unused
ScotApp_805,Дозвіл на відпуск товарів
ScotApp_806,Дозвіл на відпуск товарів візуального контролю
ScotApp_807,Зняття протикрадіжкових давачів
ScotApp_809,Повідомлення кас. терміналу:
ScotApp_810, Режим навчання
ScotApp_811,"Відскануйте подарункову картку. Перевірте, чи немає в кошику інших товарів."
ScotApp_813,Введіть № і назву замовлення і натисніть “Enter”
ScotApp_814,814unused
ScotApp_815,Відкрити касовий апарат
ScotApp_816,816unused
ScotApp_817,Потрібна допомога
ScotApp_819,Підтвердіть відкладення операції за скасованим товаром.
ScotApp_820,Скасувати
ScotApp_821,821unused
ScotApp_822,Скасувати товар
ScotApp_823,Скасування
ScotApp_824,Відкладення операції
ScotApp_825,Пакування товару
ScotApp_826,Я не бажаю\nпакувати цей товар
ScotApp_827,Проведіть штрих-код над сканером і покладіть його в пакувальну зону.
ScotApp_828,828unused
ScotApp_829,829unused
ScotApp_830,Я зняв товар чи пакет
ScotApp_831,831unused
ScotApp_832,832unused
ScotApp_833,833unused
ScotApp_834,Тарифи і договори з замовником:
ScotApp_835,Чек:
ScotApp_836,Тарифи і договори з замовником
ScotApp_837,Тарифи
ScotApp_838,Договір на придбання товарів чи послуг
ScotApp_839,Скасувати дію
ScotApp_840,Товар:
ScotApp_841,Товар
ScotApp_842,842unused
ScotApp_843,843unused
ScotApp_844,844unused
ScotApp_845,Сканувати ще товари:
ScotApp_846,Відскануйте товари або натисніть “Усе відскановано”.
ScotApp_847,Усе відскановано
ScotApp_848,Потрібна кількість:
ScotApp_849,Потрібна кількість
ScotApp_850,Одна штука
ScotApp_851,Дві штуки
ScotApp_852,Три штуки
ScotApp_853,Чотири штуки
ScotApp_854,П’ять штук
ScotApp_855,Вартість комплектації замовлення:
ScotApp_856,Чек:
ScotApp_857,Перевірити вартість комплектації
ScotApp_858,Так
ScotApp_859,Ні
ScotApp_860,Не виміряно:
ScotApp_861,861unused
ScotApp_862,Вартість купона:
ScotApp_863,Вартість купона
ScotApp_864,Підтвердження:
ScotApp_865,Перевірити особу власника картки
ScotApp_866,Так
ScotApp_867,Ні
ScotApp_868,Пропускний номер:
ScotApp_869,Введіть пропускний № і натисніть “Ввести”.
ScotApp_870,Попередження:
ScotApp_871,Відкласти
ScotApp_872,Не відкладати
ScotApp_873,"Посвідчення водія документ, що посвідчує особу  №:"
ScotApp_874,"Введіть номер посвідчення водія або документа, що посвідчує особу, і натисніть “Ввести”."
ScotApp_875,"№ старшого касира, який скасував покупку"
ScotApp_876,Введіть № старшого касира і натисніть “Ввести”.
ScotApp_877,Введіть ціну
ScotApp_878,Введіть ціну.
ScotApp_879,879unused
ScotApp_880,880unused
ScotApp_881,Відкласти:
ScotApp_882,Відкласти.
ScotApp_883,Відкласти
ScotApp_884,Не відкладати
ScotApp_885,Попередження пакувальних ваг
ScotApp_886,Товар знято з пакувальних ваг.\nПокладіть товар назад.
ScotApp_887,Товар знято
ScotApp_888,"На пакувальних вагах не той товар, що очікується. Зніміть товар."
ScotApp_889,%s\nФактична вага(%s): %s\nОчікується вага(%s): %s
ScotApp_890,Завантаження Smart Scale...
ScotApp_891,Smart Scale завантажено.
ScotApp_892,Кінець роботи Smart Scale...
ScotApp_893,Завантаження DBM...
ScotApp_894,DBM завантажено.
ScotApp_895,Кінець роботи DBM...
ScotApp_896,Завантаження WTINFO...
ScotApp_897,WTINFO завантажено.
ScotApp_898,Кінець роботи WTINFO...
ScotApp_899,Скасувати
ScotApp_900,Покладіть товар на пакувальні ваги.
ScotApp_901,"Підтвердити, що товар упаковано не буде."
ScotApp_902,Товар знято з пакувальних ваг. Покладіть товар назад.
ScotApp_903,Товар знято з пакувальних ваг.
ScotApp_904,Підтвердити вагу товару
ScotApp_905, (Детальніше на чеку.)
ScotApp_907,907unused
ScotApp_908,Контроль
ScotApp_909,Невірна вага на контрольних вагах.
ScotApp_910,910unused
ScotApp_911,Зняти контроль
ScotApp_912,Підтвердити і змінити вагу
ScotApp_913,"На контрольних вагах не той товар, що очікується."
ScotApp_914,"Підійдіть до каси, зніміть зайві товари і натисніть “Зняти контроль”."
ScotApp_915,Забагато запитів пропустити конвеєр. Макс. %d.
ScotApp_916,Перевірте товари на касі і натисніть “Зняти контроль”.
ScotApp_917,Забагато запитів зняти товари з пакувальних ваг. Макс. %d.
ScotApp_918,Немає даних про вагу товару.
ScotApp_919,Перевірте вагу товару і натисніть “Підтвердити і змінити вагу” або натисніть “Підтвердити без змін”.
ScotApp_920,Підтвердити без змін.
ScotApp_921,На контрольних вагах очікується вага.
ScotApp_922,922unused
ScotApp_923,923unused
ScotApp_924,924unused
ScotApp_925,925unused
ScotApp_926,Товари не повернено на пакувальні ваги.
ScotApp_927,Пристрій працює невірно
ScotApp_928,Перейти до каси і перевірити пристрій.
ScotApp_929,Порушення зв’язку з WLDB.
ScotApp_930,Перевірити зв’язок.
ScotApp_931,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s очікується;LSWND3=%s %s фактично;
ScotApp_932,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;
ScotApp_933,Вага не співпадає
ScotApp_934,Вага збільшилася
ScotApp_935,Вага зменшилася
ScotApp_936,Ліміт\Не пакувати
ScotApp_937,Ліміт\Зняти товари
ScotApp_938,938unused
ScotApp_939,Час очікування сплинув
ScotApp_940,Скасовано
ScotApp_941,Товар скасовано
ScotApp_942,942unused
ScotApp_943,Маю свій пакет
ScotApp_944,Забагато запитів пакувати в пакет/коробку. Макс. %d.
ScotApp_945,Ліміт\Пакет/коробка
ScotApp_946,Дозволити пакет/коробку
ScotApp_947,Зважити новий товар
ScotApp_948,\n* Дистанційна допомога
ScotApp_949,949unused
ScotApp_950,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s додано;LSWND3=%s;
ScotApp_951,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s знято;LSWND3=%s;
ScotApp_952,Додати нульову вагу
ScotApp_953,"Вимкніть і знов увімкніть термінал:\n\n* Повернути замок адміністратора на “S” -АБО- натиснути кнопку “Адміністратор”.\n* Обрати “Запустити АВП під час наступного ввімкнення”. Щоб підтвердити, оберіть �Так�.\n* Обрати “Вимкнути всю систему”.\n* Коли екран згас, вимкнути термінал на ББЖ чи на подовжнику.\n* Увімкнути термінал. Перевірте вікно подій. Якщо помилка виникає знов, зверніться до технічної служби."
ScotApp_954,Smart Scale: не вдалося відкрити
ScotApp_955,Smart Scale: не активовано
ScotApp_956,"Вимкніть і знов увімкніть термінал:\n\n* Повернути замок адміністратора на “S” -АБО- натиснути кнопку “Адміністратор”.\n* Обрати “Запустити АВП під час наступного ввімкнення”. Щоб підтвердити, оберіть �Так�.\n* Обрати “Вимкнути всю систему”.\n* Коли екран згас, вимкнути термінал на ББЖ чи на подовжнику.\n* Увімкнути термінал. Перевірте вікно подій. Якщо помилка виникає знов, зверніться до технічної служби."
ScotApp_957,Немає зв’язку з DB Manager Client
ScotApp_958,Пакувальні ваги
ScotApp_959,Weight Learning Database
ScotApp_960,"Збій на пакувальних вагах: перегляньте повідомлення про помилки на пакувальних вагах та у вікні подій, натисніть “Збій ліквідовано”."
ScotApp_961,"Збій Weight Learning Database: Перегляньте повідомлення про помилки у вікні подій, натисніть “Збій ліквідовано”."
ScotApp_962,"Заберіть скасований товар на касі, натисніть “Скасувати”."
ScotApp_963,Скасувати запит
ScotApp_964,Зніміть товар і натисніть “Зняти контроль” або натисніть “Підтвердити і змінити вагу”.
ScotApp_965,965unused
ScotApp_966,966unused
ScotApp_967,967unused
ScotApp_968,968unused
ScotApp_969,969unused
ScotApp_970,970unused
ScotApp_971,971unused
ScotApp_972,972unused
ScotApp_973,973unused
ScotApp_974,974unused
ScotApp_975,975unused
ScotApp_976,976unused
ScotApp_977,Фактична вага: %s %s
ScotApp_978,Ліміт %d
ScotApp_979,Ліміт запитів покупця %d
ScotApp_980,Час очікування відповіді покупця сплинув
ScotApp_981,981unused
ScotApp_982,Помилка пристрою
ScotApp_983,Завантаження Takeaway Belt...
ScotApp_984,Belt Takeaway завантажено.
ScotApp_985,Покладіть товар на конвеєр.
ScotApp_986,986unused
ScotApp_987,Товар знято з конвеєра. Покладіть товар назад.
ScotApp_988,Неочікуваний товар на конвеєрі. Зніміть товар.
ScotApp_989,989unused
ScotApp_990,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;
ScotApp_991,Перевірка віку
ScotApp_992,Введіть дату народження
ScotApp_993,Касу закрито
ScotApp_994,Закрито
ScotApp_995,"Щоб відкрити касу, перейдіть до неї та відкрийте режим “Магазин”."
ScotApp_996,Ціна
ScotApp_997,Введіть ціну
ScotApp_998,Кількість
ScotApp_999,Перевищено ліміт
ScotApp_1000,Не знайдено
ScotApp_1001,Товар не знайдено
ScotApp_1002,Не продано
ScotApp_1003,Обмежені години відпуску
ScotApp_1004,Перевірити товар
ScotApp_1005,Візуальний контроль
ScotApp_1006,Інший вид оплати
ScotApp_1007,Викликано допомогу
ScotApp_1008,1008unused
ScotApp_1009,Режим “Магазин”
ScotApp_1010,1010unused
ScotApp_1011,Транспортується...
ScotApp_1012,Ваш товар транспортується.
ScotApp_1013,Скупчення товарів
ScotApp_1014,Зніміть скупчені товари з конвеєра.
ScotApp_1015,Скупчення товарів
ScotApp_1016,Скупчення товарів на конвеєрі
ScotApp_1017,Зніміть з конвеєра скупчені товари.
ScotApp_1018,Мінімальний вік (років).
ScotApp_1019,Покладіть на конвеєр
ScotApp_1020,Відскануйте товари
ScotApp_1021,Увага!
ScotApp_1022,Я не бажаю\nпакувати цей товар
ScotApp_1023,1023unused
ScotApp_1024,1024unused
ScotApp_1025,Зніміть з конвеєра всі товари і закрийте захисну кришку.
ScotApp_1026,Скасувати опер.
ScotApp_1027,"Скасувати операцію - натисніть “Так”, продовжити - натисніть “Ні”."
ScotApp_1028,Перевищено ліміт на купони
ScotApp_1029,Внесіть купон
ScotApp_1030,Вставте купон.
ScotApp_1031,Відскануйте купони.
ScotApp_1032,Протикрадіжк. давач все ще активний
ScotApp_1033,На касі відключіть або зніміть з товару протикрадіжковий давач і натисніть “Зняти контроль”.
ScotApp_1034,1034unused
ScotApp_1035,Протикрадіжк. пристрій включено
ScotApp_1036,Протикрадіжк. пристрій включено
ScotApp_1037,Підпис
ScotApp_1038,Перевірка підпису
ScotApp_1039,На попередніх товарах є протикрадіжкові давачі.
ScotApp_1040,Підпис
ScotApp_1041,Прийняти підпис
ScotApp_1042,ПІДТВЕРДЖУЮЧИЙ ТАЛОН:\nНАДРУКОВАНО ЧЕРЕЗ НЕМОЖЛИВІСТЬ \nПІДПИСАТИ ДОКУМЕНТ. ДОДАЙТЕ ЦЕЙ ТАЛОН\nДО ВІДПОВІДНОГО ДОКУМЕНТА.\n----------------------------------------\n
ScotApp_1043,"Щоб прийняти від покупця %s, перейдіть у режим “Касир”."
ScotApp_1044,Платіж з оператором
ScotApp_1045,Вид оплати: %s
ScotApp_1046,Передайте %s касиру на касовому автоматі.
ScotApp_1047,Потрібен підпис. Дочекайтеся оператора.
ScotApp_1048,1048unused
ScotApp_1049,1049unused
ScotApp_1050,1050unused
ScotApp_1051,Підпис паперового чеку
ScotApp_1052,1052unused
ScotApp_1053,"Зачекайте, доки касир принесе чек на підпис."
ScotApp_1054,1054unused
ScotApp_1055,1055unused
ScotApp_1056,1056unused
ScotApp_1057,1057unused
ScotApp_1058,Платіж з операт.
ScotApp_1059,1059unused
ScotApp_1060,ЗАЧЕКАЙТЕ...
ScotApp_1061,1061unused
ScotApp_1062,1062unused
ScotApp_1063,1063unused
ScotApp_1064,1064unused
ScotApp_1065,1065unused
ScotApp_1066,1066unused
ScotApp_1067,1067unused
ScotApp_1068,1068unused
ScotApp_1069,1069unused
ScotApp_1070,1070unused
ScotApp_1071,1071unused
ScotApp_1072,Потрібна інформація
ScotApp_1073,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;DATANEEDEDTYPE=%d;
ScotApp_1074,Дозвіл пропустити конвеєр
ScotApp_1075,Ліміт\Пропуск конвеєра
ScotApp_1076,Увага!
ScotApp_1077,Поверніть товари на конвеєр
ScotApp_1078,"Виберіть, чи дорівнює вага очікуваній (покупець має покласти товар на конвеєр)."
ScotApp_1079,Знов покладіть відсканований товар на конвеєр.
ScotApp_1080,Покладіть товар на конвеєр.
ScotApp_1081,Показати\nвсі каси
ScotApp_1082,Я зняв товар чи пакет
ScotApp_1083,Товар знято з пакувальних ваг.\nПокладіть товар назад.
ScotApp_1084,Збір
ScotApp_1085,Збір купонів
ScotApp_1086,“Додати нульову вагу” видаляє всі записи ваги.
ScotApp_1087,Картку прийнято.Відскануйте товари і купони.
ScotApp_1088,1088unused
ScotApp_1089,Кінець звітного періоду
ScotApp_1090,Показати звіт
ScotApp_1091,1091unused
ScotApp_1092,Зміст звіту
ScotApp_1093,Друк останнього чеку
ScotApp_1094,Друк підписів
ScotApp_1095,"Оберіть тип звіту, натисніть “Показати звіт”."
ScotApp_1096,Звіти
ScotApp_1097,Друк записів і звітів
ScotApp_1098,"* Відчинити дверцята принтера.\n* Перевірити, чи не застряг папір у показаному місці.\n* Якщо затору немає, перезаправити папір.\n* Має друкуватися чек зі значком “смайлик”.\n* Зачинити і замкнути дверцята принтера."
ScotApp_1099,Невідома помилка пристрою
ScotApp_1100,%s
ScotApp_1101,%s\t%s
ScotApp_1102,Вперед
ScotApp_1103,Назад
ScotApp_1104,"e=d=0,01 фунти Макс 30,00 фунтів мін 0,2 фунти Nмакс 3000"
ScotApp_1105,"e=d=0,005 кг Макс 13,995 кг мін 0,1 кг Nмакс 2799"
ScotApp_1106,%s\t%s\tК-ть %s ціна %s/од.\t%s
ScotApp_1107,%s\t%s\tК-ть %s ціна %s/%s\t%s
ScotApp_1108,%s\t%s\t%s ціна %s %s/%s\t%s
ScotApp_1109,%s\t%s\t%s ціна %s/%s\t%s
ScotApp_1110,  К-ть %s ціна %s/од.\t%s
ScotApp_1111,  К-ть %s ціна %s/%s\t%s
ScotApp_1112,%s ціна %s %s/%s\t%s
ScotApp_1113,%s ціна %s/%s\t%s
ScotApp_1114,Дані на кінець звітного періоду оновлено
ScotApp_1115,ЗВІТИ: НЕ В МЕРЕЖІ
ScotApp_1116,"Роздавач купюр не працює, якщо лоток для відбракованих купюр відсутній або не зафіксований.\n\nВставити та надійно зафіксувати лоток для відбракованих купюр."
ScotApp_1117,Касета роздавача купюр %s відсутня або її неповністю вставлено.\n\nВставити або зафіксувати касету для купюр %s.
ScotApp_1118,"Збій видачі купюр %s.\n\nНеможливо дістати купюри %s з касети.\n\nВийняти касету з купюрами %s, перевірити стан купюр."
ScotApp_1119,"Роздавач купюр не працює при відкритих дверцятах.\n\nЗачинити та замкнути дверцята роздавача чи сейфу.\n\nЯкщо помилка виникає знов, звернутися до технічної служби."
ScotApp_1120,"Можливий затор купюр перед касетою для купюр %s.\n\nВийняти касету для купюр %s та перевірити наявність затору в цій ділянці.\n\nЯкщо можливо, вийняти застряглі купюри, вставити касету."
ScotApp_1121,Можливий затор купюр у показаному місці.\n\nЧастково витягти роздавач купюр з корпусу.\n\nВийняти застряглі купюри.\n\nОбережним натисканням вставити роздавач купюр назад у корпус.
ScotApp_1122,Можливий затор купюр на виході з роздавача купюр.\n\nЧастково витягти роздавач купюр з корпусу.\n\nВийняти застряглі купюри в показаному місці.\nОбережним натисканням вставити роздавач купюр назад у корпус.
ScotApp_1123,"* НЕ ПРОДОВЖУВАТИ, доки не вийнято застряглі купюри.\n* Обережно витягти роздавач купюр з корпусу.\n* Вийняти застряглі купюри зверху роздавача, не торкаючись стрічок.\n* Вставити роздавач купюр назад у корпус.\n* Замкнути дверцята, натиснути “Збій ліквідовано”."
ScotApp_1124,1124unused
ScotApp_1125,"Доверху наповнити монетами всі жолоби у магазині монет.\n\nУвійти в режим “Магазин”, обрати “Запас готівки, паперу”, натиснути кнопку “Роздавач монет заправлено”."
ScotApp_1126,Збій роздавача монет.\n\nПеревірити мережевий вимикач роздавача (якщо є).
ScotApp_1127,Підключитися
ScotApp_1128,%s\n
ScotApp_1129,Невірні дії при ліквідації збою.\n\nСпробуйте ще раз.
ScotApp_1130,Помилка приймача купюр
ScotApp_1131,Купюрна касета відсутня або її погано вставлено.
ScotApp_1132,Помилка зв’язку.
ScotApp_1133,Затор у приймачі купюр.
ScotApp_1134,Купюрна касета повна.
ScotApp_1135,Помилка роздавача купюр
ScotApp_1136,Лоток для відбракованих купюр відсутній чи не зафіксований.
ScotApp_1137,Не вставлено касету для купюр %s.
ScotApp_1138,Не вдалося видати %s.
ScotApp_1139,Відчинено дверцята роздавача купюр.
ScotApp_1140,Затор у роздавачі купюр.
ScotApp_1141,Не вдалося видати %s. ОБЕРЕЖНО! Можливий затор купюр зверху роздавача купюр.
ScotApp_1142,Помилка роздавача монет
ScotApp_1143,Замало монет або немає контейнера монет.
ScotApp_1144,Роздавач не відповідає.
ScotApp_1145,Помилка приймача монет
ScotApp_1146,Приймач не відповідає.
ScotApp_1147,Помилка контрольних ваг
ScotApp_1148,Збій компонентів контрольних ваг
ScotApp_1149,Помилка чекового принтера
ScotApp_1150,Відкрито дверцята принтера.
ScotApp_1151,Відкрито кришку принтера.
ScotApp_1152,Немає паперу.
ScotApp_1153,Затор паперу.
ScotApp_1154,Помилка сканера
ScotApp_1155,Пристрій не в мережі.
ScotApp_1156,"Перевірити, чи увімкнений мережевий вимикач роздавача монет."
ScotApp_1157,"Можливо, відчинено дверцята роздавача купюр.\n\nРоздавач купюр не працює при відкритих дверцятах.\n\nПовністю зачинити та замкнути дверцята роздавача чи сейфу."
ScotApp_1158,Помилка карткового терміналу
ScotApp_1159,Картковий термінал не відповідає.
ScotApp_1160,"Перевірити контакт кабелю позаду термінала.\n\nЯкщо контакт щільний, натиснути “Збій ліквідовано”.\n\nЯкщо помилка виникає знов, вимкнути і знов увімкнути термінал."
ScotApp_1161,Помилка пейджера
ScotApp_1162,Пристрій не в мережі.
ScotApp_1163,"Натиснути “Збій ліквідовано”.\n\nЯкщо помилка виникає знов, перезавантажити термінал:\nПовернути замок адміністратора на “S” -АБО натиснути кнопку “Адміністратор”.\nОбрати “Вимкнути всю систему”.\nКоли екран згас, вимкнути термінал на ББЖ чи на подовжнику.\nУвімкнути термінал. Якщо помилка виникає знов, зверніться до технічної служби."
ScotApp_1164,Невірне положення принтера.
ScotApp_1165,Обережно потягнути принтер на себе до фіксації.\n\nЗачинити і замкнути дверцята принтера.
ScotApp_1166,"* Відчинити дверцята принтера.\n* Розфіксувати принтер та натиснути від себе.\n* Відкрити кришку принтера, перевірити, чи не застряг папір.\n* Закрити кришку, перезаправити папір.\n* Обережно потягнути принтер на себе до фіксації."
ScotApp_1167,"* Відчинити дверцята принтера.\n* Розфіксувати принтер та натиснути від себе.\n* Відкрити кришку принтера, перевірити, чи не застряг папір.\n* Закрити кришку, перезаправити папір.\n* Обережно потягнути принтер на себе до фіксації."
ScotApp_1168,Принтер не зафіксовано в передньому положенні.
ScotApp_1169,Відчинити дверцята принтера.\n* Обережно потягнути принтер на себе до фіксації.\n* Зачинити і замкнути дверцята принтера.
ScotApp_1170,"* Відкрити кришку принтера, перевірити, чи не застряг папір у показаному місці.\n* Вийняти папір.\n* Закрити кришку принтера, вставити папір.\n* Якщо помилка виникає знов, перезавантажити термінал."
ScotApp_1171,НЕОЧІК. ЗБІЛЬШЕННЯ ВАГИ
ScotApp_1172,ВІДКЛАДЕНО
ScotApp_1173,СКАСОВАНИЙ ТОВАР
ScotApp_1174,НЕСПІВПАДІННЯ ВАГИ
ScotApp_1175,НЕ ПАКУВАТИ. ПЕРЕВИЩЕНО ЛІМІТ
ScotApp_1176,ВВЕДЕНО НОВИЙ ТОВАР
ScotApp_1177,ЧАС ПАКУВАННЯ ТОВАРУ СПЛИНУВ
ScotApp_1178,ПЕРЕВИЩЕННЯ ЛІМІТУ СКАСОВАНО
ScotApp_1179,ЧАС ВІДСУТНОСТІ ПОКУПЦЯ СПЛИНУВ
ScotApp_1180,НЕСПІВПАДІННЯ ЦІНИ
ScotApp_1181,ПЕРЕВИЩЕНО ЛІМІТ НА КУПОНИ
ScotApp_1182,ЛІМІТ ВАРТОСТІ КУПОНА
ScotApp_1183,ВВЕДЕННЯ ЦІНИ
ScotApp_1184,БІЛЬШЕ ДАНИХ
ScotApp_1185,ПЕРЕВИЩЕНО ЛІМІТ “ПАКЕТ/КОРОБКА”
ScotApp_1186,НЕОЧІК. ЗМЕНШЕННЯ ВАГИ
ScotApp_1187,ПОМИЛКА ПРИСТРОЮ
ScotApp_1188,ВВЕДЕНА КІЛЬКІСТЬ
ScotApp_1189,ВВЕДЕНИЙ ТОВАР
ScotApp_1190,ВВЕДЕНИЙ КУПОН
ScotApp_1191,НЕ ВИМІРЯНО
ScotApp_1192,ВАРТІСТЬ КОМПЛЕКТАЦІЇ ЗАМОВЛЕННЯ
ScotApp_1193,ОСОБУ ПЕРЕВІРЕНО
ScotApp_1194,ПРОПУСКНИЙ НОМЕР
ScotApp_1195,CSA: ПРИЗУПИНЕНО
ScotApp_1196,НОМЕР ПОСВІДЧЕННЯ ВОДІЯ
ScotApp_1197,ОПЕРАЦІЮ СКАСОВАНО
ScotApp_1198,ВВЕДЕНИЙ НОМЕР РАХУНКУ
ScotApp_1199,ВВЕДЕНА КІНЦЕВА ДАТА
ScotApp_1200,ВВЕДЕННЯ ЦІНИ
ScotApp_1201,ПЛАТІЖ З КАСИРОМ
ScotApp_1202,КАСУ ЗАЧИНЕНО
ScotApp_1203,ЗАСВІДЧЕНИЙ ДОКУМЕНТ
ScotApp_1204,НОМЕР ДОКУМЕНТА
ScotApp_1205,СКУПЧЕННЯ НА ПАКУВАЛЬНИХ ВАГАХ
ScotApp_1206,НЕ ВІДКЛЮЧЕНО ПРОТИКРАДІЖК. ДАВАЧ
ScotApp_1207,ПІДПИС ПЕРЕВІРЕНО
ScotApp_1208,ПРОДАНО В РЕЖИМІ “КАСИР”
ScotApp_1209,ПЕРЕВИЩЕНО ЛІМІТ НА ПОДАРУНКОВІ КАРТКИ
ScotApp_1210,ОСТАННІЙ ПЕРЕГЛЯД
ScotApp_1211,АВТОМАТИЧНО
ScotApp_1212,ІНШЕ
ScotApp_1213,НЕВІДОМО
ScotApp_1214,ЧЕК
ScotApp_1215,ПОМИЛКА ПРИСТРОЮ
ScotApp_1216,КОНТРОЛЬ
ScotApp_1217,СКАСОВАНО
ScotApp_1218,ЗБІР
ScotApp_1219,ВІКОВІ ОБМЕЖЕННЯ
ScotApp_1220,КАРТКОВИЙ ТЕРМІНАЛ
ScotApp_1221,НЕ ПРОВЕДЕНО
ScotApp_1222,НЕ ПРАЦЮЄ
ScotApp_1223,ЗАМАЛО ГОТІВКИ ЧИ ПАПЕРУ
ScotApp_1224,ПОТРІБНА ЦІНА
ScotApp_1225,НЕВІДОМИЙ ТОВАР
ScotApp_1226,ВІДКЛИКАНИЙ ТОВАР
ScotApp_1227,ОБМЕЖЕНІ ГОДИНИ ВІДПУСКУ
ScotApp_1228,ВІДКЛАДЕНО
ScotApp_1229,НЕ ПРОВЕДЕНО: ВІДД
ScotApp_1230,НЕ ПРОВЕДЕНО: ВІДД
ScotApp_1231,ПЕРЕВІРЕНО ВІЗУАЛЬНО
ScotApp_1232,ПІДПИС ПРИЙНЯТО
ScotApp_1233,ІНШИЙ ВИД ОПЛАТИ
ScotApp_1234,КІЛЬКІСТЬ ОБМЕЖЕНО
ScotApp_1235,УВІМКНЕНО ПРОТИКРАДІЖК. ПРИСТРІЙ
ScotApp_1236,Звіт обробляється...
ScotApp_1237,КУПОН
ScotApp_1238,ІНШИЙ ВИД ОПЛАТИ
ScotApp_1239,ЖОДНИЙ
ScotApp_1240,ГОТІВКА
ScotApp_1241,КРЕДИТНА
ScotApp_1242,ДЕБЕТОВА
ScotApp_1243,ДИСКОНТНА
ScotApp_1244,ДЕБЕТОВА - ДЕПОЗИТ
ScotApp_1245,ДЕБЕТОВА - ПОТОЧНИЙ
ScotApp_1246,СОЦІАЛЬНА (EBT)
ScotApp_1247,ПРОДОВОЛЬЧІ ТАЛОНИ
ScotApp_1248,ПОДАРУНКОВА КАРТКА
ScotApp_1249,ІНВАЛІДНА (PIP) ЗАГАЛЬНА
ScotApp_1250,ІНВАЛІДНА (PIP) КРЕДИТНА
ScotApp_1251,ІНВАЛІДНА (PIP) ДЕБЕТОВА
ScotApp_1252,ІНВАЛІДНА (PIP) ДЕБЕТОВА ЗІ ЗНЯТТЯМ ГОТІВКИ
ScotApp_1253,ІНВАЛІДНА (PIP) ДИСКОНТНА
ScotApp_1254,ІНВАЛІДНА (PIP) ДЕБЕТОВА - ДЕПОЗИТ
ScotApp_1255,ІНВАЛІДНА (PIP) ДЕБЕТОВА - ПОТОЧНИЙ
ScotApp_1256,ІНВАЛІДНА СОЦІАЛЬНА (PIP EBT)
ScotApp_1257,ІНВАЛІДНІ (PIP) ПРОДОВОЛЬЧІ ТАЛОНИ
ScotApp_1258,ІНВАЛІДНА (PIP) ПОДАРУНКОВА
ScotApp_1259,ЗАДАНОКОРИСТУВАЧЕМ1
ScotApp_1260,ЗАДАНОКОРИСТУВАЧЕМ2
ScotApp_1261,ЗАДАНОКОРИСТУВАЧЕМ3
ScotApp_1262,ЗАДАНОКОРИСТУВАЧЕМ4
ScotApp_1263,ЗАДАНОКОРИСТУВАЧЕМ5
ScotApp_1264,ЗАДАНОКОРИСТУВАЧЕМ6
ScotApp_1265,ЗАДАНОКОРИСТУВАЧЕМ7
ScotApp_1266,ЗАДАНОКОРИСТУВАЧЕМ8
ScotApp_1267,ЗАДАНОКОРИСТУВАЧЕМ9
ScotApp_1268,ЗАДАНОКОРИСТУВАЧЕМ10
ScotApp_1269,ЗАДАНОКОРИСТУВАЧЕМ11
ScotApp_1270,ЗАДАНОКОРИСТУВАЧЕМ12
ScotApp_1271,ЗАДАНОКОРИСТУВАЧЕМ13
ScotApp_1272,ЗАДАНОКОРИСТУВАЧЕМ14
ScotApp_1273,ЗАДАНОКОРИСТУВАЧЕМ15
ScotApp_1274,ЗАДАНОКОРИСТУВАЧЕМ16
ScotApp_1275,ЗАДАНОКОРИСТУВАЧЕМ17
ScotApp_1276,ЗАДАНОКОРИСТУВАЧЕМ18
ScotApp_1277,ЗАДАНОКОРИСТУВАЧЕМ19
ScotApp_1278,ЗАДАНОКОРИСТУВАЧЕМ20
ScotApp_1279,ЧЕК
ScotApp_1280,ГОТІВКА
ScotApp_1281,ПЛАТІЖ З КАСИРОМ
ScotApp_1282,Потрібна ціна на товар
ScotApp_1283,1283unused
ScotApp_1284,1284unused
ScotApp_1285,Популярний
ScotApp_1286,Україна
ScotApp_1288,А
ScotApp_1289,Б—Г
ScotApp_1290,Д—Й
ScotApp_1291,К—М
ScotApp_1292,Н—О
ScotApp_1293,П
ScotApp_1294,Р—С
ScotApp_1295,Т—Я
ScotApp_1296,Поповнити всі контейнери монет до оптимального рівня.
ScotApp_1297,ЧАС ОТРИМАННЯ РЕШТИ СПЛИНУВ
ScotApp_1298,Функції з оператором
ScotApp_1299,Почніть операцію і увійдіть у режим “Касир”
ScotApp_1300,Почати операцію
ScotApp_1301,Редагувати перелік покупок
ScotApp_1302,Закрити
ScotApp_1303,Дисконтну картку прийнято: #%s
