AgeCheckLaneButtonText,Age Check
ScotApp_359,Funções do Sistema
ScotApp_360,Fechar Caixa
ScotApp_361,Caixa Fechada
ScotApp_362,Inserir Senha
ScotApp_363,\nUse o teclado para inserir a senha do operador.
ScotApp_364,364unused
ScotApp_365,Impressora bloqueio cabeça
ScotApp_366,Impressora bloqueio lâmina
ScotApp_367,367unused
ScotApp_368,Impressora bloqueio papel
ScotApp_369,Impressora erro comunicação
ScotApp_370,Impressora aberta
ScotApp_371,Impressora substituir cabeça
ScotApp_372,Impressora lateral erro comunicação
ScotApp_373,Impressora bloqueio saída papel
ScotApp_374,Impressora erro marca negra
ScotApp_375,Impressora tempo esgotado
ScotApp_376,376unused
ScotApp_377,Unidades - Estado
ScotApp_378,Impressora Factura
ScotApp_379,Receptáculo Dinheiro
ScotApp_380,380unused
ScotApp_381,Normal
ScotApp_382,Desconhecido
ScotApp_383,383unused
ScotApp_384,384unused
ScotApp_385,385unused
ScotApp_386,Cassete Removida
ScotApp_387,Bloqueio Transporte
ScotApp_388,A processar...
ScotApp_389,A processar cartão
ScotApp_390,Artigos Cancelados
ScotApp_391,Artigos Preço Necessário
ScotApp_392,Artigos Desconhecidos
ScotApp_393,Impressora Jornal
ScotApp_394,394unused
ScotApp_395,Artigos Restritos Não Permitidos
ScotApp_396,Assistência requisitada para:
ScotApp_398,Cassete Inserida
ScotApp_399,399unused
ScotApp_400,400unused
ScotApp_401,Inserir cartão. Verifique se existem mais artigos no cesto.
ScotApp_402,Ausente
ScotApp_403,403unused
ScotApp_404,404unused
ScotApp_406,406unused
ScotApp_408,408unused
ScotApp_409,Mensagem de Sistema
ScotApp_411,Retire o Cartão de Cliente
ScotApp_416,Totais Gerais a carregar...
ScotApp_417,Totais Gerais carregados.
ScotApp_418,Totais Gerais a terminar...
ScotApp_419,419unused
ScotApp_420,420unused
ScotApp_421,"Passe os artigos ou toque em ""Iniciar"" para começar."
ScotApp_422,422unused
ScotApp_423,Inserir cartão. Verifique se existem mais artigos no cesto.
ScotApp_424,Inserir Valor
ScotApp_425,425unused
ScotApp_426,Caixa ##:
ScotApp_427,Poucos Meios
ScotApp_428,Amarelo
ScotApp_429,Vermelho
ScotApp_430,Fora de Serviço
ScotApp_432,EBT
ScotApp_433,433unused
ScotApp_434,Tipo Benefício
ScotApp_436,Confirmar Valor
ScotApp_437,Saldo insuficiente
ScotApp_439,439unused
ScotApp_441,Confirmar Valor
ScotApp_444,Senhas de Alimentação
ScotApp_445,Prestação Pecuniária
ScotApp_446,Suspender Transacção
ScotApp_447,A sua conta de cliente foi activada.
ScotApp_448,A sua conta de cliente foi activada.
ScotApp_449,Receptáculo moedas estado rejeitado
ScotApp_450,450unused
ScotApp_451,Receptáculo moedas estado bloqueado
ScotApp_452,Verifique se o cabo está bem ligado à lateral do receptáculo de moedas.
ScotApp_453,Receptáculo de moedas estado cheio
ScotApp_454,454unused
ScotApp_455,455unused
ScotApp_456,456unused
ScotApp_457,457unused
ScotApp_459,Irá restar saldo após esta compra.
ScotApp_460,A sua compra será terminada.
ScotApp_461,A carregar Aprovação Remota...
ScotApp_462,Aprovação Remota aprovada.
ScotApp_463,A terminar Aprovação Remota...
ScotApp_464,%s               %s
ScotApp_465,%s               %s
ScotApp_466,   Artigo Lido Desconhecido
ScotApp_467,467unused
ScotApp_468,  Cancelado
ScotApp_469,469unused
ScotApp_470,  Restricção de Idade
ScotApp_471,  Validação Visual
ScotApp_472,Ajuda Necessária
ScotApp_473,Nível de Meios em Baixo
ScotApp_474,474unused
ScotApp_475,Transacção Suspensa
ScotApp_476,Entrega Cupões
ScotApp_478,Entrega Cupões.
ScotApp_479,Entrega cupões
ScotApp_481,Assistência Necessária
ScotApp_482,482unused
ScotApp_483,Assine no painel com a caneta fornecida.
ScotApp_484,Assinatura Necessária
ScotApp_485,Assinatura Necessária
ScotApp_486,Para cima
ScotApp_487,Baixo
ScotApp_488,Coloque o Artigo na Balança: %s
ScotApp_490,"Passe os artigos ou toque em ""Iniciar"" para começar."
ScotApp_492,Retire o seu troco.
ScotApp_493,A sua factura será impressa abaixo do dispositivo de pagamento.
ScotApp_494,Seleccione o valor de reembolso da lista.
ScotApp_496,Quantidade Limite
ScotApp_497,Valor a Pagar:
ScotApp_498,Valor Pago:
ScotApp_499,499unused
ScotApp_500,500unused
ScotApp_502,Ponha o artigo cancelado de parte.
ScotApp_503,503unused
ScotApp_504,504unused
ScotApp_505,Número Incorrecto
ScotApp_506,506unused
ScotApp_507,Verificação Visual Artigos
ScotApp_508,508unused
ScotApp_509,509unused
ScotApp_510,Assinar Novamente
ScotApp_511,Compare a assinatura do cliente com a do cartão.
ScotApp_512,Validações Visuais
ScotApp_513,513unused
ScotApp_514,514unused
ScotApp_515,515unused
ScotApp_516,Outro Pagamento
ScotApp_517,Outro pagamento requisitado.
ScotApp_518,Inserir dinheiro.
ScotApp_519,Cupão Demasiado Elevado
ScotApp_520,Código de Artigo Desconhecido
ScotApp_521,Valor Reembolsado:
ScotApp_522,PIN Errado
ScotApp_523,Cartão Recusado
ScotApp_526,\nPIN errado.\nPasse outro cartão\n   -ou-\nPague com dinheiro
ScotApp_527,527unused
ScotApp_528,528unused
ScotApp_531,\nCaptura Assinatura Falha Dispositivo
ScotApp_532,Artigo Restrito
ScotApp_534,Tempo Artigos Restritos
ScotApp_535,   Tempo Cancelado
ScotApp_536,Receptáculo de Moedas
ScotApp_537,537unused
ScotApp_538,538unused
ScotApp_539,539unused
ScotApp_540,540unused
ScotApp_541,Imprimir Código Barras Operador
ScotApp_542,Impossível criar código de barras de operador.
ScotApp_543,ID Operador não pode ser maior do que %d dígitos.
ScotApp_544,Senha não pode ser maior do que %d dígitos.
ScotApp_545,Artigo Restrito
ScotApp_548,548unused
ScotApp_549,549unused
ScotApp_550,550unused
ScotApp_551,551unused
ScotApp_552,Operador e Senha não podem começar com zero.
ScotApp_554,Não passe cartões de pagamento neste momento.
ScotApp_555,Outro Pagamento
ScotApp_556,Suspensão de transacção recusada.
ScotApp_557,Quantidade Artigos Restritos
ScotApp_558,Quantidade Artigo Restrito
ScotApp_559,Sem Cupões
ScotApp_561,Pôr Cupão de Parte
ScotApp_562,Cupões têm de ser vendidos no Modo Assistido
ScotApp_564,564unused
ScotApp_565,Início Sessão Loja
ScotApp_566,566unused
ScotApp_567,Enter
ScotApp_568,Limpar
ScotApp_569,Inserir Código
ScotApp_570,570unused
ScotApp_571,"Insira a quantidade e toque em ""Enter""."
ScotApp_572,"Insira código e toque em ""Enter""."
ScotApp_573,"Insira a sua ID de utilizador e toque em ""Enter""."
ScotApp_574,"Insira a sua senha e toque em ""Enter""."
ScotApp_575,Terminar Pagamento com Dinheiro. Saldo Devido.
ScotApp_576,Iniciar Pagamento com Cartão.
ScotApp_577,Iniciar Pagamento com Dinheiro.
ScotApp_578,Terminar Pagamento com Cartão. Troco Devido.
ScotApp_579,579unused
ScotApp_580,Tentativa de anular artigo antes de anular o seu cupão.
ScotApp_581,Suspensão de transacção recusada.
ScotApp_582,Pagamento completo.
ScotApp_583,Cartão Recusado.
ScotApp_584,EBT Recusada.
ScotApp_585,585unused
ScotApp_586,Cupões: %0.0ld/$%0.2lf
ScotApp_587,Assinatura
ScotApp_588,Device Factory a carregar...
ScotApp_589,Device Factory carregado.
ScotApp_590,Device Factory a terminar...
ScotApp_591,NCR SelfServ Checkout Encryptor a carregar..
ScotApp_592,NCR SelfServ Checkout Encryptor carregado.
ScotApp_593,NCR SelfServ Checkout SigCap a carregar...
ScotApp_594,NCR SelfServ Checkout SigCap carregado.
ScotApp_595,NCR SelfServ Checkout AuxDisp a carregar...
ScotApp_596,NCR SelfServ Checkout AuxDisp carregado.
ScotApp_597,NCR SelfServ Checkout Forms a carregar %d...
ScotApp_598,Formulário %d não guardado!
ScotApp_599,A reiniciar Formulários...
ScotApp_600,Manutenção Segurança
ScotApp_601,601unused
ScotApp_602,Edite/Adicione\nPeso
ScotApp_603,Edite/Adicione Peso
ScotApp_604,Passar um artigo.
ScotApp_607,Definir Obrigatoriedade Saco
ScotApp_608,Definir Comparação Peso
ScotApp_609,Editar Tolerância Peso
ScotApp_610,Peso Artigo:
ScotApp_611,Seleccionar função desejada.
ScotApp_612,Adicionar Peso
ScotApp_613,Coloque o artigo na balança de sacos.
ScotApp_614,Obrigatoriedade Saco
ScotApp_615,Seleccione a definição de obrigatoriedade de sacos. (Cliente deve ensacar os artigos.)
ScotApp_616,Comparação Peso
ScotApp_617,Defina comparação de peso. (Compara peso artigo com existentes.)
ScotApp_618,Tolerância de Peso
ScotApp_619,Seleccione <Inserir Tolerância> ou <Predefinição> para editar.
ScotApp_621,Predefinição
ScotApp_622,Editar Tolerância de UPC
ScotApp_623,"Insera a tolerância no teclado e toque em ""Enter""."
ScotApp_624,Tolerância Inserida Inválida
ScotApp_625,Insira uma tolerância de peso entre <%s> e <%s>.
ScotApp_626,Tolerância:
ScotApp_627,Transacção #:
ScotApp_628,Caixa #: %d
ScotApp_629,Valor Total:
ScotApp_630,Cartão de Crédito #:
ScotApp_631,Nome do Titular:
ScotApp_632,632unused
ScotApp_633,Assinatura:
ScotApp_634,634unused
ScotApp_635,Data nascimento
ScotApp_636,Segurança desligada.
ScotApp_637,Segurança desligada. Última acção foi cancelada.
ScotApp_638,Info tolerância efectiva Base Dados Peso
ScotApp_639,PesoEsperado   PesoComparação     Tolerância
ScotApp_640,Entradas Existentes Base Dados Peso
ScotApp_641,  Avg.Wt.   Approved    Tally     Tol.Type     Tol.Value     Date
ScotApp_642,Artigo adicionado. Passe o artigo seguinte.
ScotApp_643,Artigo eliminado. Passe o artigo seguinte.
ScotApp_644,-------------------------------------------------------------------
ScotApp_645,Coloque o artigo lido novamente na zona dos sacos.
ScotApp_646,S
ScotApp_647,N
ScotApp_648,UPC
ScotApp_649,Peço Incorporado
ScotApp_650,Produto Regular
ScotApp_651,Predefinição
ScotApp_652, **No WLDB entries for this UPC
ScotApp_653,"Insira o valor do cupão em cêntimos e toque em ""Enter"""
ScotApp_655,Artigo Excepção
ScotApp_657,Ponha reembolso/desconto de parte até ao final da compra.
ScotApp_658,pouco dinheiro
ScotApp_659,Estado Pouco Dinheiro:
ScotApp_660,Todos os níveis de dinheiro estão normais
ScotApp_661,(Def)
ScotApp_662,%
ScotApp_663,Falha Inserção PIN
ScotApp_664,Passe os artigos ou seleccione um idioma.
ScotApp_665,"Seleccione ""Cancelar Tudo"" ou ""Voltar"" para continuar."
ScotApp_666,666unused
ScotApp_667,Cartão lido. Passe os seus artigos e cupões.
ScotApp_668,Impressão Assinatura Com Sucesso.
ScotApp_669,Falha na Impressão de Assinatura. Ocorreram Erros.
ScotApp_670,Entrar no Modo de Formação
ScotApp_671,Sair do Modo de Formação
ScotApp_672,*** TRANSACÇÃO EM MODO DE FORMAÇÃO ***
ScotApp_673,Entregue ao cliente %s de troco.
ScotApp_674,"""Razão de pagamento recusado: """
ScotApp_675,Distribuidor Moedas Recarregado
ScotApp_676,Distribuidor Moedas: Recarregado a %s às %s
ScotApp_677,677unused
ScotApp_678,678unused
ScotApp_679,Relatórios de Assistência
ScotApp_680,680unused
ScotApp_681,Seleccionar dos Favoritos
ScotApp_682,682unused
ScotApp_683,683unused
ScotApp_684,Hoje
ScotApp_685,Horário
ScotApp_686,Ontem
ScotApp_687,Imprimir Relatório
ScotApp_688,688unused
ScotApp_689, Vendas:      %d
ScotApp_690,690unused
ScotApp_691,691unused
ScotApp_692,692unused
ScotApp_693,693unused
ScotApp_694,694unused
ScotApp_695,695unused
ScotApp_696,696unused
ScotApp_697,697unused
ScotApp_698,698unused
ScotApp_699,Artigo Não Está à Venda
ScotApp_701,701unused
ScotApp_702,702unused
ScotApp_704,Entrada Terminal PIN
ScotApp_707,Últimos 7 Dias
ScotApp_708,708unused
ScotApp_709,709unused
ScotApp_710,710unused
ScotApp_711,711unused
ScotApp_712,712unused
ScotApp_713,713unused
ScotApp_714,714unused
ScotApp_715,715unused
ScotApp_716,716unused
ScotApp_717,717unused
ScotApp_718,718unused
ScotApp_719,719unused
ScotApp_720,720unused
ScotApp_721,721unused
ScotApp_722,722unused
ScotApp_723,723unused
ScotApp_724,724unused
ScotApp_725,725unused
ScotApp_726,726unused
ScotApp_727,727unused
ScotApp_728,728unused
ScotApp_729,729unused
ScotApp_730,730unused
ScotApp_731,Summary
ScotApp_732,732unused
ScotApp_734,734unused
ScotApp_735,735unused
ScotApp_736,736unused
ScotApp_737,737unused
ScotApp_738,738unused
ScotApp_739,739unused
ScotApp_740,740unused
ScotApp_741,741unused
ScotApp_742,742unused
ScotApp_743,743unused
ScotApp_744,744unused
ScotApp_745,745unused
ScotApp_746,746unused
ScotApp_747,747unused
ScotApp_748,748unused
ScotApp_749,749unused
ScotApp_750,Resumo de Hoje
ScotApp_751,Resumo Horário de Hoje
ScotApp_752,Resumo de Ontem
ScotApp_753,Resumo Horário de Ontem
ScotApp_754,Resumo dos Últimos 7 Dias
ScotApp_755,A processar...
ScotApp_756,756unused
ScotApp_757,757unused
ScotApp_758,758unused
ScotApp_759,Passe o seu cartão no sistema de pagamento.
ScotApp_760,Passe o seu cartão no lado deste ecrã.
ScotApp_761,761unused
ScotApp_762,762unused
ScotApp_763,763unused
ScotApp_764,764unused
ScotApp_765,765unused
ScotApp_767,Nível de Meios Normal
ScotApp_768,Suspender Confirmação
ScotApp_769,Confirmar ou cancelar suspensão.
ScotApp_770,Confirmar Suspensão
ScotApp_771,Cancelar Suspensão
ScotApp_773,Valor Poupado:
ScotApp_774,Pontos Ganhos:
ScotApp_775,Bem-vindo ao NCR SelfServ Checkout! Boas compras!
ScotApp_776,776unused
ScotApp_777,777unused
ScotApp_778,778unused
ScotApp_779,779unused
ScotApp_780,780unused
ScotApp_781,781unused
ScotApp_782,Distribuidor notas bloqueado\nElimine bloqueio do distribuidor ou\nAjuste recipiente.
ScotApp_783,783unused
ScotApp_784,Distribuidor notas inoperável\n* Encha o distribuidor de notas ou\n* Elimine bloqueio do distribuidor ou\n* Ajuste recipiente.
ScotApp_785,785unused
ScotApp_786,Suspenso na Caixa
ScotApp_787,"Data de nascimento inserida: %s, %d anos"
ScotApp_788,Data de Nascimento Válida: %s
ScotApp_789,Passe o seu cartão.\nVerifique se há mais artigos no cesto.
ScotApp_791,Seleccionar Tipo de Pagamento
ScotApp_792,792unused
ScotApp_793,793unused
ScotApp_794,Distribuidor notas cassete bloqueada.\nElimine bloqueio do distribuidor.
ScotApp_795,Compras controladas para melhorar serviço.
ScotApp_796,"Poucas moedas ou distribuidor com erro/desligado.\n* Ligue distribuidor de moedas OU\n* Recarregue, desligue e volte a ligar o distribuidor, toque em ""Distribuidor Moedas Recarregado"" - Ecrã Estado Caixa."
ScotApp_797,Falha ao entregar %s ao cliente. \n* Procure bloqueios nas cassetes e no distribuidor.\n* Verifique as cassetes e limpe o recipiente.\n* Feche a porta.
ScotApp_798,798unused
ScotApp_799,Verificar Cesto
ScotApp_801,Comprar Caixa
ScotApp_802,"\nComprar caixa inteira\nde %s?\n\nSeleccione ""Sim"" ou ""Não""."
ScotApp_803,803unused
ScotApp_804,804unused
ScotApp_805,Aprovar Artigos
ScotApp_806,Aprovar Validação Visual Artigos
ScotApp_807,Retirar Etiquetas Segurança
ScotApp_809,Mensagem PDV:
ScotApp_810, Em Formação
ScotApp_811,Passe cartão oferta. Verifique se há mais artigos no cesto.
ScotApp_813,"Insira PO# / Cargo e toque em ""Enter"""
ScotApp_814,814unused
ScotApp_815,Abrir Caixa
ScotApp_816,816unused
ScotApp_817,Assistência Necessária
ScotApp_819,Confirmar suspensão de artigo anulado.
ScotApp_820,Aprovar Anulação
ScotApp_821,821unused
ScotApp_822,Aprovar Artigo Anulado
ScotApp_823,Aprovação Anulação
ScotApp_824,Suspender Confirmação
ScotApp_825,Ensacar Artigo
ScotApp_826,Não quero\nensacar este artigo
ScotApp_827,Passe o código de barras do artigo por cima do terminal e coloque-o na zona dos sacos.
ScotApp_828,828unused
ScotApp_829,829unused
ScotApp_830,Removi artigo ou saco
ScotApp_831,831unused
ScotApp_832,832unused
ScotApp_833,833unused
ScotApp_834,Taxas e Acordos Cliente:
ScotApp_835,Factura:
ScotApp_836,Taxas e Acordos Cliente
ScotApp_837,Taxas e Acordos Cliente:
ScotApp_838,Acordo Cliente
ScotApp_839,Cancelar Acção
ScotApp_840,Entrada Artigo:
ScotApp_841,Entrada Artigo
ScotApp_842,842unused
ScotApp_843,843unused
ScotApp_844,844unused
ScotApp_845,Passar Artigos Adicionais:
ScotApp_846,"Passe artigos ou toque em ""Terminar Leitura""."
ScotApp_847,Terminar Leitura
ScotApp_848,Quantidade Necessária:
ScotApp_849,Quantidade Necessária
ScotApp_850,Um Artigo
ScotApp_851,Dois Artigos
ScotApp_852,Três Artigos
ScotApp_853,Quatro Artigos
ScotApp_854,Cinco Artigos
ScotApp_855,Taxa de Montagem:
ScotApp_856,Factura:
ScotApp_857,Verificar Caixa de Montagem
ScotApp_858,Sim
ScotApp_859,Não
ScotApp_860,Medida Necessária:
ScotApp_861,861unused
ScotApp_862,Entrada Valor Cupão:
ScotApp_863,Entrada Valor Cupão
ScotApp_864,Aprovação:
ScotApp_865,Verificar Titular
ScotApp_866,Sim
ScotApp_867,Não
ScotApp_868,Entrada Número Autorização:
ScotApp_869,"Insira a Autorização # e toque em ""Enter""."
ScotApp_870,Alertas:
ScotApp_871,Confirmar Suspensão
ScotApp_872,Cancelar Suspensão
ScotApp_873,Entrada Carta Condução / B.I.:
ScotApp_874,"Insira a Carta de Condução ou B.I e toque em ""Enter""."
ScotApp_875,ID Operador Principal para Cancelar Compra
ScotApp_876,"Insira a ID Operador Principal e toque em ""Enter""."
ScotApp_877,Pedido Preço
ScotApp_878,Inserir Preço.
ScotApp_879,879unused
ScotApp_880,880unused
ScotApp_881,Suspensão:
ScotApp_882,Confirmar Suspensão.
ScotApp_883,Confirmar Suspensão
ScotApp_884,Cancelar Suspensão
ScotApp_885,Alerta Saco
ScotApp_886,Artigo removido da zona dos sacos.\nReponha artigo.
ScotApp_887,Artigo Removido
ScotApp_888,Artigo inesperado na zona dos sacos. Remova artigo.
ScotApp_889,%s\nPeso Actual(%s): %s\nPeso Esperado(%s): %s
ScotApp_890,Balança Inteligente a carregar...
ScotApp_891,Balança Inteligente carregada.
ScotApp_892,Balança Inteligente a terminar...
ScotApp_893,DBM a carregar...
ScotApp_894,DBM carregado.
ScotApp_895,DBM a terminar...
ScotApp_896,WTINFO a carregar...
ScotApp_897,WTINFO carregado.
ScotApp_898,WTINFO a terminar...
ScotApp_899,Aprovar Anulação de
ScotApp_900,Coloque o artigo na zona dos sacos.
ScotApp_901,Aprovar não uso de sacos.
ScotApp_902,Artigo removido da zona dos sacos. Reponha artigo.
ScotApp_903,Artigo removido da zona dos sacos.
ScotApp_904,Aprovação peso artigo
ScotApp_905, (Mais informação na factura...)
ScotApp_907,907unused
ScotApp_908,Segurança
ScotApp_909,Peso incorrecto na balança de segurança.
ScotApp_910,910unused
ScotApp_911,Limpar Segurança
ScotApp_912,Aprovar & Actualizar Peso
ScotApp_913,Artigo inesperado na balança de segurança.
ScotApp_914,"Dirija-se à caixa, retire os artigos extra e toque em ""Limpar Segurança""."
ScotApp_915,Demasiados pedidos para não usar tapete. Max = %d.
ScotApp_916,"Verifique os artigos na caixa e toque em ""Limpar Segurança""."
ScotApp_917,Demasiados pedidos para retirar artigos da zona dos sacos. Max = %d.
ScotApp_918,Não há registo do peso do artigo.
ScotApp_919,"Verifique o peso do artigo e toque em ""Aprovar & Actualizar Peso"" ou toque em ""Aprovar/Não Actualizar""."
ScotApp_920,Aprovar/Não Actualizar
ScotApp_921,Peso esperado na balança de segurança.
ScotApp_922,922unused
ScotApp_923,923unused
ScotApp_924,924unused
ScotApp_925,925unused
ScotApp_926,Artigo não foi devolvido à zona dos sacos.
ScotApp_927,Avaria de Dispositivo
ScotApp_928,Dirija-se à caixa e verifique o dispositivo.
ScotApp_929,Base Dados Peso não comunica correctamente.
ScotApp_930,Verifique a comunicação.
ScotApp_931,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s esperado;LSWND3=%s %s observado;
ScotApp_932,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;
ScotApp_933,Peso Incoerente
ScotApp_934,Aumento Peso
ScotApp_935,Diminuição Peso
ScotApp_936,Limite/Não Usar Saco
ScotApp_937,Limite/Remover Artigos
ScotApp_938,938unused
ScotApp_939,Tempo esgotado
ScotApp_940,Anular
ScotApp_941,Artigo Anulado
ScotApp_942,942unused
ScotApp_943,Tenho o meu próprio saco
ScotApp_944,Demasiados pedidos para Saco/Caixa. Max = %d.
ScotApp_945,Limite\Saco/Caixa
ScotApp_946,Saco/Caixa aprovação
ScotApp_947,Novo Peso Artigo
ScotApp_948,\n* Assistência Remota
ScotApp_949,949unused
ScotApp_950,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s adicionado;LSWND3=%s;
ScotApp_951,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s removido;LSWND3=%s;
ScotApp_952,Adicionar Peso Zero
ScotApp_953,"Reinicie terminal:\n\n* Coloque Bloqueio Supervisor em 'S' -OU- prima botão Supervisor.\n* Selecione ""Correr ADD na Próxima Reinicialização""Selecione �Sim� para confirmar.\n* Seleccione ""Encerrar Sistema"".\n* Com o ecrã negro, desligue na UPS ou corrente.\n* Ligue terminal.Verifique o visualizador de eventos Se persistir, chame Assistência."
ScotApp_954,Smart Scale Open Failed
ScotApp_955,Smart Scale Enable Failed
ScotApp_956,"Reinicie terminal:\n\n* Coloque Bloqueio Supervisor em 'S' -OU- prima botão Supervisor.\n* Selecione ""Correr ADD na Próxima Reinicialização""Selecione �Sim� para confirmar.\n* Seleccione ""Encerrar Sistema"".\n* Com o ecrã negro, desligue na UPS ou corrente.\n* Ligue terminal.Verifique o visualizador de eventos Se persistir, chame Assistência."
ScotApp_957,Base Dados Gestão Clientes Falha Comunicação
ScotApp_958,Balança Sacos
ScotApp_959,Base de Dados de Peso
ScotApp_960,"Falha Balança Sacos: Procure erros na Balança Sacos ou Visualizador Eventos e toque em ""Corrigi o problema""."
ScotApp_961,"Falha Base Dados Peso: Procure erros no Visualizador Eventos e toque em ""Corrigi o problema""."
ScotApp_962,"Recolha o artigo anulado na caixa e toque em ""Aprovar Anulação""."
ScotApp_963,Cancelar Pedido
ScotApp_964,"Retire o artigo e toque em ""Limpar Segurança"" ou em ""Aprovar & Actualizar Peso""."
ScotApp_965,965unused
ScotApp_966,966unused
ScotApp_967,967unused
ScotApp_968,968unused
ScotApp_969,969unused
ScotApp_970,970unused
ScotApp_971,971unused
ScotApp_972,972unused
ScotApp_973,973unused
ScotApp_974,974unused
ScotApp_975,975unused
ScotApp_976,976unused
ScotApp_977,Peso actual: %s %s
ScotApp_978,Limite = %d
ScotApp_979,Limite = %d pedidos de clientes
ScotApp_980,Tempo esgotado sem resposta do cliente
ScotApp_981,981unused
ScotApp_982,Erro Dispositivo
ScotApp_983,Tapete a carregar...
ScotApp_984,Tapete carregado.
ScotApp_985,Coloque artigo no tapete.
ScotApp_986,986unused
ScotApp_987,Artigo retirado do tapete. Reponha o artigo.
ScotApp_988,Artigo inesperado no tapete. Remova o artigo.
ScotApp_989,989unused
ScotApp_990,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;
ScotApp_991,Verificação Idade
ScotApp_992,Inserir Data Nascimento
ScotApp_993,Caixa Fechada
ScotApp_994,Fechado
ScotApp_995,Dirija-se à caixa e abra-a no Modo Loja.
ScotApp_996,Entrada Preço
ScotApp_997,Inserir Preço
ScotApp_998,Quantidade
ScotApp_999,Limite excedido
ScotApp_1000,Não Encontrado
ScotApp_1001,Artigo não encontrado
ScotApp_1002,Não Vendido
ScotApp_1003,Tempo restrito
ScotApp_1004,Verificar Artigo
ScotApp_1005,Validação visual
ScotApp_1006,Outro Pagamento
ScotApp_1007,Ajuda requisitada
ScotApp_1008,1008unused
ScotApp_1009,Modo Loja
ScotApp_1010,1010unused
ScotApp_1011,A transportar...
ScotApp_1012,O seu artigo está a ser transportado.
ScotApp_1013,Artigos Acumulados
ScotApp_1014,Retire os artigos acumulados do tapete.
ScotApp_1015,Artigos Acumulados
ScotApp_1016,Artigos Acumulados no Tapete
ScotApp_1017,Retire os artigos acumulados no tapete.
ScotApp_1018,Mínimo idade.
ScotApp_1019,Coloque No Tapete
ScotApp_1020,Passar Artigos
ScotApp_1021,Atenção
ScotApp_1022,Não quero\nensacar este artigo
ScotApp_1023,1023unused
ScotApp_1024,1024unused
ScotApp_1025,Retire todos os artigos do tapete e feche a tampa de segurança.
ScotApp_1026,Cancelar Trans.
ScotApp_1027,"Toque em ""Sim"" para cancelar a transacção ou em ""Não"" para retomar a transacção."
ScotApp_1028,Limite Cupão Excedido
ScotApp_1029,Inserir Cupão
ScotApp_1030,Insira o seu cupão.
ScotApp_1031,Passe os seus cupões.
ScotApp_1032,Alarme EAS ainda activo.
ScotApp_1033,"Desactive o artigo ou retire o alarme na caixa e toque em ""Limpar Segurança""."
ScotApp_1034,1034unused
ScotApp_1035,Alarme EAS Activo
ScotApp_1036,Alarme EAS Activo
ScotApp_1037,Assinatura
ScotApp_1038,Verificar Assinatura
ScotApp_1039,Artigos anteriores têm alarme(s) EAS.
ScotApp_1040,Assinatura
ScotApp_1041,Aprovar Assinatura
ScotApp_1042,"TALÃO ENDOSSO:\nFOI IMPRIMIDO PORQUE O ENDOSSO\nDE UM DOCUMENTO FALHOU. POR FAVOR, JUNTE ESTE\nTALÃO  AO DOCUMENTO APROPRIADO.\n----------------------------------------\n"
ScotApp_1043,Use Modo Assistido para aceitar %s do cliente.
ScotApp_1044,Pagamento Assistido Operador
ScotApp_1045,Pagar com %s
ScotApp_1046,Entregue %s ao operador na zona de pagamento.
ScotApp_1047,Endosso Necessário. Aguarde a assistência do operador.
ScotApp_1048,1048unused
ScotApp_1049,1049unused
ScotApp_1050,1050unused
ScotApp_1051,Aprovação Talão
ScotApp_1052,1052unused
ScotApp_1053,Aguarde pelo operador para assinar o talão.
ScotApp_1054,1054unused
ScotApp_1055,1055unused
ScotApp_1056,1056unused
ScotApp_1057,1057unused
ScotApp_1058,Pagamento Assis.
ScotApp_1059,1059unused
ScotApp_1060,"POR FAVOR, AGUARDE..."
ScotApp_1061,1061unused
ScotApp_1062,1062unused
ScotApp_1063,1063unused
ScotApp_1064,1064unused
ScotApp_1065,1065unused
ScotApp_1066,1066unused
ScotApp_1067,1067unused
ScotApp_1068,1068unused
ScotApp_1069,1069unused
ScotApp_1070,1070unused
ScotApp_1071,1071unused
ScotApp_1072,Informação Necessária
ScotApp_1073,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;DATANEEDEDTYPE=%d;
ScotApp_1074,Aprovar não uso de tapete.
ScotApp_1075,Limite\Não Usar Tapete
ScotApp_1076,Atenção
ScotApp_1077,Reponha artigos no tapete.
ScotApp_1078,Seleccione definição de peso esperado. (Cliente deve colocar artigo no tapete.)
ScotApp_1079,Volte a colocar o artigo lido no tapete.
ScotApp_1080,Coloque artigo no tapete.
ScotApp_1081,Mostrar\nTodas as Caixas
ScotApp_1082,Removi artigo ou saco
ScotApp_1083,Artigo removido da zona dos sacos.\nReponha artigo.
ScotApp_1084,Recolha
ScotApp_1085,Recolher Cupões
ScotApp_1086,Adicionar Peso Zero elimina todas as entradas de peso.
ScotApp_1087,Cartão Aceite. Passe os seus artigos e cupões.
ScotApp_1088,1088unused
